n,esquema,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,r_parcial,p_perm_unilateral,sd_score_pp,kpi_tercio_bajo,kpi_tercio_alto,beta_medio,beta_sd_folds,spec,signos,muestra
361,crono,0.486060693990484,0.25514348834554945,1.9050483990098763,0.028386890022407695,0.09412364875550318,0.07408077025227376,0.09423279614066025,0.033483258370814596,0.8810632793478155,-0.5840647421815268,0.8325451008121095,"{'xG_hot': np.float64(-1.2703), 'xC': np.float64(1.0199)}","{'xG_hot': np.float64(0.499), 'xC': np.float64(0.1688)}",M2_Ghot+C,False,TOTAL
361,gkf,0.7324428028778825,0.3300232682742149,2.2193671576796183,0.01323087805235401,0.11397157476418582,0.030387005041518082,0.11101244564450388,0.017991004497751123,0.7007123543782784,-0.4737734756694515,0.6432617127302779,"{'xG_hot': np.float64(-1.2289), 'xC': np.float64(1.1534)}","{'xG_hot': np.float64(0.2616), 'xC': np.float64(0.2587)}",M2_Ghot+C,False,TOTAL
298,gkf,0.6653358677685577,0.35660893246901576,1.8657296752553048,0.031039597831425864,0.09417172329340405,0.10471105600457856,0.09589253539622589,0.049475262368815595,0.6573176152319135,-0.6672988402487053,0.6543584365933752,"{'xG_hot': np.float64(-1.2696), 'xC': np.float64(0.8457)}","{'xG_hot': np.float64(0.3057), 'xC': np.float64(0.3194)}",M2_Ghot+C,True,DEV
298,crono,0.510636107061822,0.28816269876271666,1.7720409659346572,0.038193878616541284,0.08417840953586504,0.14716689114364995,0.09094156737200847,0.05347326336831584,0.8104381652533665,-0.24466716689838555,0.7720876376594812,"{'xG_hot': np.float64(-1.2124), 'xC': np.float64(0.749)}","{'xG_hot': np.float64(0.3964), 'xC': np.float64(0.2848)}",M2_Ghot+C,True,DEV
361,crono,0.486060693990484,0.25514348834554945,1.9050483990098763,0.028386890022407695,0.09412364875550318,0.07408077025227376,0.09423279614066025,0.033483258370814596,0.8810632793478155,-0.5840647421815268,0.8325451008121095,"{'xG_hot': np.float64(-1.2703), 'xC': np.float64(1.0199)}","{'xG_hot': np.float64(0.499), 'xC': np.float64(0.1688)}",M2_Ghot+C,True,TOTAL
361,gkf,0.7324428028778825,0.3300232682742149,2.2193671576796183,0.01323087805235401,0.11397157476418582,0.030387005041518082,0.11101244564450388,0.017991004497751123,0.7007123543782784,-0.4737734756694515,0.6432617127302779,"{'xG_hot': np.float64(-1.2289), 'xC': np.float64(1.1534)}","{'xG_hot': np.float64(0.2616), 'xC': np.float64(0.2587)}",M2_Ghot+C,True,TOTAL
298,gkf,0.761521652928631,0.4299435830437222,1.7712129752874803,0.03826264619049525,0.10512047366438962,0.06997727246307302,0.09477137854355974,0.046476761619190406,0.5609624989496867,-0.23242730566950132,0.5637030057051587,{'xG_hot': np.float64(-1.1954)},{'xG_hot': np.float64(0.2947)},M3_Ghot,False,DEV
298,crono,0.4668383113678003,0.30242607161114166,1.5436443983839438,0.06133725148817678,0.10734332619363257,0.0642277353983442,0.07724222007947804,0.08245877061469266,0.7513092167331479,-0.23242730566950132,0.5637030057051587,{'xG_hot': np.float64(-1.1291)},{'xG_hot': np.float64(0.4349)},M3_Ghot,False,DEV
361,crono,0.29600337513468045,0.25974559084747245,1.1395896044622342,0.12722865914899079,0.06632487004076051,0.20868601291218972,0.052370606564620725,0.1549225387306347,0.7951588798116503,-0.18945454962284353,0.5966729493866941,{'xG_hot': np.float64(-1.1573)},{'xG_hot': np.float64(0.5489)},M3_Ghot,False,TOTAL
361,gkf,0.7656990502003306,0.4804055831877683,1.5938595990485278,0.05548374254442183,0.06919698198680765,0.18960255573678578,0.08058181868151533,0.06596701649175413,0.46943471047432656,-0.18945454962284353,0.5966729493866941,{'xG_hot': np.float64(-1.1138)},{'xG_hot': np.float64(0.2416)},M3_Ghot,False,TOTAL
