regimen,n,T_media,theta,se_hc3,p_hc3,ci_lo_boot,ci_hi_boot,muestra,spec,palanca
q2,331,1016.139407488393,0.005356690169468849,0.0064602121559381685,0.4070015572394591,-0.006545444176931585,0.016160444552211634,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
q3,331,1080.47861357164,0.022345898724496775,0.007322651383129786,0.002276152967837869,0.0068996043094726135,0.0364739736749182,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
q4_caliente,331,1147.6041384934067,0.006706852148349877,0.007681844165489895,0.38262035091798086,-0.008048740080549486,0.02206851129159717,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
q1_frio,332,961.1832960561568,-0.0021499477865093456,0.001269000417861692,0.09022619531648658,-0.004652532088057454,0.0004079203625144179,TOTAL,feo_ret__GN,tasa_gn_nm3_min
q2,331,1016.139407488393,-0.002904090070959324,0.0014363977967141624,0.043198384475980296,-0.005520442645892934,-0.00038612674668993794,TOTAL,feo_ret__GN,tasa_gn_nm3_min
q3,331,1080.47861357164,-0.003421338590127621,0.0013470053133533048,0.01108653889129499,-0.006009925880352977,-0.0006850654274461224,TOTAL,feo_ret__GN,tasa_gn_nm3_min
q4_caliente,331,1147.6041384934067,-0.000346092804379943,0.0015097596509070857,0.8186847002013733,-0.0031478055595535142,0.002264712172233117,TOTAL,feo_ret__GN,tasa_gn_nm3_min
q1_frio,271,973.6503742368891,0.0004247338259858543,0.0008165778409813055,0.6029668305165516,-0.0007009862740377856,0.002289273362664792,DEV,sn_dep__Cx_sn,Cx_sn_v6
q2,271,1045.4186912282219,0.0007695438676820432,0.0006767119454775081,0.25546268929522353,-0.0007811134700148497,0.0018432427750951514,DEV,sn_dep__Cx_sn,Cx_sn_v6
q3,270,1096.4826074503333,0.00040946873536710474,0.00018878627912537264,0.030086184411220584,-0.0004380604868600314,0.000886588778779553,DEV,sn_dep__Cx_sn,Cx_sn_v6
q4_caliente,271,1154.7346211771735,0.0007258466777049379,0.0002387390318673973,0.0023631499431502273,6.638087552679542e-05,0.0011131549562493075,DEV,sn_dep__Cx_sn,Cx_sn_v6
q1_frio,271,973.6503742368891,0.005032852527940046,0.007703998851621081,0.5135771090843946,-0.007966773175011991,0.01963850176677844,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
q2,271,1045.4186912282219,0.013888493940809736,0.007482922165784896,0.06344993134378882,0.0022086747430702896,0.029066656711658593,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
q3,270,1096.4826074503333,0.010849720345684492,0.00869512859776878,0.21210688348042428,-0.009537475422895467,0.031707403881697856,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
q4_caliente,271,1154.7346211771735,0.0010606336358394888,0.008700697583513273,0.9029765225318607,-0.014913001573525814,0.019721164592178122,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
q1_frio,271,973.6503742368891,0.0036162326811178887,0.005539569343867465,0.5138850125547465,-0.004004144707193032,0.013890255537582444,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
q2,271,1045.4186912282219,0.006136796911896765,0.004306967625223544,0.15419961954870828,-0.002501290819732177,0.013959521429723166,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
q3,270,1096.4826074503333,0.008015436678931342,0.0021142900885128216,0.000149995395132965,0.003731661564578548,0.014328937394642844,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
q4_caliente,271,1154.7346211771735,0.0014501091288433353,0.002524705756537354,0.5657190884682917,-0.0031174564013573057,0.006440737655793218,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
q1_frio,271,973.6503742368891,0.003623006301678673,0.007581250289873611,0.6327282550526543,-0.009662423366343167,0.01809639490296106,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
q2,271,1045.4186912282219,0.012020224916772652,0.007440015511941291,0.1061768734580959,-8.440341059963108e-05,0.027786450724116753,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
q3,270,1096.4826074503333,0.01274940270545313,0.00842586388232489,0.1302473854150406,-0.007227087341796341,0.03217025679666044,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
q4_caliente,271,1154.7346211771735,0.0018697919687638408,0.008648276286506265,0.828828731902939,-0.014782229256860749,0.020971975437363666,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
q1_frio,271,973.6503742368891,-0.0031244883545707984,0.0016170324318126894,0.053330377838475156,-0.006395699325016972,-0.0003012388125540574,DEV,feo_ret__GN,tasa_gn_nm3_min
q2,271,1045.4186912282219,-0.003911928006490917,0.0016721661279217761,0.019312806969363133,-0.006809095908889118,-0.0014312427588526143,DEV,feo_ret__GN,tasa_gn_nm3_min
q3,270,1096.4826074503333,-0.003049275755757759,0.0013893073507170329,0.028176708713322215,-0.005813066477397698,-0.0004395874609396842,DEV,feo_ret__GN,tasa_gn_nm3_min
q4_caliente,271,1154.7346211771735,0.00040823066629619924,0.0019122390064453536,0.830950187792384,-0.003582004648416704,0.004090019958807399,DEV,feo_ret__GN,tasa_gn_nm3_min
