Batch,idx_cronologico,es_dev,fecha_batch,kpi_a_refinado,kpi_b_sinpolvo,kpi_c3_polvosuav,kpi_c5_polvosuav,kpi_d3_todosuav,kpi_e_legado,kpi_f_real,kpi_g_controlable,kpi_h_medido_cargado,kpi_g_dross_frac,kpi_g_escoria_frac,M_kg,D_kg,P_kg,E_kg,cierre_sn_frac,x_R_gn,x_R_carbon,x_F_carbon,x_F_exo2
AP0130,130,True,2026-06-03 07:38:00,75.35219497500168,82.73114787413496,71.40673217883383,69.62619523625264,68.96446511168361,69.41482611282714,71.07622560006739,84.27139057272196,93.2423527901178,0.14580453177436167,0.011481562498418835,37194.920000000006,7197.12,4402.642376,566.7463286840758,0.05674644748375105,-0.8310339176847126,-0.39470117566090523,-0.52002834550777,0.48733087444287987
AP0131,131,True,2026-06-03 15:26:00,63.4774572506526,76.31611638973561,65.02976798422223,65.0650606296283,67.43165471364483,64.28557713961546,63.94858050440945,80.3004557815498,98.9404848914052,0.17911112802368268,0.01788431416081935,34192.2,9647.84,9061.726088,963.3404883168671,-0.007421898641852075,-0.12259387212734732,-0.059783430178808133,0.28395837558142895,-0.08208732011370283
AP0132,132,True,2026-06-03 23:35:00,65.09369702857832,78.88673801809824,66.34087342387075,68.04952647154214,65.39245097876447,66.40619876865802,66.83393737428527,82.57831020444003,101.44222126631446,0.16222530752090458,0.011991590434695078,36720.6,9151.44,9863.404844,676.468561192554,-0.026734390964810745,0.17452185802748504,-0.20867521973044206,-0.27617038622332485,-0.053418241775610935
AP0133,133,True,2026-06-04 07:53:00,67.71870050873771,80.32398691694232,67.17849961709776,66.32828697910904,64.6648224352598,64.35692084529572,60.13072159156004,83.41175421788552,87.81105995139295,0.15480304829645297,0.01107940952469194,32292.96,7382.079999999999,7483.53338,528.3428741494098,0.11205145491825555,-0.5915085763252991,-0.11694619729001733,0.4388712315989414,0.3233412537176132
AP0134,134,True,2026-06-04 15:53:00,60.995141181853725,69.05341279535367,59.2524844486621,58.84923380311195,63.07786998149314,61.45574237928636,60.674576707861654,72.66476225819557,97.99818698111399,0.2585118255439096,0.01484055187413466,32688.880000000005,13854.32,6254.052955999999,795.3437109047766,0.0052555739322960645,0.03279703094339677,0.0064208290881271335,0.04249684616378418,-0.12365545614791253
AP0135,135,True,2026-06-04 23:43:00,61.91634357671901,76.04400301995173,64.18429598444321,64.6342447094382,63.76248389950656,64.5647948358309,60.779032907958914,80.49461258173973,97.62067657704412,0.18952763625928348,0.005526237923319153,32504.640000000003,9949.76,9753.159036,290.1146351274177,0.01836850503536072,0.12266388900786507,-0.3063360706567536,0.1067520052549188,-0.0077988832184723
AP0136,136,True,2026-06-05 08:01:00,67.21324609494278,78.26180039605703,66.83329101592943,65.59841493936655,66.24728699720863,68.57816348496968,66.26462714800849,81.33067534548542,97.35034150047984,0.1741329624713408,0.012560284073805,36599.079999999994,9481.92,7687.248460000001,683.9348913316405,0.014113571387317298,-0.04937277270908069,0.39693123044690765,0.23375106617919106,-0.17352480901090026
AP0137,137,True,2026-06-05 15:58:00,69.94308087499658,79.64336785598748,66.06090774031063,66.53212872663389,64.76462230491474,64.08112785259657,70.19069054004835,82.1227353046424,99.01856944874191,0.16546529205987812,0.013307354893697873,37614.36,8898.480000000001,6550.038984000001,715.6499704579792,-0.0035401595405027547,0.10213810583141653,0.05024432348404084,-0.16447645498305022,-0.014032028273836901
AP0138,138,True,2026-06-05 23:38:00,58.21917483019654,77.60835133227516,63.77741791645921,64.87617702674163,65.67233331260603,63.83272627567504,66.41331734201157,83.2025383074918,113.2831074026812,0.16103584306754187,0.006938773857540099,34707.67999999999,9600.24,14893.968995999998,413.65880458160774,-0.14074645571178646,0.5692219075449974,0.06476601828264264,0.038943696146134694,-0.036205232463978214
AP0139,139,True,2026-06-06 07:42:00,69.44627772115354,81.21009428152882,66.63203017619074,67.16989920039696,65.40556976891985,69.14502954412296,70.23351373976759,83.93193577197907,100.4733993160117,0.15415273572287397,0.006527906557335242,36681.399999999994,8142.32,7651.298739999999,344.8028597784715,-0.011335899409541128,0.10387227544643043,-0.12218780364192461,0.2740768442751959,0.15308283124432756
