n,esquema,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,r_parcial,p_perm_unilateral,sd_score_pp,kpi_tercio_bajo,kpi_tercio_alto,beta_medio,beta_sd_folds,spec,muestra
298,gkf,0.6826873685627135,0.4114961871265975,1.659036924083779,0.04855417603711624,0.11274492132385332,0.05185893533776024,0.1048813625690743,0.03459308138372325,0.6994116967270623,-0.8786569918213047,0.5866850413265233,"{'xG_late': np.float64(-1.5438), 'xC': np.float64(1.0084)}","{'xG_late': np.float64(0.3357), 'xC': np.float64(0.3458)}",P2_Glate+C,DEV
298,crono,0.8056710148994762,0.43502260962090206,1.8520210147274268,0.03201140265594604,0.1454655644909511,0.011938495040936506,0.1234902774098967,0.015396920615876825,0.6959229743635903,-0.7963066984520956,0.5129607159538073,"{'xG_late': np.float64(-1.4831), 'xC': np.float64(0.9222)}","{'xG_late': np.float64(0.299), 'xC': np.float64(0.2988)}",P2_Glate+C,DEV
361,gkf,0.5109458225832284,0.4876930915581438,1.0476790248366936,0.14739325730141573,0.09644301944159613,0.06720046024887569,0.06013888159460044,0.1311737652469506,0.5503099982679296,-0.33206607898302154,0.19350719918752363,"{'xG_late': np.float64(-0.6847), 'xC': np.float64(1.1158)}","{'xG_late': np.float64(0.2751), 'xC': np.float64(0.2701)}",P2_Glate+C,TOTAL
361,crono,0.48634700240712886,0.4989501003069391,0.974740764873968,0.1648444332710456,0.09886594940389647,0.060581432981773854,0.053053069356373626,0.16536692661467706,0.5088978006537515,-0.49744100499003996,0.37935915907973805,"{'xG_late': np.float64(-0.635), 'xC': np.float64(1.001)}","{'xG_late': np.float64(0.3673), 'xC': np.float64(0.1301)}",P2_Glate+C,TOTAL
63,holdout,-1.123258211126879,,-1.907093632142361,0.9717457681424673,,,,,0.8163722382800715,,,"{'xG_late': -1.538, 'xC': 0.994}",,P2_Glate+C,LOCKBOX(beta DEV)
298,gkf,0.4378030429616202,0.5212227190552952,0.8399538756774239,0.2004671241793074,0.0850535840322826,0.14299263637703,0.051967862223474756,0.1873625274945011,0.543625648204424,-0.8208544113800236,0.6369984193976993,"{'xG_late_gate': np.float64(-1.2034), 'xC': np.float64(0.9105)}","{'xG_late_gate': np.float64(0.3887), 'xC': np.float64(0.3463)}",P3_Glate_gate+C,DEV
298,crono,0.7007249348749024,0.5788482191582942,1.2105503855463695,0.1130338845474746,0.11744955106495812,0.042765842722952786,0.08000886324679042,0.08378324335132974,0.5227451203991205,-0.8004616272891155,0.5819874539849859,"{'xG_late_gate': np.float64(-1.1511), 'xC': np.float64(0.8239)}","{'xG_late_gate': np.float64(0.3295), 'xC': np.float64(0.3005)}",P3_Glate_gate+C,DEV
361,gkf,0.38403918075703986,0.5599819030713804,0.6858064138334962,0.24641759561789423,0.0862942103732725,0.10163913824097513,0.04066067644849671,0.22355528894221155,0.5004404888855235,-0.44733964576594026,0.09040653418703037,"{'xG_late_gate': np.float64(-0.429), 'xC': np.float64(1.0701)}","{'xG_late_gate': np.float64(0.3133), 'xC': np.float64(0.2707)}",P3_Glate_gate+C,TOTAL
361,crono,0.49651737655085143,0.5991068834467923,0.828762596908049,0.20361937846011846,0.08447121001107011,0.10909998288365866,0.045752927905325466,0.20295940811837632,0.43696770493037146,-0.5645997960663778,0.1733111835884152,"{'xG_late_gate': np.float64(-0.3732), 'xC': np.float64(0.9525)}","{'xG_late_gate': np.float64(0.3617), 'xC': np.float64(0.1268)}",P3_Glate_gate+C,TOTAL
63,holdout,-1.4269556954538323,,-1.3735875002357323,0.9152151101698491,,,,,0.5712254814820565,,,"{'xG_late_gate': -1.196, 'xC': 0.896}",,P3_Glate_gate+C,LOCKBOX(beta DEV)
