moderador,ln,subset,n,b_x_R_gn,se_x_R_gn,p_x_R_gn,b_x_R_gn_x_m,se_x_R_gn_x_m,p_x_R_gn_x_m,b_x_R_carbon,se_x_R_carbon,p_x_R_carbon,b_x_R_carbon_x_m,se_x_R_carbon_x_m,p_x_R_carbon_x_m
ratio_sn_feo_prev,True,DEV,298,-1.117138399465689,0.4280309284695375,0.009055602760326228,0.7509378443290574,0.5572196697357026,0.17777054398763292,0.6748666658908025,0.7061120400291115,0.33919849497395305,-0.8194845382713736,0.49502503774483336,0.09783515911103402
ratio_sn_feo_prev,True,LB,63,1.683578198193155,0.867129789994085,0.05219127187901542,-0.9260240342825212,1.2872322329080281,0.4718996812085594,1.6731965073843673,1.6562525243114437,0.3123849590242226,-0.21728907074545178,1.4226029689641289,0.878602931090774
ratio_sn_feo_prev,True,TOTAL,361,-0.6255459495873815,0.4004344429614273,0.11824837184481991,0.6844597373352065,0.5710318973563534,0.2306692765314965,0.9812356479907767,0.6874301364496769,0.15346552293977642,-0.735550320620936,0.508918738568518,0.1483680836880245
m6_avance_prev,False,DEV,298,-1.0635387382910348,0.42974616267659643,0.013330825710316352,-0.5665847811072179,0.5514092081134943,0.304174997190818,0.6722083682239689,0.7489603630033849,0.36944046414753295,0.6602509175084056,0.5419282097098838,0.2230961255598608
m6_avance_prev,False,LB,63,1.6459989773707289,0.8031298395525946,0.040415148798989706,0.7195797185642163,1.2505505279815707,0.5650138051201758,1.808381923390276,1.6182568389708132,0.2637859058701487,-0.1873467239636355,1.5401459096561108,0.903182397452646
m6_avance_prev,False,TOTAL,361,-0.5767339389443187,0.40257594115950157,0.15196959234092744,-0.505104510778943,0.5770427851386741,0.38139282026693955,0.9734915406258046,0.7489738633455272,0.19368082566989353,0.6273449053528178,0.5790282291530765,0.27861120711797394
ley_feo_escoria_pct_prev,False,DEV,298,-1.1159321278133403,0.4252546354004612,0.008686541406846363,-0.16829738432557334,0.42884628088755417,0.6947314995580585,0.9693205956025901,0.7184177096602113,0.1772586905487905,0.3122285065934684,0.854590223437975,0.7148466935618156
ley_feo_escoria_pct_prev,False,LB,63,1.3730140765788135,0.733009750734469,0.06105203232371619,-1.12600279956981,1.2749715085773872,0.3771502698507675,1.142000766333679,1.2128623178677795,0.346410303994214,4.062162380758327,1.2451675243113003,0.001104957275593215
ley_feo_escoria_pct_prev,False,TOTAL,361,-0.5911222551917661,0.3839604488092938,0.12367265653839128,-0.23897335690601273,0.3938697585385618,0.5440288316510598,1.2677016814790318,0.6395518925270666,0.04746002351674902,0.9496257250957723,0.6068772699365909,0.11763592874972546
ley_feo_escoria_pct_prev,True,DEV,298,-1.129352331043515,0.4279782716644408,0.00831981755149009,-0.0991628668541533,0.40011320627225594,0.8042605063166343,0.9753183058617033,0.7271240651192403,0.17981110941467926,0.13001364433080143,0.7930887186851147,0.8697836585692914
ley_feo_escoria_pct_prev,True,LB,63,1.371654752804599,0.7269435478353353,0.05917655817191249,-1.15270579929798,1.2532621893091236,0.357695951690439,1.0501126971366836,1.2201913600673957,0.3894511557996365,4.116697562212476,1.2498084625741464,0.0009882073219900631
ley_feo_escoria_pct_prev,True,TOTAL,361,-0.5930264393038225,0.3853172642880239,0.12378961707246229,-0.1885188681422534,0.37177730409520066,0.612102400018727,1.2714653649811916,0.645173449743645,0.04875428958695538,0.8434692369838046,0.6422510376383335,0.18908138070439318
m6_feo_inv_kg_prev,False,DEV,298,-1.1067540050716886,0.40949751587388705,0.006877623134177403,0.12238958645948761,0.5872595947403568,0.8349104252112183,0.8250570375566644,0.8146470370709309,0.3111659528561902,-0.4385577698118935,0.750947953878934,0.5592165807510339
m6_feo_inv_kg_prev,False,LB,63,1.5479178070845405,0.9388854403915763,0.09921404812516156,-0.5940469835339464,1.4180278976105671,0.6752711277833965,2.065139972515633,1.6027287681371634,0.1975667694531913,3.4463439992691014,1.5002035533023161,0.021604459617446285
