regimen,n,T_media,theta,se_hc3,p_hc3,ci_lo_boot,ci_hi_boot,muestra,spec,palanca
medio,441,1048.669149644811,0.015039966290677444,0.006508954808798364,0.0208517716240366,0.0016384987720180833,0.027723682655627448,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
caliente,442,1135.3861263073677,-0.0007428472229088697,0.0013336345805831339,0.5775208913413097,-0.0031393737502369693,0.0017220827231867648,TOTAL,feo_ret__GN,tasa_gn_nm3_min
frio,442,969.7887472434716,-0.002605771126729036,0.0011808385831413289,0.02733415939566189,-0.004696793651987326,-0.0003807873985736852,TOTAL,feo_ret__GN,tasa_gn_nm3_min
medio,441,1048.669149644811,-0.003188316663011065,0.001295783189534555,0.01387310027531305,-0.005618523420221668,-0.00046044513386992776,TOTAL,feo_ret__GN,tasa_gn_nm3_min
caliente,361,1144.2591949131113,0.0006053237144368468,0.00026769428530639436,0.02374377777987682,-0.00012595874788770241,0.0009707680111953964,DEV,sn_dep__Cx_sn,Cx_sn_v6
frio,361,986.2305402654122,0.0007380908867752581,0.0007235447397806332,0.3076791375914524,-0.00042399415489117147,0.002045749960012664,DEV,sn_dep__Cx_sn,Cx_sn_v6
medio,361,1072.1448994243822,0.000556760464045824,0.00021665449456360515,0.010175487888571911,7.222343963572351e-05,0.001216230500944579,DEV,sn_dep__Cx_sn,Cx_sn_v6
caliente,361,1144.2591949131113,0.00046554698360121193,0.007777894277431314,0.9522710055400136,-0.013955977408623739,0.01559380530458375,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
frio,361,986.2305402654122,0.00852079719977555,0.0069874675275845444,0.22267724672567446,-0.001983045796166139,0.021167006497167642,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
medio,361,1072.1448994243822,0.013257274446104025,0.007219020759711534,0.06629310033329212,-0.0005564576780248631,0.030132848271957818,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
caliente,361,1144.2591949131113,0.0009516732827057238,0.002271511367813219,0.6752450827219993,-0.0030438947108026946,0.004920501916186414,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
frio,361,986.2305402654122,0.006954239702600457,0.004570366137202708,0.12811095102283612,0.00011383063410281495,0.014117108724728567,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
medio,361,1072.1448994243822,0.007846727798801894,0.0023567972605177613,0.0008703238323622027,0.0037681092433689877,0.014044186649768368,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
caliente,361,1144.2591949131113,0.0007031046789566778,0.007759160410750382,0.9277976567154697,-0.013221784239101059,0.01481256921962941,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
frio,361,986.2305402654122,0.0067312521330150895,0.006828422700664048,0.32424614223335624,-0.0040283101613004255,0.019526108385417493,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
medio,361,1072.1448994243822,0.01409253183309457,0.007129880583781872,0.04809305238834993,0.000645187379044636,0.029817253818127006,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
caliente,361,1144.2591949131113,0.00023856713699852954,0.0016494110047590594,0.8849968710650482,-0.0029448584968105504,0.0031540639546606694,DEV,feo_ret__GN,tasa_gn_nm3_min
frio,361,986.2305402654122,-0.0033272889931337227,0.0014667860845460187,0.023303532602213354,-0.005947935964170585,-0.0009384704544984359,DEV,feo_ret__GN,tasa_gn_nm3_min
medio,361,1072.1448994243822,-0.0040062720340063905,0.0013629740704135225,0.003288903728669136,-0.006697340595349768,-0.0016116768644204855,DEV,feo_ret__GN,tasa_gn_nm3_min
