canal,conjunto,lag,acf,n
f_metal,total,5,-0.06308905078954538,357
f_metal,total,6,0.17150804026701183,356
f_metal,total,7,0.04626530775878384,355
f_metal,total,8,-0.06950867198905696,354
f_dross,DEV,1,0.17466305949623454,298
f_dross,DEV,2,0.2041564739524049,297
f_dross,DEV,3,0.29201919898845075,296
f_dross,DEV,4,0.16174020406318104,295
f_dross,DEV,5,0.13511479409248192,294
f_dross,DEV,6,0.14984992081717569,293
f_dross,DEV,7,0.12135068290119609,292
f_dross,DEV,8,0.02364869017215168,291
f_dross,total,1,0.1774177691891441,361
f_dross,total,2,0.18456945341631964,360
f_dross,total,3,0.3284551623847767,359
f_dross,total,4,0.1890044691834226,358
f_dross,total,5,0.09781792082446021,357
f_dross,total,6,0.17562953005069093,356
f_dross,total,7,0.15621169979175514,355
f_dross,total,8,0.02456299823038517,354
f_polvo,DEV,1,-0.039243221534496116,298
f_polvo,DEV,2,-0.0780597796790185,297
f_polvo,DEV,3,0.42887344503046576,296
f_polvo,DEV,4,-0.08445329713160543,295
f_polvo,DEV,5,-0.13630611231046513,294
f_polvo,DEV,6,0.29212196514519506,293
f_polvo,DEV,7,-0.044993218841726655,292
f_polvo,DEV,8,-0.09238142612982095,291
f_polvo,total,1,-0.06630173659212946,361
f_polvo,total,2,-0.0790619871340834,360
f_polvo,total,3,0.42975767032848117,359
f_polvo,total,4,-0.09575779938302524,358
f_polvo,total,5,-0.13500133537322054,357
f_polvo,total,6,0.30299405273729324,356
f_polvo,total,7,-0.06312753410271474,355
f_polvo,total,8,-0.10958284383379403,354
sn_perdido_escoria_frac,DEV,1,0.023180476445050696,298
sn_perdido_escoria_frac,DEV,2,-0.005758910233525793,297
sn_perdido_escoria_frac,DEV,3,0.15387068477655397,296
sn_perdido_escoria_frac,DEV,4,0.012784613302371815,295
sn_perdido_escoria_frac,DEV,5,0.05167540847758259,294
sn_perdido_escoria_frac,DEV,6,0.22307946906880388,293
sn_perdido_escoria_frac,DEV,7,0.04819753127607718,292
sn_perdido_escoria_frac,DEV,8,-0.09014990094834614,291
sn_perdido_escoria_frac,total,1,0.0008325512367231523,361
sn_perdido_escoria_frac,total,2,-0.023064447344296746,360
sn_perdido_escoria_frac,total,3,0.1447375776313816,359
sn_perdido_escoria_frac,total,4,0.009184498818162527,358
sn_perdido_escoria_frac,total,5,0.011589125932805464,357
sn_perdido_escoria_frac,total,6,0.19822890470526375,356
sn_perdido_escoria_frac,total,7,0.0431471273890643,355
sn_perdido_escoria_frac,total,8,-0.10693424592813185,354
cierre_sn_frac,DEV,1,0.03692651305262959,298
cierre_sn_frac,DEV,2,0.10588618070543632,297
cierre_sn_frac,DEV,3,0.17985046936914945,296
cierre_sn_frac,DEV,4,0.040070141365247204,295
cierre_sn_frac,DEV,5,-0.04812005905419997,294
cierre_sn_frac,DEV,6,0.11964662132257767,293
cierre_sn_frac,DEV,7,0.04877998433929631,292
cierre_sn_frac,DEV,8,0.050283377219855714,291
cierre_sn_frac,total,1,0.012764908812672036,361
cierre_sn_frac,total,2,0.10600877234533315,360
cierre_sn_frac,total,3,0.1748726311277948,359
cierre_sn_frac,total,4,0.03808820784829525,358
cierre_sn_frac,total,5,-0.06631574158063004,357
cierre_sn_frac,total,6,0.1223373925804663,356
cierre_sn_frac,total,7,0.03052869869397965,355
cierre_sn_frac,total,8,0.03524503066882137,354
recuperacion_refinada_pct,DEV,1,0.11651524146113403,298
recuperacion_refinada_pct,DEV,2,0.03428178876914029,297
recuperacion_refinada_pct,DEV,3,0.26078204101125574,296
recuperacion_refinada_pct,DEV,4,-0.023440926423399892,295
recuperacion_refinada_pct,DEV,5,-0.10004333489968899,294
recuperacion_refinada_pct,DEV,6,0.13896695384168997,293
recuperacion_refinada_pct,DEV,7,0.009557886164992356,292
recuperacion_refinada_pct,DEV,8,-0.10950255181438244,291
recuperacion_refinada_pct,total,1,0.12087079026525564,361
recuperacion_refinada_pct,total,2,0.043760285981553,360
recuperacion_refinada_pct,total,3,0.2740302960927398,359
recuperacion_refinada_pct,total,4,0.02927575473947201,358
recuperacion_refinada_pct,total,5,-0.0779775524284048,357
recuperacion_refinada_pct,total,6,0.1563921375790066,356
recuperacion_refinada_pct,total,7,0.05017178871356428,355
recuperacion_refinada_pct,total,8,-0.0877353608172736,354
recuperacion_real_pct,DEV,1,0.15323938163355244,298
recuperacion_real_pct,DEV,2,0.1762212554562697,297
recuperacion_real_pct,DEV,3,0.10108477112716886,296
recuperacion_real_pct,DEV,4,0.04713725700468636,295
recuperacion_real_pct,DEV,5,0.011834916761964905,294
recuperacion_real_pct,DEV,6,0.053446625967883556,293
recuperacion_real_pct,DEV,7,-0.058045799642884664,292
recuperacion_real_pct,DEV,8,-0.014311449285657741,291
recuperacion_real_pct,total,1,0.14188375567859196,361
recuperacion_real_pct,total,2,0.17479288077284452,360
recuperacion_real_pct,total,3,0.12530063723205853,359
recuperacion_real_pct,total,4,0.05820150212712933,358
recuperacion_real_pct,total,5,0.0016849181767558431,357
recuperacion_real_pct,total,6,0.04766094383352957,356
recuperacion_real_pct,total,7,-0.0433717123277757,355
recuperacion_real_pct,total,8,-0.012765413451896537,354
rendimiento_proxy_batch,DEV,1,0.11833706061543486,298
rendimiento_proxy_batch,DEV,2,0.03814158081831304,297
rendimiento_proxy_batch,DEV,3,0.2788002754380165,296
rendimiento_proxy_batch,DEV,4,-0.012101625052608037,295
rendimiento_proxy_batch,DEV,5,-0.08371489018779474,294
rendimiento_proxy_batch,DEV,6,0.160456561403795,293
rendimiento_proxy_batch,DEV,7,0.009800027587994635,292
rendimiento_proxy_batch,DEV,8,-0.08741995524571974,291
rendimiento_proxy_batch,total,1,0.12342521943835011,361
rendimiento_proxy_batch,total,2,0.04838059579916575,360
rendimiento_proxy_batch,total,3,0.2861254379750224,359
rendimiento_proxy_batch,total,4,0.031195964727208352,358
rendimiento_proxy_batch,total,5,-0.0630890507895454,357
rendimiento_proxy_batch,total,6,0.17150804026701172,356
rendimiento_proxy_batch,total,7,0.0462653077587838,355
rendimiento_proxy_batch,total,8,-0.06950867198905705,354
