muestra,outcome,n,termino,coef,se_hc3,t,p_hc3,ci_lo_boot,ci_hi_boot
DEV,f_metal,298,xG,-1.285108600356469,0.41151777875089046,-3.1228507411204727,0.0017910855432078903,-2.0765478561958655,-0.49674173800211874
DEV,f_metal,298,xC,0.9487017388410866,0.8246321359843996,1.1504544844212015,0.24995673053843248,-0.492584112488745,2.5922373617131806
DEV,f_metal,298,xG_x_zT,0.04836228594266635,0.6375891105973397,0.07585180665547606,0.9395369990566951,-1.1668061463170787,1.1328858103056882
DEV,f_metal,298,xC_x_zT,-1.6722992715179306,1.3922401280326584,-1.2011572126433514,0.22969022333428157,-4.407583864877048,0.5253057505913031
DEV,f_metal,298,xG_x_zidx,-0.03411231873235643,0.65665963211809,-0.05194824999722514,0.9585699282120643,-1.3914401027858325,1.1054905097372598
DEV,f_metal,298,xC_x_zidx,-1.0532658424047285,1.3012238082504333,-0.8094424923110669,0.4182606688247549,-3.4551752617493405,1.0745557025797707
DEV,sn_perdido_escoria_frac,298,xG,-0.1216185236764483,0.09591890212597444,-1.2679307308659709,0.20482268855052777,-0.2892585780195298,0.04586623414602622
DEV,sn_perdido_escoria_frac,298,xC,-0.45368918462088154,0.13681567482765553,-3.3160614468509286,0.0009129575288215294,-0.6535064663714802,-0.21902663279523354
DEV,sn_perdido_escoria_frac,298,xG_x_zT,-0.009836377302816939,0.09279878622330875,-0.10599683145797746,0.9155848661551621,-0.18997838621917987,0.1620526541699519
DEV,sn_perdido_escoria_frac,298,xC_x_zT,-0.389426269912449,0.23721102059576352,-1.641687089134357,0.10065486867653134,-0.7312219880456595,0.012993950171670123
DEV,sn_perdido_escoria_frac,298,xG_x_zidx,0.0376876040499424,0.12352639771005734,0.30509757224851,0.7602918401759577,-0.20451435039421528,0.22534394453142728
DEV,sn_perdido_escoria_frac,298,xC_x_zidx,-0.6248095915884864,0.2502333699353704,-2.4969075537361807,0.012528161282199147,-0.9497785291693337,-0.14027822461328493
TOTAL,recuperacion_refinada_pct,361,xG,-0.6460493727651632,0.3879299313581273,-1.6653764521427101,0.09583767436238921,-1.4307864975409128,-0.01794968966630596
TOTAL,recuperacion_refinada_pct,361,xC,1.495628662059333,0.6432840234224388,2.3249895965116596,0.02007251649886285,0.4926193492081866,2.880341570576247
TOTAL,recuperacion_refinada_pct,361,xG_x_zT,0.42467495845481906,0.6262061721703408,0.6781711476636465,0.4976631839753052,-0.9322609870960992,1.5410636848030257
TOTAL,recuperacion_refinada_pct,361,xC_x_zT,-1.7474601842140693,1.261593580727376,-1.3851213345636757,0.16601536933594596,-4.27866427672547,0.21490158281627114
TOTAL,recuperacion_refinada_pct,361,xG_x_zidx,0.9299181578178551,0.6350728685374082,1.464270013548972,0.14312018697845358,-0.38349321683827925,2.056786870107524
TOTAL,recuperacion_refinada_pct,361,xC_x_zidx,-0.9850643615632485,1.1500074313700397,-0.8565721704856382,0.39168137138444004,-3.250574346535173,0.7213331746581596
TOTAL,f_dross,361,xG,0.8558449294816307,0.3010750128592701,2.8426302181432566,0.004474294911528334,0.252976418693296,1.4990316852122698
TOTAL,f_dross,361,xC,-1.2406175116432683,0.5354897775208097,-2.316790280081596,0.02051515877889959,-2.455818301315765,-0.4256752326245913
TOTAL,f_dross,361,xG_x_zT,-1.0527906159405949,0.4770497294035503,-2.2068781325101825,0.02732257454337783,-1.9717694320601264,-0.09303306524488619
TOTAL,f_dross,361,xC_x_zT,1.0782460164925582,1.0460325057118762,1.0307958984111676,0.3026365420915915,-0.8850750583370753,3.2476709261417622
TOTAL,f_dross,361,xG_x_zidx,-0.9533274271355264,0.5256128571849106,-1.8137444967411553,0.0697170711056565,-1.975092270594011,0.07002078012339552
TOTAL,f_dross,361,xC_x_zidx,0.43901402292553715,0.9985775747686314,0.4396393770681821,0.660198316324547,-1.4468969749281302,2.618334532903651
TOTAL,f_polvo,361,xG,-0.12321415311897091,0.2541951367315213,-0.4847227004547638,0.6278730616375273,-0.5790283727848003,0.3878330382975193
TOTAL,f_polvo,361,xC,-0.11848731892941641,0.4109844388254722,-0.28830122928263224,0.7731161662547276,-0.9248748003089721,0.6493560104221451
