W,tmin,paso,muestra,n,frac_score_no_nulo,pendiente,t,p_uni,spearman,kpi_tercio_bajo,kpi_tercio_alto
100,0.0,10,DEV,198,1.0,0.5935525012945385,1.7713561417531611,0.03825074849144987,0.20016479876694657,-1.50533169343393,0.8444350274227356
100,0.0,10,LB,63,1.0,0.36744708271163484,0.6831709356152376,0.24724941794726207,0.03009792626728111,-0.06303081541995342,0.4172711037916022
100,0.0,25,todo,261,1.0,0.44900415811728367,1.5753082974870674,0.057592649829760964,0.1901937756899589,-1.1340513433954116,0.6584193887981477
100,0.0,25,DEV,198,1.0,0.4859307070022991,1.3152573685357383,0.09421171025234548,0.19136677078671316,-1.2185404556412927,0.8158719242348267
100,0.0,25,LB,63,1.0,0.3640983807749226,0.6574886967323476,0.2554333682906488,0.006528417818740399,0.03232170591882116,-0.04987832149405557
100,1.0,10,todo,261,0.96,0.6008470461915474,2.159881242995777,0.01539093208380688,0.21879848648646485,-1.2383445065689027,0.3721195509446035
100,1.0,10,DEV,198,0.95,0.6279758028711204,1.7438912958477446,0.04058902334469877,0.21400855706694652,-1.2823259576454942,1.1052060040502778
100,1.0,10,LB,63,1.0,0.5323026802393865,0.9638740308619158,0.16755454252914287,0.07349270353302612,-0.4711720008938974,0.7528758625032788
100,1.0,25,todo,261,0.9,0.47047182522541536,1.563057170972275,0.05901957411475537,0.18576600752106767,-0.8898902872354306,0.5554911901149231
100,1.0,25,DEV,198,0.87,0.46538974886202333,1.2292005092443756,0.10949831902188567,0.16995301847122704,-1.0917172466209806,0.7934038122337504
100,1.0,25,LB,63,1.0,0.5021355262418401,0.880133282734537,0.18939355540303776,0.05213133640552996,-0.06303081541995342,0.11732078338618278
100,1.64,10,todo,261,0.39,0.38794274545857854,0.8973339265773919,0.1847703790928757,0.05962597586760402,-0.507148808105429,0.3164726941756565
100,1.64,10,DEV,198,0.49,0.48972462213481305,1.0889107934529387,0.13809661302600884,0.11486519146950448,-0.33466927116333844,1.127526128664262
100,1.64,10,LB,63,0.05,-6.243193699438656,-1.4549344837023375,0.9271562999464888,-0.3608372010326748,-0.21668878243408227,-0.580053651474872
100,1.64,25,todo,261,0.29,0.4147661022684642,0.8987909265496374,0.18438201698356138,0.08593380078712776,-0.26948270885616626,0.5551675713528165
100,1.64,25,DEV,198,0.38,0.3834335894566979,0.8273465172453882,0.20402034252013546,0.10206738856341822,-0.4729837682721167,0.3694420375148647
120,0.0,10,todo,241,1.0,0.5713330088411975,1.8324320364466018,0.033443539361763225,0.18546174685367448,-1.2203089933534252,0.24134522296667846
120,0.0,10,DEV,178,1.0,0.6885660054606069,1.763724949024396,0.03888914926910506,0.1923772965830398,-1.3473752873366651,0.4847904319325996
120,0.0,10,LB,63,1.0,0.1537642858839694,0.2088391647385163,0.41728689816820186,0.025681643625192013,-0.18252628962214906,0.7123518892290454
120,0.0,25,todo,241,1.0,0.5059973047078085,1.6104521878565707,0.053649587652849585,0.17918881382668633,-1.1520497220746937,0.2562682401481172
120,0.0,25,DEV,178,1.0,0.6799833407245711,1.593123521054518,0.05556624185270036,0.18806633266980802,-1.2058786228514877,0.8633570511941787
120,0.0,25,LB,63,1.0,0.0619477944733855,0.10113034188193895,0.4597234960867718,0.03840245775729647,-0.0782888249998934,0.31976383738427827
120,1.0,10,todo,241,0.96,0.612371493444201,1.8445357527889366,0.032552550167763754,0.18236945138446164,-1.0786959760387125,0.3655954403431906
120,1.0,10,DEV,178,0.94,0.6640596579988722,1.611455628122359,0.0535402254946017,0.17310380006394444,-1.359543994422202,0.5338393325001969
120,1.0,10,LB,63,1.0,0.4665871733562139,0.5996568459351111,0.2743674768972705,0.07805299539170507,-0.4711720008938974,0.7123518892290454
120,1.0,25,todo,241,0.9,0.46132792981423765,1.4874807784526554,0.0684439380944659,0.1558531367071033,-0.8570855230926766,0.25801544878681515
120,1.0,25,DEV,178,0.86,0.582152050721195,1.3991908796140782,0.08087787540729918,0.1369285663130912,-0.9823480889590248,0.7333746581443422
120,1.0,25,LB,63,1.0,0.14235387710988756,0.2264199963908223,0.4104373884279331,0.051507296466973884,-0.0782888249998934,0.06203150982983291
120,1.64,10,todo,241,0.63,0.6391242701629144,1.2321455105679064,0.10894736675821709,0.0900082384141674,-0.32268362027237385,0.279544498661244
120,1.64,10,DEV,178,0.78,0.7763422237764585,1.372011799110185,0.08502988236265813,0.14623728743258615,-0.9127843839466401,0.9386919882108956
120,1.64,10,LB,63,0.21,-3.1139234929453163,-0.696492121222784,0.7569396551571388,-0.22951996489820137,0.33502329039041545,-1.0914406766034748
120,1.64,25,todo,241,0.52,0.643161372234962,1.182511087494865,0.11850148438297714,0.07116962541643913,-0.250478450996824,0.07492658822569283
120,1.64,25,DEV,178,0.58,0.6014906105441343,1.002779850281272,0.15798354646620327,0.08215388937215896,-0.18135274089900513,0.5519652691573357
120,1.64,25,LB,63,0.35,1.4650920139041166,0.6929807051290777,0.24416083013889894,-0.03135710136309596,1.6504368933697273,-0.9310679134963541
150,0.0,10,todo,211,1.0,0.42996408790288676,1.2284754256133064,0.10963427445091178,0.15621926137887868,-1.0711974419011168,0.18663699622715058
150,0.0,10,DEV,148,1.0,0.5896550124410982,1.3236653777580094,0.09280710090122257,0.205758559545712,-1.454728666493116,0.6926855731399812
150,0.0,10,LB,63,1.0,-0.3757193069644609,-0.5227677870393534,0.6994320704997163,-0.08587749615975424,-0.15680282537287263,-0.4778720370789126
150,0.0,25,todo,211,1.0,0.42551021238608217,1.069037248597108,0.1425264427333407,0.15365286595725658,-1.5553310774693978,0.15421556633484854
150,0.0,25,DEV,148,1.0,0.5046232191315538,1.0307173467283186,0.15133669383879067,0.2000318356981828,-1.3321693636129044,0.9726398282026759
150,0.0,25,LB,63,1.0,-0.08122861585401409,-0.09958212032195277,0.5396619554132082,-0.03739439324116744,0.03232170591882116,-0.0510496591184396
150,1.0,10,todo,211,0.95,0.4073431436467494,1.1574768820644166,0.12353878951721536,0.14670360838938737,-1.2718072845048343,0.045276151085367845
150,1.0,10,DEV,148,1.0,0.5601170453431856,1.2534613492466256,0.10501892837285226,0.19745536524060014,-1.4429446533899166,0.7633294901165302
150,1.0,10,LB,63,0.84,-0.3685593065272281,-0.48298724786914826,0.6854476046224247,-0.07909783133253191,-0.20886381983519103,-0.25696210537363773
150,1.0,25,todo,211,1.0,0.452134844806957,1.1114090782031527,0.13319615324474338,0.15523307060461672,-1.3868864069031532,0.08675520319736936
150,1.0,25,DEV,148,1.0,0.5064584334643196,1.0052437607416231,0.1573897440681098,0.19635962493105352,-1.428239966868481,0.9108965585225945
150,1.0,25,LB,63,1.0,0.04085174994177132,0.04896994726674723,0.48047162290080203,-0.032834101382488476,-0.24261447162191546,0.15311228836884064
150,1.64,10,todo,211,0.62,0.1610025408498181,0.4027166914959288,0.3435783266612318,0.048943667982249854,-0.3713473768444421,0.04612173964102401
