Batch,fecha_batch,es_lockbox,rendimiento_proxy_batch,recuperacion_refinada_pct,sn_perdido_escoria_frac,recuperacion_real_pct,f_metal,f_dross,f_polvo,sn_metal_t,sn_dross_t,sn_polvo_t,feed_sn_total_t,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,frac_carga_secundaria_F,feed_dross_Fe_total_t,T_media_F,T_media_R,R_sum_ln_sn_dep,R_sum_ln_feo_ret,R_n_validos,R_lnirf_twmean,R_lnirf_fin,F_lnirf_F0,F_lnirf_fin,F_sum_d_lnirf,F_sum_ln_sn_dep,F_sn_ext_kg,R_sdi_w10,idx_cronologico,recuperacion_refinada_pct_next,rendimiento_proxy_batch_next,recuperacion_real_pct_next,f_metal_next,f_dross_next,f_polvo_next,es_dev,R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,F_sum_m6_ln_sn_dep,F_m6_sn_ext_kg,R_m6_masa_fin_kg,F_m6_masa_fin_kg,m6_k_anclaje,valor_hist_pp__gn,valor_rec_pp__gn,z_hist__gn,delta__gn,beta__gn,t__gn,valor_hist_pp__carbon,valor_rec_pp__carbon,z_hist__carbon,delta__carbon,beta__carbon,t__carbon,efecto_ln_sn_dep,efecto_ln_feo_ret,valor_hist_pp,valor_rec_pp
AP0230,2026-07-06 19:26:00,False,63.99737737146059,63.368908736985794,0.00982022483244842,65.51995724630203,0.6399737737146058,0.19128138622922755,0.16874484005616658,34.02168,10.16872,8.970653464000002,51.92567490864809,38.30485779,249.4596866861012,0.3850329550734162,19.059723199682015,956.3712217136698,969.3768176032432,3.0284566975208667,-0.18377078328481034,3,-1.4969603668791953,-1.5200218770807143,-1.4577462940970956,-1.4448176532847312,0.012928640812364334,3.351043938345031,37167.98679179224,1.1907488646727633,230,65.73661664170938,66.26445030543391,78.64519956794976,0.6626445030543391,0.1090036787398917,0.22835181820576922,True,3.1448244867258985,-0.3067637018739078,2.9928518221850147,35980.91254944645,57797.89794206457,76210.35634618855,1.0019744913592248,0.0,0.0,0.6591564441089605,0.0,0.0,-0.7060797981795146,0.0,0.0,-0.10727132230225961,0.0,0.0,-0.25074898564320164,0.0,0.0,0.0,0.0
AP0231,2026-07-07 03:15:00,False,66.26445030543391,65.73661664170938,0.007965563153268183,78.64519956794976,0.6626445030543391,0.1090036787398917,0.22835181820576922,41.0816,6.75784,14.156999736,52.236627570008686,38.30485779,249.20437565913397,0.3918414251761873,19.985769867511383,987.454818394563,966.9909737050848,2.8599011874482363,-0.255317476872694,4,-1.3688168426666543,-1.412541769899782,-1.348075460053396,-1.2299547517025693,0.11812070835082666,4.1140314657942465,37554.899079481664,0.30672641872129613,231,72.53462699193129,74.07367684909066,70.6296860163142,0.7407367684909066,0.0772789406482198,0.1819842908608737,True,2.8640970762463134,-0.263378105914192,3.551014373771349,37061.25191545555,59236.95250022196,76939.58713258679,0.758444871147612,0.011916883354731695,0.0,-0.10448947453173432,0.0,-0.1140486485183007,-1.0440605245642853,0.0,0.0,0.5142464738604853,0.0,0.0,0.8435370968171494,0.0,0.0,0.011916883354731695,0.0
AP0232,2026-07-07 11:22:00,False,74.07367684909066,72.53462699193129,0.020777284490614112,70.6296860163142,0.7407367684909066,0.0772789406482198,0.1819842908608737,37.94756,3.9589600000000003,9.322960720000001,53.72749355169835,38.48465125,249.20437565913397,0.394290966046792,19.480642098403834,975.2421728985275,950.1625782749459,2.378237141677901,-0.10709750357433338,4,-1.2733019051236478,-1.3482166900515644,-1.473151204582285,-1.259509114421875,0.21364209016040991,3.915928440904098,41120.167764917474,1.307262105934567,232,66.05017757649037,66.72365286029398,70.71230248017658,0.6672365286029399,0.19045826033246782,0.14230521106459232,True,2.4590679982425265,-0.20089157121883874,3.1921523006591612,39636.14959625194,61942.91221797889,78483.09041639925,1.1047103471592918,0.35847983602558087,0.0,-3.1432186236565336,0.0,-0.1140486485183007,-1.0440605245642853,0.0,0.0,0.15937347044250727,0.0,0.0,0.8435370968171494,0.0,0.0,0.35847983602558087,0.0
AP0233,2026-07-07 19:12:00,False,66.72365286029398,66.05017757649037,0.010093501403673771,70.71230248017658,0.6672365286029399,0.19045826033246782,0.14230521106459232,36.32468,10.368640000000001,7.747164660000001,51.369675043721315,38.48465125,248.93691219562814,0.39678874419476207,18.360524164079184,946.2341177276621,928.8833880487041,2.7366839297874788,-0.23490598190400577,4,-1.4467464296876442,-1.5618209312811333,-1.3374189712532782,-1.2865544183969324,0.050864552856345835,4.227716041520485,39193.21180123523,0.3876241107474212,233,70.84500030250688,71.41973643193772,82.72616987590246,0.7141973643193773,0.11287352811471582,0.1729291075659069,True,2.890101691295515,-0.39088473142892455,3.4713862749512496,37370.40239731004,56528.15706480459,74795.20224202095,0.986522948116831,0.030697104275845127,0.0,-0.26915798367325106,0.0,-0.1140486485183007,-1.0440605245642853,0.0,0.0,0.03267747992623801,0.0,0.0,0.8435370968171494,0.0,0.0,0.030697104275845127,0.0
AP0234,2026-07-08 03:17:00,False,71.41973643193772,70.84500030250688,0.008047301182336061,82.72616987590246,0.7141973643193773,0.11287352811471582,0.1729291075659069,42.888720000000006,6.778239999999999,10.384675784,51.84419883615714,38.48465125,248.4688511344928,0.39313130967977167,19.084581191628153,950.3460910989,917.1300118075798,3.233143734731753,-0.12858334040908898,4,-1.280014078606117,-1.3856055685108377,-1.2608221180142896,-1.2392076120667497,0.021614505947539886,3.5512274644859927,35379.66536520972,1.947310330640863,234,62.75130878245399,63.84925183569626,64.14570493189623,0.6384925183569626,0.15941441160870498,0.20209307003433244,True,3.361319638817228,-0.27642222493375807,2.765382281177694,32359.664875817492,58965.611330514665,82667.39350649036,0.8408307173947355,0.0279691222222248,0.0,-0.24523852395968343,0.0,-0.1140486485183007,-1.0440605245642853,0.0,0.0,-0.17178325703746036,0.0,0.0,0.8435370968171494,0.0,0.0,0.0279691222222248,0.0
AP0235,2026-07-08 11:03:00,False,63.84925183569626,62.75130878245399,0.017195864034047194,64.14570493189623,0.6384925183569626,0.15941441160870498,0.20209307003433244,33.222,8.294640000000001,10.515293100000001,51.79146450299664,38.48465125,248.4688511344928,0.4025408569314692,18.861458475383607,942.0000737060618,925.6900318821199,2.5017679268543187,-0.2869117452809796,4,-1.39868334314335,-1.4825191895233183,-1.3693503732772112,-1.1995929711045799,0.16975740217263136,4.205431869587647,37928.37221696305,-0.3673495259554773,235,61.3405164214334,61.84588944667188,65.14483520791224,0.6184588944667188,0.23002921124574904,0.1515118942875322,True,2.529857089795595,-0.3251022460862776,3.438641259469899,36886.684838595684,57834.565404898494,75081.30745564884,1.0131467277094695,0.15294409886958377,0.0,-1.34104262397324,0.0,-0.1140486485183007,-1.0440605245642853,0.0,0.0,-0.17571504015056658,0.0,0.0,0.8435370968171494,0.0,0.0,0.15294409886958377,0.0
AP0236,2026-07-08 19:00:00,False,61.84588944667188,61.3405164214334,0.008171489322249197,65.14483520791224,0.6184588944667188,0.23002921124574904,0.1515118942875322,33.672799999999995,12.524239999999999,8.249262416,51.68913221214232,38.48465125,247.93152967934782,0.4003634005794389,18.76285927459358,971.0669373834095,969.2931448520922,3.0727088566833283,-0.3101734671256649,3,-1.5706102850327015,-1.6576531286215181,-1.6386865719197667,-1.352066723061217,0.28661984885854985,5.717781222552884,38485.59782067886,-0.029025814573320652,236,67.64450803899014,68.59497324815254,68.51193183451608,0.6859497324815255,0.12150961409523191,0.19254065342324264,True,3.174145065601873,-0.41930295777393667,4.746997523954498,36606.29564542639,56237.790397242374,74874.71326867177,0.9664801229569079,0.05144688492170429,0.014884211474733088,-0.45109596290787185,-0.3201172544022288,-0.1140486485183007,-1.0440605245642853,0.0,0.0,-0.6072076880892983,0.0,0.0,0.8435370968171494,-0.017544821275342116,0.003535136763690564,0.05144688492170429,0.014884211474733088
AP0237,2026-07-09 02:57:00,False,68.59497324815254,67.64450803899014,0.013856193306234874,68.51193183451608,0.6859497324815255,0.12150961409523191,0.19254065342324264,35.562239999999996,6.29952,9.98203892,51.906637351720185,38.48465125,246.99121713284418,0.39893509849678094,20.486116309499153,983.6860857766954,945.4499742993537,2.4728135604681114,-0.20885986964912373,4,-1.3545408741175888,-1.458634215123958,-1.3555507298447589,-1.2471707666175047,0.10837996322725418,4.358593430518786,39943.18279529394,0.3842148639768741,237,69.12886737483416,70.25934178842125,65.75518996184061,0.7025934178842125,0.12428188332288757,0.17312469879289985,True,2.5113762654036114,-0.26492483058286725,3.8570433617275413,39393.39882670151,57965.414818786216,69862.6330590648,1.0492609296566837,0.11591605444730782,0.0,-1.0163737663994103,0.0,-0.1140486485183007,-1.0440605245642853,0.0,0.0,-0.07469865118013638,0.0,0.0,0.8435370968171494,0.0,0.0,0.11591605444730782,0.0
AP0238,2026-07-09 10:57:00,False,70.25934178842125,69.12886737483416,0.016090022832713217,65.75518996184061,0.7025934178842125,0.12428188332288757,0.17312469879289985,34.2902,6.0656,8.449382524,52.14827912427819,38.48465125,246.99121713284418,0.3976872672136052,19.751219367090375,962.4866513942198,943.186417898389,2.702542567334591,-0.22195049624994206,3,-1.4481804400856444,-1.5080584437884312,-1.4065220561320024,-1.3484682382300295,0.05805381790197295,3.86352055642967,38911.37459023063,0.48303760483517033,238,70.41423496955446,71.00593098975824,70.58943035659672,0.7100593098975825,0.13983080572907083,0.15010988437334677,True,2.7512903339604593,-0.2809965108974881,3.3081877213935575,38121.31135150427,58709.57373904407,74518.378438062,1.1392228031594764,0.1194058044075868,0.0,-1.0469725503886744,0.0,-0.1140486485183007,-1.0440605245642853,0.0,0.0,-0.3406530457618831,0.0,0.0,0.8435370968171494,0.0,0.0,0.1194058044075868,0.0
AP0239,2026-07-09 18:54:00,False,71.00593098975824,70.41423496955446,0.008333050661488095,70.58943035659672,0.7100593098975825,0.13983080572907083,0.15010988437334677,36.4364,7.1753599999999995,7.702826672000001,51.61735944876476,39.17214257,246.60538298232612,0.4023317272983252,18.565085511463668,977.1472585726452,968.6131854733437,2.406735194500291,-0.2583113039993965,4,-1.4356437153360064,-1.6224155941561447,-1.3863032375112845,-1.3304644785482118,0.055838758963072666,5.463182507687848,43869.22742230384,-0.1763778454936742,239,67.66283212379383,68.32434865776489,69.07593573995106,0.6832434865776488,0.1355188015050399,0.18123771191731117,True,2.527593016894493,-0.3841216057964945,4.5693012050652895,43233.606947326174,55539.47893004665,67036.11133025688,1.1053319263385732,0.032355991660253436,0.0,-0.2837034202563257,0.0,-0.1140486485183007,-1.0440605245642853,0.0,0.0,-0.08983906333256259,0.0,0.0,0.8435370968171494,0.0,0.0,0.032355991660253436,0.0
AP0240,2026-07-10 02:44:00,False,68.32434865776489,67.66283212379383,0.009682002784755095,69.07593573995106,0.6832434865776488,0.1355188015050399,0.18123771191731117,36.60104,7.2596799999999995,9.708821048,52.98667272172943,39.17214257,245.5764919142781,0.3972971023062516,20.374478036757314,962.6153763081617,908.9565851912332,2.827480278599891,-0.27312187955619915,4,-1.237864582289045,-1.4163091200992457,-1.09208656680449,-1.1547018852748219,-0.06261531847033197,4.943325305888667,40980.43094163474,0.09626148303789961,240,68.76778810285886,69.9958317414688,67.32411983064019,0.6999583174146882,0.1456008997300523,0.1544407828552596,True,2.8562387608723863,-0.33800669033306946,4.413927939597989,40146.57269038487,58699.530124631936,71349.40270660017,1.0258984231465715,-0.08896365781197044,0.0,0.7800500836070405,0.0,-0.1140486485183007,-1.0440605245642853,0.0,0.0,-0.13188134157938858,0.0,0.0,0.8435370968171494,0.0,0.0,-0.08896365781197044,0.0
AP0241,2026-07-10 11:31:00,False,69.9958317414688,68.76778810285886,0.01754452526752959,67.32411983064019,0.6999583174146882,0.1456008997300523,0.1544407828552596,34.546960000000006,7.186240000000001,7.622538964,51.314387899768995,39.17214257,245.5764919142781,0.4031596141888148,17.706111963919735,934.0986345868854,903.0011912510795,2.2624741888424738,-0.17789762440182375,3,-1.3229403876085855,-1.4015989202616728,-0.9616963266113725,-1.2194477351266915,-0.25775140851531897,4.4320646990647985,40101.53581415229,0.48349794482423625,241,62.37548476218909,62.97845754987414,63.95650479491774,0.6297845754987415,0.1819634001962238,0.1882520243050348,True,2.392584016555088,-0.3099275760392137,3.7846435098258557,38808.32291945119,58359.92632896016,73828.42198486465,1.0817705167029843,-0.03445926345463445,0.0,0.1473814865366249,0.0,-0.23380998702351388,-1.1575469874177067,0.0,0.0,0.044413817365093734,0.0,0.0,0.9942300859774726,0.0,0.0,-0.03445926345463445,0.0
AP0242,2026-07-10 19:20:00,False,62.97845754987414,62.37548476218909,0.009574270490946125,63.95650479491774,0.6297845754987415,0.1819634001962238,0.1882520243050348,34.11184,9.85592,10.196538916000002,53.33599781505051,39.17214257,245.5764919142781,0.4032483946962012,20.252016276358724,952.7908649099411,961.5340142079995,2.6266752076980815,-0.29102013873313204,4,-1.4452522641807175,-1.5601135704844449,-1.4918198682422326,-1.2894624409784927,0.20235742726373984,5.444697217342565,42660.40392042992,-0.2835261796332391,242,62.15995820832996,62.82293573323303,71.19566771421762,0.6282293573323303,0.1367384209606996,0.23503222170697013,True,2.7200353232777634,-0.3930239144382452,4.553015845500324,41615.55808449462,57643.5367085936,72704.65349569259,1.0167175915830138,-0.10657519285183507,0.0,0.45581967737381973,0.0,-0.23380998702351388,-1.1575469874177067,0.0,0.0,0.14217617217591888,0.0,0.0,0.9942300859774726,0.0,0.0,-0.10657519285183507,0.0
AP0243,2026-07-11 03:12:00,False,62.82293573323303,62.15995820832996,0.010553112763120518,71.19566771421762,0.6282293573323303,0.1367384209606996,0.23503222170697013,37.933840000000004,8.25656,14.191751132000002,53.28110714863722,39.17214257,245.5764919142781,0.4046014103194583,20.611916487862256,979.8577511659748,953.3386411155587,2.709078526172019,-0.12339656650648564,3,-1.2368671344372397,-1.3053773520866772,-1.0593184991679745,-1.1738465466709254,-0.11452804750295087,4.761669020709041,38317.60639489787,1.4751128611071627,243,60.47851500222553,61.497176353087305,58.5541655865382,0.614971763530873,0.22434962476066334,0.16067861170846356,True,2.8187744890174233,-0.255723694504445,3.8598160442253997,35351.799567026595,61619.084374028425,81228.0478740252,0.7783993120428103,-0.04869537512791089,0.0,0.20826901257649733,0.0,-0.23380998702351388,-1.1575469874177067,0.0,0.0,-0.26877046049508674,0.0,0.0,0.9942300859774726,0.0,0.0,-0.04869537512791089,0.0
AP0244,2026-07-11 11:21:00,False,61.497176353087305,60.47851500222553,0.01656435971975559,58.5541655865382,0.614971763530873,0.22434962476066334,0.16067861170846356,30.05464,10.96432,7.852617172,51.32792807982506,39.17214257,245.5764919142781,0.3978799516031827,19.380760030377132,935.6757196721155,937.6192309503591,2.633679830388778,-0.1443054178146687,4,-1.3530654383715635,-1.4480097117107409,-1.351599487658328,-1.2481746116941403,0.10342487596418759,3.826552078376249,37541.40403445275,1.1906256522420908,244,65.79375420271414,66.88606669464507,59.2347912701152,0.6688606669464506,0.17614242284721848,0.15499691020633094,True,2.763573029163618,-0.29170033347607704,3.0961652842326877,35464.49053585706,57217.225332205315,75129.81136414158,1.0793460418125047,-0.07206162894654708,0.0,0.3082059490439985,0.0,-0.23380998702351388,-1.1575469874177067,0.0,0.0,-0.16153256148764888,0.0,0.0,0.9942300859774726,0.0,0.0,-0.07206162894654708,0.0
