xcols,controles,paso,start,n,pendiente,t,p_perm
xG+xC,espesor_en_vez_idx,20,120,241,0.6695074105420751,2.2462588184387693,0.005988023952095809
xG+xC,espesor_en_vez_idx,20,150,211,0.6821362107883556,2.1034462018361735,0.005988023952095809
solo_xG,full(+idx),5,100,261,0.6799506617646994,1.9704482878797924,0.013972055888223553
solo_xG,full(+idx),5,120,241,0.7225619671112694,2.069300808652301,0.007984031936127744
solo_xG,full(+idx),5,150,211,0.6296856198706747,1.7646002205990203,0.01996007984031936
solo_xG,full(+idx),10,100,261,0.6839628744181189,2.052101106659935,0.00998003992015968
solo_xG,full(+idx),10,120,241,0.7151453275902068,2.122283814149246,0.005988023952095809
solo_xG,full(+idx),10,150,211,0.6499793279635822,1.8974280874308587,0.017964071856287425
solo_xG,full(+idx),20,100,261,0.5634046166126359,1.8288751638818075,0.021956087824351298
solo_xG,full(+idx),20,120,241,0.6118716465164933,1.969846799572086,0.021956087824351298
solo_xG,full(+idx),20,150,211,0.6380006567707581,1.8878699710496956,0.021956087824351298
solo_xG,sin_idx,5,100,261,0.7903804245946021,2.190898121795535,0.005988023952095809
solo_xG,sin_idx,5,120,241,0.7949347250533323,2.1719030123321206,0.005988023952095809
solo_xG,sin_idx,5,150,211,0.6829590281153317,1.8254787863457815,0.015968063872255488
solo_xG,sin_idx,10,100,261,0.7633151285148145,2.20604022650767,0.007984031936127744
solo_xG,sin_idx,10,120,241,0.7703473234985159,2.196610726843874,0.007984031936127744
solo_xG,sin_idx,10,150,211,0.6902238232854002,1.9368491371754883,0.017964071856287425
solo_xG,sin_idx,20,100,261,0.6125824411224599,1.9325690086555976,0.01996007984031936
solo_xG,sin_idx,20,120,241,0.6439420279658814,2.01545855906491,0.021956087824351298
solo_xG,sin_idx,20,150,211,0.6906756094784828,1.940121806732157,0.015968063872255488
solo_xG,espesor_en_vez_idx,5,100,261,0.733060406100736,2.0450747936508225,0.011976047904191617
solo_xG,espesor_en_vez_idx,5,120,241,0.7734043727368113,2.13277035308273,0.007984031936127744
solo_xG,espesor_en_vez_idx,5,150,211,0.6758653527566943,1.818473907108963,0.017964071856287425
solo_xG,espesor_en_vez_idx,10,100,261,0.73774168865962,2.12059971819045,0.00998003992015968
solo_xG,espesor_en_vez_idx,10,120,241,0.7676524771043268,2.1830039654020994,0.005988023952095809
solo_xG,espesor_en_vez_idx,10,150,211,0.6990707970102701,1.950125410208646,0.015968063872255488
solo_xG,espesor_en_vez_idx,20,100,261,0.5999582894042745,1.8841644577209942,0.017964071856287425
solo_xG,espesor_en_vez_idx,20,120,241,0.6474812306988437,2.0173512026448406,0.015968063872255488
solo_xG,espesor_en_vez_idx,20,150,211,0.6890701283085333,1.9400780728205913,0.017964071856287425
solo_xC,full(+idx),5,100,261,0.5721250406247976,0.6629754583778639,0.08982035928143713
solo_xC,full(+idx),5,120,241,0.4664521317685638,0.5332777410840532,0.10978043912175649
solo_xC,full(+idx),5,150,211,0.8712457657082937,0.9801335898998013,0.04590818363273453
solo_xC,full(+idx),10,100,261,0.6994251469047102,0.9395543887481762,0.0499001996007984
solo_xC,full(+idx),10,120,241,0.6158946612398778,0.816216853422784,0.0718562874251497
solo_xC,full(+idx),10,150,211,0.9773482951606896,1.2734430208500194,0.033932135728542916
solo_xC,full(+idx),20,100,261,0.8025096558491679,0.9415928215052416,0.07784431137724551
solo_xC,full(+idx),20,120,241,0.7104481295219651,0.822802250404509,0.09181636726546906
solo_xC,full(+idx),20,150,211,0.8046271822102522,1.0739786349633809,0.043912175648702596
solo_xC,sin_idx,5,100,261,0.77269813930348,0.8991812958768028,0.11177644710578842
solo_xC,sin_idx,5,120,241,0.6537978961568072,0.749388007056052,0.15768463073852296
solo_xC,sin_idx,5,150,211,0.8786434290864032,0.9827220955266611,0.12375249500998003
solo_xC,sin_idx,10,100,261,0.7263498637882037,0.8168141137521238,0.16966067864271456
solo_xC,sin_idx,10,120,241,0.5993000674216427,0.6614169307047365,0.2055888223552894
solo_xC,sin_idx,10,150,211,0.8632862366596377,0.9183705408003001,0.15568862275449102
solo_xC,sin_idx,20,100,261,1.209521046305852,1.513077790111352,0.05389221556886228
solo_xC,sin_idx,20,120,241,1.0681494810301835,1.307514725445355,0.09780439121756487
solo_xC,sin_idx,20,150,211,0.7933950350299563,0.9130883450147762,0.12574850299401197
solo_xC,espesor_en_vez_idx,5,100,261,0.5679071241385902,0.5987979988150247,0.1317365269461078
solo_xC,espesor_en_vez_idx,5,120,241,0.4329004935442661,0.4504230779456482,0.1656686626746507
solo_xC,espesor_en_vez_idx,5,150,211,0.9096934739891941,0.9290990883453146,0.06187624750499002
solo_xC,espesor_en_vez_idx,10,100,261,0.796724702700909,0.8894098106483858,0.07584830339321358
solo_xC,espesor_en_vez_idx,10,120,241,0.6726004021102588,0.7405230548166924,0.10978043912175649
solo_xC,espesor_en_vez_idx,10,150,211,1.177637111176945,1.2640894582489972,0.043912175648702596
solo_xC,espesor_en_vez_idx,20,100,261,0.87904297797256,1.0424316908450373,0.07584830339321358
solo_xC,espesor_en_vez_idx,20,120,241,0.755744657465527,0.8836523202369502,0.0998003992015968
solo_xC,espesor_en_vez_idx,20,150,211,1.021576022168441,1.1332764532876962,0.04590818363273453
