Batch,orden_escalon_fase,residuo_ln_masa,R,z_residuo,flag_qc
AP0235,0,0.02897727123992766,True,2.520343912345451,True
AP0235,1,-0.02290587236872277,True,1.4527717428056055,False
AP0235,2,0.00024492947335197357,True,1.8256905568190192,False
AP0235,3,-0.0127802422769836,True,1.6507031077077159,False
AP0236,0,-0.10294114449303571,True,-0.2311844276596494,False
AP0236,1,-0.07161002445825204,True,0.6062113085503456,False
AP0236,2,-0.08733818095594614,True,0.31113224563559677,False
AP0237,0,-0.034265206780260016,True,1.2012447585400883,False
AP0237,1,-0.052131272683501706,True,0.9447849178572237,False
AP0237,2,-0.046087199912339116,True,1.0244777283185815,False
AP0237,3,-0.035416251858608305,True,1.2580783573274381,False
AP0238,0,-0.11220355907760826,True,-0.4243780472519111,False
AP0238,1,-0.09899758281766324,True,0.13016928126456664,False
AP0238,2,-0.10456171023725958,True,0.013288982327628577,False
AP0239,0,-0.1509891597469597,True,-1.2333604689470687,False
AP0239,1,-0.05753957236160012,True,0.850779533764768,False
AP0239,2,-0.044256661138499354,True,1.056132892199757,False
AP0239,3,-0.051770692994995926,True,0.9744082897022833,False
AP0240,0,-0.06188516023584789,True,0.6251532078614522,False
AP0240,1,-0.08019219263504951,True,0.45703872865929185,False
AP0240,2,-0.046876762967178465,True,1.010823962414987,False
AP0240,3,-0.0640282661389211,True,0.7617989700893258,False
AP0241,0,-0.06595490883406185,True,0.5402671929524389,False
AP0241,1,-0.07380801169280815,True,0.5680065775788896,False
AP0241,2,-0.0965834788809179,True,0.1512550416518854,False
AP0242,0,-0.07453851064812689,True,0.36123211646601366,False
AP0242,1,-0.09704659645524494,True,0.16408071984497483,False
AP0242,2,-0.08095516539121306,True,0.4215125372990647,False
AP0242,3,-0.08509463787953919,True,0.39639980747399317,False
AP0243,0,-0.12599434879445504,True,-0.7120236236949053,False
AP0243,1,-0.10396854496968544,True,0.04376556212483686,False
AP0243,2,-0.10530908984974019,True,0.0003646867854494515,False
AP0244,0,-0.06541064253955042,True,0.5516193921547794,False
AP0244,1,-0.059669129269087406,True,0.813764237470116,False
AP0244,2,-0.05159933420600993,True,0.9291574232287365,False
AP0244,3,-0.06356436573622659,True,0.7698453874206339,False
AP0245,0,-0.051403274245950925,True,0.8437823219063473,False
AP0245,1,-0.09382320901281105,True,0.22010863853296772,False
AP0245,2,-0.05501456719176012,True,0.8700984393922203,False
AP0246,0,-0.10111434438729106,True,-0.19308139075951233,False
AP0246,1,-0.1003653278711436,True,0.1063955618433482,False
AP0246,2,-0.12022584558008909,True,-0.2575879739108226,False
AP0246,3,-0.11714457093227715,True,-0.15951076144319218,False
AP0247,0,-0.07394973142208272,True,0.37351275762945957,False
AP0247,1,-0.16320159671152012,True,-0.985804933480038,False
AP0247,2,-0.13166159907810382,True,-0.4553443155178594,False
AP0247,3,-0.13888248189469543,True,-0.536557865732127,False
AP0248,0,-0.09071542287500023,True,0.023817266547567502,False
AP0248,1,-0.09190658333148605,True,0.2534228304339925,False
AP0248,2,-0.10078365941024536,True,0.07862210708285124,False
AP0248,3,-0.08237883981511374,True,0.4435057045307726,False
AP0249,0,-0.067546440272368,True,0.5070713435922332,False
AP0249,1,-0.034918943043324546,True,1.2439642820302772,False
AP0249,2,-0.031954066182684926,True,1.2688793606469306,False
AP0249,3,-0.048996290877219906,True,1.022530682256428,False
AP0250,0,-0.11974936258135926,True,-0.5817669309291474,False
AP0250,1,-0.1302303630859356,True,-0.41270919813703033,False
AP0250,2,-0.11229501671693498,True,-0.1204416370156523,False
AP0250,3,-0.10311849603504797,True,0.08377346829180952,False
AP0251,0,-0.009075337677467488,True,1.726650088283094,False
AP0251,1,-0.004395921528889346,True,1.7745059553673654,False
AP0251,2,-0.003341925994263306,True,1.7636637375742763,False
