fase,grupo,estado,parametrizacion,targets,con_signos,index,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,en_cota,theta_1sd_rel,ancho_ic_1sd_rel
Reducción,FeO,CURADO,cinetica,v6,True,4,m6_ln_feo_ret,tasa_aire_nm3_min,0.0002379160603926126,7.986000851981505e-23,0.0007745317565376727,9.90781911837341,0.0023572292917260103,7.9123851920608695e-22,0.0076739205452112935,False,1,True,False,0.031129286021205373,0.10134087014546271
Reducción,FeO,CURADO,cinetica,v5,True,0,v5_ln_feo_ret,tasa_feed_Carbon_kg_min,-2.7381267222589024e-59,-0.00019901036862562032,-5e-324,22.041557447169478,-6.035257744629946e-58,-0.004386498472643985,-1.1e-322,False,-1,,True,-5.55571151277526e-57,0.040379584595079364
Reducción,FeO,CURADO,cinetica,v5,True,1,v5_ln_feo_ret,Cx_av_v4,-2.5047863748051108e-31,-0.0006012904585599295,-5e-324,17.23194068245163,-4.316233023285472e-30,-0.010361401514828844,-8.4e-323,False,-1,,True,-3.973276124060248e-29,0.09538110901003656
Reducción,FeO,CURADO,cinetica,v5,True,2,v5_ln_feo_ret,tasa_gn_nm3_min,-0.002498523407605702,-0.004852883453917614,-5.551078167925704e-12,4.950636298158929,-0.012369280673492525,-0.024024860977699413,-2.7481369072050556e-11,False,-1,True,False,-0.11386449088047117,0.22115906597810966
Reducción,FeO,CURADO,cinetica,v5,True,3,v5_ln_feo_ret,exceso_o2_combustion_pct,3.7647532080399286e-05,8.315274485829056e-27,0.0006392230143409161,11.409823530874114,0.0004295516974102778,9.48758144940895e-26,0.007293421790503266,False,1,True,False,0.0039542061194617,0.06713905043256682
Reducción,FeO,CURADO,cinetica,v5,True,4,v5_ln_feo_ret,tasa_aire_nm3_min,0.00030894744538698826,3.7669363231468264e-22,0.0011453255363101417,9.90781911837341,0.0030609954059778273,3.732212372016937e-21,0.011347678245414902,False,1,True,False,0.02817776495573003,0.10446020590821763
Reducción,FeO,CURADO,cinetica,v6,False,0,m6_ln_feo_ret,tasa_feed_Carbon_kg_min,-0.00051620638292323,-0.0017413525646001824,0.0019424834346153965,22.041557447169478,-0.011377992643797939,-0.03838212258841082,0.042815360214250336,False,-1,True,,-0.15025640000282392,1.0722841750007144
Reducción,FeO,CURADO,cinetica,v6,False,1,m6_ln_feo_ret,Cx_av_v6,-2.996897378443706e-06,-0.00011564954492888557,3.436649445076333e-05,547.8182706921207,-0.001641755139300781,-0.06335493370927281,0.018826593559767527,False,-1,True,,-0.021680820566529004,1.0852793476633926
Reducción,FeO,CURADO,cinetica,v6,False,2,m6_ln_feo_ret,tasa_gn_nm3_min,-0.0024351951272306364,-0.004600000092464821,-0.0006927408240508511,4.950636298158929,-0.01205576538996774,-0.022772927429290775,-0.0034295078687626712,True,-1,True,,-0.15920698522885798,0.2554468681690928
Reducción,FeO,CURADO,cinetica,v6,False,3,m6_ln_feo_ret,exceso_o2_combustion_pct,-1.7804291077020286e-05,-0.0004235466423452143,0.0003283139541739635,11.409823530874114,-0.00020314381928111808,-0.004832592446253148,0.0037460042798484147,False,1,False,,-0.002682692802112443,0.11328791479247888
Reducción,FeO,CURADO,cinetica,v6,False,4,m6_ln_feo_ret,tasa_aire_nm3_min,0.00024311313048590066,-0.0001549742046314478,0.0008031148229306226,9.90781911837341,0.002408720922155816,-0.0015354563875021716,0.0079571163968811,False,1,True,,0.031809278288811194,0.1253577724998521
Reducción,FeO,CURADO,cinetica,v5,False,0,v5_ln_feo_ret,tasa_feed_Carbon_kg_min,0.0014381835751347421,-0.0019913954434015676,0.005467914412125284,22.041557447169478,0.031699805890908,-0.04389345706576719,0.12052134963106538,False,-1,False,,0.2918101993200907,1.5135082428734277
Reducción,FeO,CURADO,cinetica,v5,False,1,v5_ln_feo_ret,Cx_av_v4,-0.0007083820131700911,-0.004968821054855513,0.0027910728570342096,17.23194068245163,-0.012206796831462679,-0.08562242967898694,0.0480956019128143,False,-1,True,,-0.11236875798885043,1.23093136865817
Reducción,FeO,CURADO,cinetica,v5,False,2,v5_ln_feo_ret,tasa_gn_nm3_min,-0.0028685735998471153,-0.005433701835552741,-0.0004352929716049151,4.950636298158929,-0.014201264587343556,-0.0269002815404602,-0.0021549771855607566,True,-1,True,,-0.13072868219103684,0.2277910540174819
Reducción,FeO,CURADO,cinetica,v5,False,3,v5_ln_feo_ret,exceso_o2_combustion_pct,1.135591159737414e-05,-0.00061948064376596,0.0006106432483700698,11.409823530874114,0.00012956894735824571,-0.007068164826161894,0.006967331704222228,False,1,True,,0.0011927372831373833,0.12920271670378095
Reducción,FeO,CURADO,cinetica,v5,False,4,v5_ln_feo_ret,tasa_aire_nm3_min,0.00015086022294818623,-0.00047731821314135587,0.0011060947313764305,9.90781911837341,0.0014946958011281147,-0.00472918251770976,0.0109589865262635,False,1,True,,0.013759310739981455,0.14441627029022747
Reducción,Sn,CURADO,dosis_sobrante,v6,True,0,m6_ln_sn_dep,m6_dosis_C_sn,0.0804140812459449,1.8148747974104912e-28,0.2619019115787048,0.17670907685406007,0.014209898063038308,3.207048500561072e-29,0.04628044502138659,False,1,True,False,0.020870951524171833,0.0679749369258973
Reducción,Sn,CURADO,dosis_sobrante,v6,True,1,m6_ln_sn_dep,tasa_gn_nm3_min,0.011251346678707235,0.0032424683525999376,0.019088729377969082,4.950636298158929,0.055701325270777945,0.016052281522012837,0.09450135654430646,True,1,True,False,0.0818119633512673,0.1152229829266155
Reducción,Sn,CURADO,dosis_sobrante,v6,True,2,m6_ln_sn_dep,exceso_o2_combustion_pct,-2.2131454925024942e-14,-0.0012511645402934436,-1.0607577211559099e-20,11.409823530874114,-2.5251599517602936e-13,-0.014275566612835426,-1.2103058407401102e-19,False,-1,,True,-3.7088577771753927e-13,0.020967402963400897
Reducción,Sn,CURADO,dosis_sobrante,v6,True,3,m6_ln_sn_dep,tasa_aire_nm3_min,0.001579326009996656,-0.00011648619758703038,0.0031200292422421507,9.90781911837341,0.015647676435989265,-0.0011541241754794021,0.030912685376170885,False,0,,False,0.022982705077310688,0.047098496042570756
Reducción,Sn,CURADO,dosis_sobrante,v5,True,0,v5_ln_sn_dep,v5_dosis_C_sn,0.05932250670888375,3.2250092645665837e-34,0.22462556422882993,0.17668367993890347,0.01048131878852587,5.698065047006808e-35,0.03968767129630219,False,1,True,False,0.015476221729809026,0.05860094643755563
Reducción,Sn,CURADO,dosis_sobrante,v5,True,1,v5_ln_sn_dep,tasa_gn_nm3_min,0.0069264976837741295,1.629519380048559e-15,0.01466439671478566,4.950636298158929,0.03429057085240595,8.067157791421831e-15,0.07259809466682043,False,1,True,False,0.05063184208598992,0.10719492774661363
Reducción,Sn,CURADO,dosis_sobrante,v5,True,2,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.0003482121010121217,-0.002251474508871125,-5.65828817851593e-20,11.409823530874114,-0.0039730386238632205,-0.025688926830481004,-6.456006960369788e-19,False,-1,True,False,-0.005866401730983928,0.037931059597632905
Reducción,Sn,CURADO,dosis_sobrante,v5,True,3,v5_ln_sn_dep,tasa_aire_nm3_min,0.001908889736828438,-5.731113396586066e-05,0.003493342080950613,9.90781911837341,0.018912934229415587,-0.000567828348802614,0.034611401456660834,False,0,,False,0.027925948022509955,0.051943994046748286
Reducción,Sn,CURADO,dosis_sobrante,v6,False,0,m6_ln_sn_dep,m6_dosis_C_sn,0.07814345971063785,-0.12336285822834206,0.25196712393139714,0.17670907685406007,0.01380865862764925,-0.021799336795608613,0.04452487786748974,False,1,True,,0.02028162647986532,0.09741445455635572
Reducción,Sn,CURADO,dosis_sobrante,v6,False,1,m6_ln_sn_dep,tasa_gn_nm3_min,0.012393524985653645,0.0036590354801010693,0.022690456224112678,4.950636298158929,0.061355834656116555,0.018114553864039738,0.11233219620487842,True,1,True,,0.09011708916925949,0.13838324788073483
Reducción,Sn,CURADO,dosis_sobrante,v6,False,2,m6_ln_sn_dep,exceso_o2_combustion_pct,0.0003783875181282881,-0.0012894272027568607,0.001947558599450686,11.409823530874114,0.004317334808129197,-0.014712136839364415,0.02222129993576867,False,-1,False,,0.006341135249130553,0.054246410856380954
Reducción,Sn,CURADO,dosis_sobrante,v6,False,3,m6_ln_sn_dep,tasa_aire_nm3_min,0.0014619828312236408,-0.00035731023451212896,0.0030958240688156113,9.90781911837341,0.014485061445931275,-0.003540165172689758,0.030672864896131875,False,0,,,0.02127510091356994,0.050250782158583085
Reducción,Sn,CURADO,dosis_sobrante,v5,False,0,v5_ln_sn_dep,v5_dosis_C_sn,0.05932250670888375,-0.13508193399884622,0.22764522964183911,0.17668367993890347,0.01048131878852587,-0.023866773192180227,0.040221196893656885,False,1,True,,0.015476221729809026,0.09462927855486772
Reducción,Sn,CURADO,dosis_sobrante,v5,False,1,v5_ln_sn_dep,tasa_gn_nm3_min,0.0069264976837741295,-0.0021336983021314573,0.01613104659665578,4.950636298158929,0.03429057085240595,-0.01056316426385207,0.07985894480869717,False,1,True,,0.05063184208598992,0.1335130280376258
Reducción,Sn,CURADO,dosis_sobrante,v5,False,2,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.0003482121010121217,-0.0022986848971632322,0.0013425848330441414,11.409823530874114,-0.0039730386238632205,-0.02622758902971799,0.015318656020261738,False,-1,True,,-0.005866401730983928,0.061345228917028094
Reducción,Sn,CURADO,dosis_sobrante,v5,False,3,v5_ln_sn_dep,tasa_aire_nm3_min,0.001908889736828438,-0.00010834546049893656,0.00342822355096172,9.90781911837341,0.018912934229415587,-0.0010734672249203348,0.033966218840276514,False,0,,,0.027925948022509955,0.051737950331358494
Reducción,FeO,CURADO,dosis_sobrante,v6,True,0,m6_ln_feo_ret,m6_exceso_C_pos,-1.6304655852743586e-15,-3.6433040334359017e-05,-9.778696962193314e-23,220.58144988773608,-3.596504627918742e-13,-0.00803645286077128,-2.1569991539334017e-20,False,-1,,True,-4.749500679973922e-12,0.10612842822587894
Reducción,FeO,CURADO,dosis_sobrante,v6,True,1,m6_ln_feo_ret,m6_C_x_avance,-1.9350715563227587e-05,-5.9596229750289624e-05,-1.456020097076361e-18,547.8182706921207,-0.010600675536502444,-0.03264790352157398,-7.976344116733458e-16,False,-1,True,False,-0.13999124393713644,0.43114428039862435
Reducción,FeO,CURADO,dosis_sobrante,v6,True,2,m6_ln_feo_ret,tasa_gn_nm3_min,-0.0023828992727391173,-0.003692182757147618,-0.0007481466958201682,4.950636298158929,-0.011796867634478788,-0.018278653976971513,-0.003703802188674992,True,-1,True,False,-0.15578801266256917,0.19247373669887982
Reducción,FeO,CURADO,dosis_sobrante,v6,True,3,m6_ln_feo_ret,exceso_o2_combustion_pct,1.5434006116888602e-20,3.504204084455029e-41,0.00033226052383990116,11.409823530874114,1.7609928616813057e-19,3.998235021980017e-40,0.0037910339432890637,False,1,,True,2.3255459562204557e-18,0.0500639375011043
Reducción,FeO,CURADO,dosis_sobrante,v6,True,4,m6_ln_feo_ret,tasa_aire_nm3_min,0.00019283728459467143,3.4693639477650585e-30,0.0007524722902109576,9.90781911837341,0.0019105969350423,3.4373830450262094e-29,0.007455359342998351,False,1,True,False,0.025231112930308507,0.09845457724188038
Reducción,FeO,CURADO,dosis_sobrante,v5,True,0,v5_ln_feo_ret,v5_exceso_C_pos,-2.6349051142591326e-13,-4.401559251952822e-05,-1.7186843410718476e-23,225.93352309482322,-5.953133954851336e-11,-0.009944597889043156,-3.883084082662673e-21,False,-1,,True,-5.480113070479779e-10,0.09154425431330976
Reducción,FeO,CURADO,dosis_sobrante,v5,True,1,v5_ln_feo_ret,v5_C_x_avance,-1.160458135548541e-16,-2.478177021210478e-05,-4.0799969062998585e-24,551.5092042492008,-6.400033429008871e-14,-0.013667374369564457,-2.250155847132636e-21,False,-1,,True,-5.891503048950776e-13,0.12581399560269246
Reducción,FeO,CURADO,dosis_sobrante,v5,True,2,v5_ln_feo_ret,tasa_gn_nm3_min,-0.002498523407176482,-0.004852883453936581,-6.540130761746759e-15,4.950636298158929,-0.012369280671367614,-0.02402486097779331,-3.237780874380931e-14,False,-1,True,False,-0.11386449086091045,0.22115906623165368
Reducción,FeO,CURADO,dosis_sobrante,v5,True,3,v5_ln_feo_ret,exceso_o2_combustion_pct,3.7647531846105195e-05,6.532950609082745e-63,0.000648016874319763,11.409823530874114,0.00042955169473702363,7.453981358555068e-62,0.007393758181017125,False,1,True,False,0.003954206094853258,0.06806268959350267
Reducción,FeO,CURADO,dosis_sobrante,v5,True,4,v5_ln_feo_ret,tasa_aire_nm3_min,0.00030894744560184173,6.607721441830535e-32,0.0011537657172695718,9.90781911837341,0.0030609954081065567,6.546810883025449e-31,0.011431302031687275,False,1,True,False,0.02817776497532589,0.10522999843704321
Reducción,FeO,CURADO,dosis_sobrante,v6,False,0,m6_ln_feo_ret,m6_exceso_C_pos,8.624341929054885e-06,-3.79784020730602e-05,5.540092577210458e-05,220.58144988773608,0.0019023698470385212,-0.008377330993695021,0.012220416531933672,False,-1,False,,0.025122466997352304,0.27201137215140253
Reducción,FeO,CURADO,dosis_sobrante,v6,False,1,m6_ln_feo_ret,m6_C_x_avance,-2.4514620838893732e-05,-7.277035002321913e-05,1.319495268642341e-05,547.8182706921207,-0.013429557194635788,-0.03986492730738023,0.007228436162540825,False,-1,True,,-0.17734911428317077,0.6219092840486193
Reducción,FeO,CURADO,dosis_sobrante,v6,False,2,m6_ln_feo_ret,tasa_gn_nm3_min,-0.0024563686047832,-0.004566365681458081,-0.0006725931200664578,4.950636298158929,-0.012160587576497715,-0.022606415693293608,-0.0033297639140929727,True,-1,True,,-0.16059125439491373,0.25456514089324417
Reducción,FeO,CURADO,dosis_sobrante,v6,False,3,m6_ln_feo_ret,exceso_o2_combustion_pct,-2.4489664045397444e-05,-0.00043086261619230287,0.00034226736783007287,11.409823530874114,-0.0002794227450883775,-0.004916066416804919,0.003905210267317911,False,1,False,,-0.0036900231060328645,0.11649271707937334
Reducción,FeO,CURADO,dosis_sobrante,v6,False,4,m6_ln_feo_ret,tasa_aire_nm3_min,0.00021464840207758293,-0.00016748464210237626,0.0007871543244964893,9.90781911837341,0.002126697541832579,-0.0016594075390558517,0.007798982665356624,False,1,True,,0.028084911507198305,0.12490636146716701
Reducción,FeO,CURADO,dosis_sobrante,v5,False,0,v5_ln_feo_ret,v5_exceso_C_pos,-1.4875264190232315e-05,-8.471371382678815e-05,8.80301423551066e-05,225.93352309482322,-0.0033608208454654494,-0.019139667819332885,0.01988896020082805,False,-1,True,,-0.030937785681384094,0.3592751249312656
Reducción,FeO,CURADO,dosis_sobrante,v5,False,1,v5_ln_feo_ret,v5_C_x_avance,2.417092332951052e-05,-4.3199831017710094e-05,6.804958986158246e-05,551.5092042492008,0.01333048669142679,-0.023825104428277236,0.037529975154045825,False,-1,False,,0.12271280120282292,0.5647996099355573
Reducción,FeO,CURADO,dosis_sobrante,v5,False,2,v5_ln_feo_ret,tasa_gn_nm3_min,-0.0026839486547204495,-0.005407797880652056,-0.00023968566115543726,4.950636298158929,-0.013287253632453883,-0.026772040481062995,-0.0011865965342643292,True,-1,True,,-0.12231482250227449,0.23552489638271634
Reducción,FeO,CURADO,dosis_sobrante,v5,False,3,v5_ln_feo_ret,exceso_o2_combustion_pct,2.806136619059971e-05,-0.0006040312112431267,0.0006797498880367606,11.409823530874114,0.00032017523626997983,-0.00689188952742422,0.0077558262676308744,False,1,True,,0.0029473492624791514,0.13483845549240475
Reducción,FeO,CURADO,dosis_sobrante,v5,False,4,v5_ln_feo_ret,tasa_aire_nm3_min,0.0002324984404668247,-0.00038191855078946067,0.0011743357483993248,9.90781911837341,0.002303552493449208,-0.003783979919173285,0.011635106179380178,False,1,True,,0.021205180705869967,0.14193924730129145
Fusión,Sn,CURADO,fusion_v5,v6,True,0,m6_ln_sn_dep,relacion_C_Sn_carga,0.030413120520636067,9.771342768781253e-39,0.42042067529012506,0.040488506440581,0.0012313818260779397,3.956270746269244e-40,0.017022205219237644,False,1,True,False,0.006086697509070722,0.08414044442805226
Fusión,Sn,CURADO,fusion_v5,v6,True,1,m6_ln_sn_dep,tasa_gn_nm3_min,0.015042904856465634,0.0020471794538362707,0.027210594021218604,1.4180054774668276,0.02133092148348061,0.0029029116788973804,0.03858477136721409,True,1,True,False,0.10543834894268346,0.17637477010330804
Fusión,Sn,CURADO,fusion_v5,v6,True,2,m6_ln_sn_dep,exceso_o2_combustion_pct,-4.089534354701753e-14,-8.147116538435632e-12,-2.8665461615896046e-26,2.9272812226065748,-1.1971217125722936e-13,-2.3848901261350102e-11,-8.391186752556202e-26,False,-1,,True,-5.917350403957529e-13,1.1788467624529066e-10
Fusión,Sn,CURADO,fusion_v5,v6,True,3,m6_ln_sn_dep,tasa_aire_nm3_min,0.0019286092982394856,-0.0019171354481572142,0.005763212455489984,5.4838702352068,0.01057624312595859,-0.010513322021009196,0.03160470924383462,False,0,,False,0.052278173452613506,0.20818864673617607
Fusión,Sn,CURADO,fusion_v5,v5,True,0,v5_ln_sn_dep,relacion_C_Sn_carga,1.047058891275743e-20,5e-324,0.3881579761343829,0.040488506440581,4.239385066308553e-22,0.0,0.01571593671667985,False,1,,True,1.785724663061211e-21,0.06619907217468565
Fusión,Sn,CURADO,fusion_v5,v5,True,1,v5_ln_sn_dep,tasa_gn_nm3_min,0.018088913661490402,0.004691630459298495,0.03308885479580084,1.4180054774668276,0.02565017865341792,0.0066527576895354735,0.046920177343550105,True,1,True,False,0.10804434114124617,0.1696154590095358
Fusión,Sn,CURADO,fusion_v5,v5,True,2,v5_ln_sn_dep,exceso_o2_combustion_pct,-1.911224266213894e-16,-1.850609002455064e-12,-1.2266859947212933e-23,2.9272812226065748,-5.594690906677962e-16,-5.417252983273394e-12,-3.59085487838211e-23,False,-1,,True,-2.3566100691481717e-15,2.2818692114308214e-11
Fusión,Sn,CURADO,fusion_v5,v5,True,3,v5_ln_sn_dep,tasa_aire_nm3_min,0.0037594660435097418,-0.0004943886890444202,0.007808935949850213,5.4838702352068,0.020616423936273748,-0.002711163416473606,0.04282319142401993,False,0,,False,0.08684103027042654,0.19180097864064105
Fusión,Sn,CURADO,fusion_v5,v6,False,0,m6_ln_sn_dep,relacion_C_Sn_carga,0.00605908267630817,-0.42644590804473187,0.3993629921489687,0.040488506440581,0.00024532320796371616,-0.01726615789442854,0.01616961107975322,False,1,True,,0.0012126280632108971,0.16527238539586414
Fusión,Sn,CURADO,fusion_v5,v6,False,1,m6_ln_sn_dep,tasa_gn_nm3_min,0.02794499668334571,0.01419242704442015,0.04200215877322515,1.4180054774668276,0.039626158364776544,0.02012493928753611,0.05955929120586463,True,1,True,,0.19587136524594212,0.19492326954151112
Fusión,Sn,CURADO,fusion_v5,v6,False,2,m6_ln_sn_dep,exceso_o2_combustion_pct,0.007176574521331508,0.000291612322275665,0.012763338745557424,2.9272812226065748,0.021007851838930492,0.0008536312752782511,0.0373618818476372,True,-1,False,,0.10384142168657573,0.18045960490344445
Fusión,Sn,CURADO,fusion_v5,v6,False,3,m6_ln_sn_dep,tasa_aire_nm3_min,7.477115953175364e-05,-0.003900046923245011,0.0038765951788458787,5.4838702352068,0.000410035336208083,-0.021387351238293176,0.021258744915219098,False,0,,,0.002026797055693062,0.21079886167878525
Fusión,Sn,CURADO,fusion_v5,v5,False,0,v5_ln_sn_dep,relacion_C_Sn_carga,-0.0841135823767906,-0.6011093320789039,0.3625145933349277,0.040488506440581,-0.0034056333218030273,-0.024338019063370048,0.014677674447045822,False,1,False,,-0.01434529612423774,0.16434290600701004
Fusión,Sn,CURADO,fusion_v5,v5,False,1,v5_ln_sn_dep,tasa_gn_nm3_min,0.033552696221706216,0.017080050743918926,0.049398448984025456,1.4180054774668276,0.047577907026159945,0.0242196055102884,0.07004727123771375,True,1,True,,0.2004088816292099,0.19303647028989238
Fusión,Sn,CURADO,fusion_v5,v5,False,2,v5_ln_sn_dep,exceso_o2_combustion_pct,0.008686729925203696,0.0015153206518912059,0.014640457953970851,2.9272812226065748,0.025428501395903393,0.004435769690509081,0.04285673765901994,True,-1,False,,0.10711058650515658,0.16183778780868377
Fusión,Sn,CURADO,fusion_v5,v5,False,3,v5_ln_sn_dep,tasa_aire_nm3_min,0.0016258963035629959,-0.002906878736746543,0.005859484050630181,5.4838702352068,0.008916204344641873,-0.01594094578179991,0.03213265017891983,False,0,,,0.03755706488107367,0.20249683528712262
