signature,masa_finF_med,masa_finR_med,frac_dM_pos_R,media_dlnM_R,sd_dlnM_R,autocorr_dlnM_R,frac_feo_ret_pos,sd_ln_ratio_bal,rho_ratio_calcarga,sn_finF_pct_feed,ratio_bal_dev,cierre_sn_dev,cierre_sn_IQR_dev,corr_invR_bal_dev,ratio_bal_lb,cierre_sn_lb,cierre_sn_IQR_lb,corr_invR_bal_lb,F_sd_ln_masa_carga,F_frac_ln_sn_dep_neg,R2_feo,n_feo,R2_feo_sinCaOprev,R2_sn,n_sn,aC,pG,gG,pCaO,cCaO
"('G', 'cierre+obs', 0.02, 0.3, False)",68515.21125087213,55595.559382853964,0.27358490566037735,-0.012190858733082262,0.025577123142684132,0.1890506182876294,0.16415868673050615,0.11921004960252159,0.15344551404682102,21.450503140643892,1.0769079191318367,0.9894395881386542,0.08335112794129418,0.9488368468308253,1.0055698577506214,0.9850778074159765,0.07163422454996615,0.9926265246751135,0.05464129272136807,0.0011838989739542227,0.24027589779625258,1087,0.24562244831234614,0.6912550244709565,1010,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('G', 'cierre+obs', 0.0, 0.15, True)",70828.65818030847,55643.34370435959,0.23270440251572327,-0.0142856914628572,0.026727558482232565,0.38118123429960005,0.1491108071135431,0.12748530985736894,0.0902534396473883,22.091769050670525,1.0717641196756713,0.9897610973819474,0.08299623394835232,0.9456894162648801,1.01969262156191,0.9851757677338167,0.07181958237752473,0.9925506128001399,0.06630352579291313,0.0011838989739542227,0.331382279972686,1087,0.33649765617274974,0.6997876866275321,1006,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('G', 'cierre+obs', 0.0, 0.3, True)",70828.65818030847,57430.719406187905,0.34276729559748426,-0.009085544299754592,0.026481243849748388,0.2536522005848662,0.18057455540355677,0.12576099421284614,0.10022599388847227,22.091769050670525,1.0435472308650957,0.9892110247459477,0.08294994648494924,0.9484163874120854,0.9817495532661863,0.9847894671309898,0.07181245310034323,0.9927476411973168,0.06630352579291313,0.0011838989739542227,0.30474311472026794,1087,0.28868402345178024,0.7058175089603207,1009,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('G', 'cierre+obs', 0.01, 0.15, True)",70828.65818030847,54327.26123206184,0.13522012578616352,-0.020440187664550823,0.02709917910362705,0.4026635840796581,0.12585499316005472,0.1273855760414921,0.08711936864551607,22.091769050670525,1.0993250495409645,0.9901081307386191,0.08318813646860423,0.9451901108050887,1.047892065929107,0.9854489246562746,0.0717306688476338,0.9925296729112313,0.06630352579291313,0.0011838989739542227,0.35051677682557403,1087,0.34025496799818133,0.709620251314,1003,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('G', 'cierre+obs', 0.01, 0.3, True)",70828.65818030847,56515.27101681229,0.27044025157232704,-0.012552074177881673,0.02681061931564807,0.2836300149775301,0.1573187414500684,0.12566926763826655,0.09841727756436744,22.091769050670525,1.0616534096064796,0.9894484943114354,0.08306841341266291,0.948167174489603,0.9986409549829706,0.9851260398099587,0.07175398323633919,0.9927409911840955,0.06630352579291313,0.0011838989739542227,0.3169933041545899,1087,0.30829894018112436,0.7020929314582214,1007,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('G', 'cierre+obs', 0.02, 0.15, True)",70828.65818030847,52900.30897667851,0.07547169811320754,-0.026596199128726152,0.027491555718166524,0.42343187063302024,0.106703146374829,0.12736243499722907,0.08471097779342218,22.091769050670525,1.127738093277951,0.9904458618010568,0.08337851844323185,0.9445822499381823,1.0768762773928557,0.9857147551735357,0.07164411806547921,0.9925064685450737,0.06630352579291313,0.0011838989739542227,0.35130886155466245,1087,0.34673874027184703,0.6962872128425117,1000,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('G', 'cierre+obs', 0.02, 0.3, True)",70828.65818030847,55533.598429141515,0.22327044025157233,-0.016019137143369864,0.027174269232539728,0.3127891071984643,0.14227086183310533,0.12559929454176344,0.09682537253281502,22.091769050670525,1.0804709588145742,0.9896817910177609,0.0831844535330224,0.9478846890218858,1.0166749649554536,0.9853638218151162,0.07169653751345084,0.9927338825503759,0.06630352579291313,0.0011838989739542227,0.3245213533246577,1087,0.31976729901975065,0.705740911794855,1005,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('CaO', 'cierre', 0.0, 0.0, False)",70060.50909671032,54407.22538361226,0.09748427672955975,-0.022193127967787513,0.0253939135094112,0.32481212953105076,0.12311901504787962,0.1412575329133664,0.13619422210658952,21.99158517795123,1.0896004318570502,0.9896166073595434,0.08338275455828081,0.937223532076273,1.0148150308027972,0.9849740625403661,0.07053611607867527,0.9902972570935642,0.07731701865413297,0.006314127861089187,0.27417977026219476,1086,0.26609017888471265,0.6964287013317849,1005,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'cierre', 0.01, 0.0, False)",70060.50909671032,52398.61916703366,0.03459119496855346,-0.0321930827719897,0.02539391025638667,0.32470633556564993,0.09986320109439124,0.14102979745095381,0.13056299515873135,21.99158517795123,1.1299494374353534,0.9901605515963514,0.08361036606696559,0.9362742313445469,1.0546267459251004,0.9853781650720487,0.07045686631853987,0.9902697508389459,0.07731701865413297,0.006314127861089187,0.27054193585708153,1086,0.25311077895938283,0.697904726989407,1003,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'cierre', 0.02, 0.0, False)",70060.50909671032,50649.750059710255,0.012578616352201259,-0.04219303626465511,0.025393907049958416,0.324599346866586,0.08344733242134063,0.1410195864896356,0.12471852792784519,21.99158517795123,1.1723708158158108,0.9906409652523929,0.08358975094882204,0.9350362659054866,1.0974463845528717,0.9857664283658792,0.07038067220066069,0.9902359146956272,0.07731701865413297,0.006314127861089187,0.27206015533515326,1086,0.26096816741359197,0.686492801645221,1000,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'cierre', 0.0, 0.0, True)",87109.47092011743,65352.98043273406,0.07547169811320754,-0.0259302838487696,0.027126888421161444,0.42077117242586415,0.11354309165526676,0.1477904829331916,0.10985649643154119,27.20895884568904,0.9050033918338782,0.9875011610083718,0.08266847085052109,0.9348410452032857,0.8495967905671756,0.9828896798310763,0.0709487845136243,0.9902747710630493,0.0775529171947078,0.011049723756906077,0.3390209595546837,1086,0.33285017354426505,0.709131116780213,1009,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('CaO', 'cierre', 0.01, 0.0, True)",87109.47092011743,63062.207389014344,0.02358490566037736,-0.03602673998348516,0.02716276309318305,0.42199228288593915,0.09028727770177838,0.14739506639115532,0.10501981910286036,27.20895884568904,0.9408454655399889,0.9880996274347764,0.08269688379213092,0.9339091960215372,0.8841147856326688,0.9833808496179067,0.07085262513796797,0.9902456932851564,0.0775529171947078,0.011049723756906077,0.3382102642249395,1086,0.3391775818402061,0.6862811637405831,1003,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('CaO', 'cierre', 0.02, 0.0, True)",87109.47092011743,60700.76288656999,0.0110062893081761,-0.04612590033836893,0.027199428834929477,0.4232209331034344,0.07523939808481532,0.1472119967851176,0.09921794891415803,27.20895884568904,0.9757319682290786,0.9886190526500815,0.08303247022248517,0.9326940823729752,0.9205790335681594,0.9838526552546026,0.0707601985373354,0.9902101991983054,0.0775529171947078,0.011049723756906077,0.33030946219152346,1086,0.32978195166371704,0.6880640527411542,1002,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('CaO', 'G', 0.0, 0.0, False)",70060.50909671032,59208.21191250344,0.24290220820189273,-0.01921010004411535,0.03401016222257129,-0.07831940702852644,0.16415868673050615,0.12056412438780363,0.15725067976717017,21.99158517795123,1.0120090881768342,0.9883817449278993,0.08328462455579067,0.9469380154782052,0.9366891898005337,0.9839446479758542,0.07160759221593538,0.9930475480614763,0.07731701865413297,0.006314127861089187,0.12014497371484323,1087,0.12123939537699746,0.7099828229817045,1030,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'G', 0.0, 0.0, True)",87109.47092011743,59216.132317943804,0.20031545741324921,-0.023298962000245164,0.03476664577872229,0.13631268756665776,0.15321477428180574,0.1262080264885957,0.10291470898823096,27.20895884568904,1.0125549381194725,0.9888450097189899,0.08314397964828246,0.9462123406931506,0.9460933439590651,0.9833997167813637,0.0716712211981787,0.9928592695258599,0.0775529171947078,0.011049723756906077,0.6560267533618729,1087,0.6350821222625086,0.718212222030157,982,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('CaO', 'CaO', 0.0, 0.0, False)",70060.50909671032,58557.271739514676,0.292259083728278,-0.013015166369935358,0.039398424237838854,-0.182885277637399,0.16552667578659372,0.14289892256782794,0.16013452503022602,21.99158517795123,1.0119308394400206,0.9885841366777612,0.0819414856467876,0.9203733227701271,0.942015340697334,0.9843808744580794,0.07114345594786475,0.9938404199299572,0.07731701865413297,0.006314127861089187,0.13522709772431518,1085,0.11205395462068912,0.6984516016133779,1023,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'cierre+obs', 0.0, 0.15, False)",70060.50909671032,56538.474944375885,0.26257861635220126,-0.012841361936120043,0.025631978280094853,0.2983166343126835,0.1600547195622435,0.12772029283553457,0.15509021900491265,21.99158517795123,1.0567019304757608,0.9892075008197632,0.08363147800211712,0.9458931022295003,0.9794221495982058,0.9847823281176894,0.07108188613457866,0.99201688340323,0.07731701865413297,0.006314127861089187,0.25812930793309796,1087,0.25174596026445983,0.7001922598328292,1011,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'cierre+obs', 0.0, 0.3, False)",70060.50909671032,57998.021715649586,0.35062893081761004,-0.008826636894886063,0.02680369838066745,0.2265032802381477,0.17783857729138167,0.1223980075071073,0.15945654336480922,21.99158517795123,1.0315278143877324,0.9888292695154665,0.08340652220034173,0.9486613088618479,0.9617293025596125,0.9846614870422744,0.07142984082993387,0.9926072717008334,0.07731701865413297,0.006314127861089187,0.2542211454890192,1087,0.2520674564055311,0.6991355194095128,1013,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'cierre+obs', 0.01, 0.15, False)",70060.50909671032,55107.61721531604,0.16037735849056603,-0.01895510256044376,0.02587963269300854,0.31988157527887795,0.13953488372093023,0.12746606890693188,0.15258796161674903,21.99158517795123,1.0839814901835485,0.989528498554662,0.08390872718495412,0.9454156925079997,1.001066101778528,0.9850628839083895,0.07101309963259306,0.9920053680045242,0.07731701865413297,0.006314127861089187,0.2680599078020839,1087,0.2692345345994227,0.6970018581852238,1009,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'cierre+obs', 0.01, 0.3, False)",70060.50909671032,57009.15495081622,0.28773584905660377,-0.012295472022546739,0.02700934492149428,0.2533859028388159,0.16689466484268126,0.12225169011086096,0.15793937446116016,21.99158517795123,1.0491695532537149,0.9890214788170999,0.08352594440704186,0.9483980096042156,0.9765493245358433,0.9848481436689039,0.07137831550371243,0.9926021515066072,0.07731701865413297,0.006314127861089187,0.2623115339001929,1087,0.2646184716865497,0.6947445374762324,1012,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'cierre+obs', 0.02, 0.15, False)",70060.50909671032,53718.778737212786,0.08962264150943396,-0.025068966512925606,0.026147666808167026,0.340958811253258,0.11764705882352941,0.1272868547522993,0.14922534600531567,21.99158517795123,1.112950396809569,0.9900264631221879,0.08410050737202868,0.9448335587588955,1.0279147750639284,0.9853359442747737,0.07094613415736872,0.9919919390826478,0.07731701865413297,0.006314127861089187,0.2864886551582485,1087,0.27778939318994955,0.6991590085724155,1008,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'cierre+obs', 0.02, 0.3, False)",70060.50909671032,56010.26780055446,0.22169811320754718,-0.01576447482434144,0.027247842134370117,0.2798841700599486,0.1545827633378933,0.12212742251595479,0.15703437861883554,21.99158517795123,1.066785606731471,0.9893966090173671,0.08364292082762337,0.9481012274755861,0.991597347050209,0.9850315202381829,0.07132769183142118,0.9925965900953821,0.07731701865413297,0.006314127861089187,0.27707852422504065,1087,0.27715595742593446,0.7070160504216949,1009,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('CaO', 'cierre+obs', 0.0, 0.15, True)",87109.47092011743,62680.47777715346,0.031446540880503145,-0.03698813500726353,0.0284457625225491,0.4588602330182613,0.09165526675786594,0.13330540512155087,0.11247481162924756,27.20895884568904,0.9560535835359816,0.988013561544173,0.08287011992346449,0.9424788458209501,0.8881989232048387,0.9838754546521112,0.07138133219722231,0.9921368606300138,0.0775529171947078,0.011049723756906077,0.3621209746841877,1087,0.36120137955692244,0.6872784286858087,1003,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('CaO', 'cierre+obs', 0.0, 0.3, True)",87109.47092011743,60944.8032918918,0.031446540880503145,-0.0405953696878391,0.0313617054072706,0.5122938310369077,0.09028727770177838,0.12781663854869676,0.10805976849655397,27.20895884568904,0.9815728213972263,0.9885093144978909,0.08322030394048974,0.9445658751039004,0.9267468595527529,0.9842098510195229,0.07161546948219644,0.9927085103424531,0.0775529171947078,0.011049723756906077,0.42471258445294,1087,0.41989825766614186,0.6843907170152934,1000,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('CaO', 'cierre+obs', 0.01, 0.15, True)",87109.47092011743,61016.49775126779,0.018867924528301886,-0.04313535886412173,0.028839508512304157,0.4770185422863206,0.07660738714090287,0.13320283757327586,0.1080607887849895,27.20895884568904,0.9815234042797172,0.9883078052882043,0.08316218319138224,0.9416511075191174,0.9127316747358152,0.9841831347119127,0.07130394165265175,0.9921189206556397,0.0775529171947078,0.011049723756906077,0.37377670542667996,1087,0.36923997429906963,0.6835640534408074,1001,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('CaO', 'cierre+obs', 0.01, 0.3, True)",87109.47092011743,59922.28758894173,0.026729559748427674,-0.04406214625851805,0.03187298322817955,0.5316919565194155,0.07934336525307797,0.1277845102447964,0.10709942200660123,27.20895884568904,0.9992589207833303,0.9887030567888955,0.08333619174659868,0.9440254868828768,0.9433016098576558,0.9845565313868461,0.07156032341627938,0.9927002810290089,0.0775529171947078,0.011049723756906077,0.43368440488915116,1087,0.4349793451071585,0.6894880407643209,998,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('CaO', 'cierre+obs', 0.02, 0.15, True)",87109.47092011743,59472.12405785801,0.007861635220125786,-0.04928387918849193,0.029251483022450415,0.4945402055822014,0.06976744186046512,0.13317348556167605,0.10508078133688392,27.20895884568904,1.0066562583956566,0.9886779242864594,0.08344521700362906,0.9407103320384022,0.9379457812955102,0.9844825683746734,0.07122860836670308,0.9920989501993961,0.0775529171947078,0.011049723756906077,0.3825680726913139,1087,0.3741302945685264,0.679831474742885,1000,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('CaO', 'cierre+obs', 0.02, 0.3, True)",87109.47092011743,58893.430766569436,0.0220125786163522,-0.047529420070011895,0.03240793452523003,0.5502738864322791,0.06976744186046512,0.1277738427956708,0.10484279905929406,27.20895884568904,1.0169577771972822,0.9889492568216997,0.08344966618370775,0.94344773463682,0.9601511181438223,0.9847954364634034,0.0715061436671478,0.9926915990652326,0.0775529171947078,0.011049723756906077,0.4457192880397157,1087,0.4449688308402058,0.6939222556169669,994,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('cierre', 'cierre', 0.0, 0.0, False)",76212.01929844801,58853.75752287549,0.09748427672955975,-0.022193289831155486,0.02539396460177736,0.32630449519997756,0.12311901504787962,0.11333024344494057,0.03892043280635435,24.014198389057707,1.0035273244068112,0.9886647854978194,0.08316145651441742,0.9518930773132921,0.9756493590377536,0.9849338465194749,0.07091423185576518,0.9926751051274045,0.0644063625471832,0.001973164956590371,0.3002166621467802,1086,0.28854803488485836,0.6954599521241457,1009,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('cierre', 'cierre', 0.01, 0.0, False)",76212.01929844801,56678.83348884018,0.03459119496855346,-0.032193249041229735,0.025393962056917564,0.32621510723770175,0.09986320109439124,0.11323947357508579,0.030891783107084368,24.014198389057707,1.041786713058647,0.9890845879648428,0.08345849520949611,0.9510272331983746,1.0150652236533475,0.9853395259438917,0.0708201559639452,0.9926313969230478,0.0644063625471832,0.001973164956590371,0.3037643553520525,1086,0.27994182417080415,0.6927840687551178,1009,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('cierre', 'cierre', 0.02, 0.0, False)",76212.01929844801,54704.79807549385,0.012578616352201259,-0.04219320706867563,0.025393959561196864,0.3261247197886533,0.08344733242134063,0.11341984548110082,0.0208937216551119,24.014198389057707,1.079325087573408,0.9896479427838081,0.08351713468721411,0.9498530089561104,1.056063934196061,0.985729304299608,0.07074048633495389,0.9925797754659981,0.0644063625471832,0.001973164956590371,0.30037912251984256,1086,0.2800240007375493,0.6976541143031914,1004,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('cierre', 'cierre', 0.0, 0.0, True)",78339.2411523115,58813.90115819671,0.07075471698113207,-0.02628715689639768,0.0272414084658452,0.4277315954401364,0.11080711354309165,0.11866704668189093,-0.022720293026838683,24.643170449968014,1.0033707923607604,0.9888423319799864,0.08302487568072192,0.9519649099061712,0.9934945957391714,0.9848081805369724,0.07098673771967767,0.9929416409411789,0.07274848395460014,0.003551696921862668,0.37004961580615225,1086,0.35836003414788176,0.687189262306709,1005,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('cierre', 'cierre', 0.01, 0.0, True)",78339.2411523115,56700.45749916099,0.0220125786163522,-0.036393048077644985,0.027279366253737773,0.4290419136744463,0.09028727770177838,0.11867352771118952,-0.030483667732868078,24.643170449968014,1.0401684086617276,0.9893882103404014,0.08309498587218045,0.9509447877756548,1.0344384301040195,0.9855594851862874,0.07088909017752565,0.9928997790598456,0.07274848395460014,0.003551696921862668,0.36877193581065426,1086,0.3526460998676484,0.6892888057278177,1000,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
