fase,Batch,avance_prev,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,pred_feo_ret,feo_ret_lo,feo_ret_hi,pred_dT,dT_lo,dT_hi,pred_temperatura,support_score,derivada__exceso_o2_combustion_pct,derivada__relacion_C_Sn_carga,derivada__m6_dosis_C_sn,derivada__m6_exceso_C_pos,J_costo,J_temperatura,J_soporte,J_sn,J_feo,J_incertidumbre,J
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,15.984250325634394,1.5205555971522686,1.12424743218007,1.9168637621244673,-0.12395554620627855,-0.19879385590879686,-0.04911723650376024,-8.022422076178092,-22.779702584235068,6.734858431878884,950.0708783440807,0.06568386399982379,61.07205438228777,5.287003210746198,0.13769985675353275,0.0,-108.53101469686905,-0.0,-736.3539124236107,2254.4707630627754,-1119.2460217648347,-631.6686913931453,-341.32887721568443
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,16.785284514211483,1.5336887485873842,1.1373805836151858,1.9299969135595827,-0.12765049713971294,-0.20248880684223125,-0.052812187437194624,-7.564648548365152,-22.321929056422128,7.192631959691823,950.5286518718937,0.07552235141058157,53.38530815672807,5.287003210746198,0.13769985675353275,0.0,-109.25194546658844,-0.0,-716.6769376020952,2273.9427942024427,-1152.6092657618447,-631.6686913931452,-336.2640460212309
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,17.586318702788574,1.5464018900027627,1.150093725030564,1.9427100549749614,-0.13118460346501556,-0.20602291316753388,-0.05634629376249725,-7.106875020552211,-21.86415552860919,7.650405487504765,950.9864253997066,0.08696881688377553,46.398804731227806,5.287003210746198,0.13769985675353275,0.0,-109.97287623630781,-0.0,-693.7840066557072,2292.792092236221,-1184.5201771018371,-631.6686913931453,-327.15365915077655
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,18.387352891365666,1.558749913865092,1.1624417488928933,1.9550580788372907,-0.13457888648377167,-0.20941719618628998,-0.05974057678125336,-6.64910149273927,-21.406382000796246,8.108179015317706,951.4441989275196,0.10003634506034698,40.021027111502946,5.287003210746198,0.13769985675353275,0.0,-110.6938070060272,-0.0,-667.6489503025643,2311.1000441660017,-1215.1685658327826,-631.6686913931453,-314.0799703685178
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,19.188387079942757,1.5707785465256736,1.174470381553475,1.9670867114978723,-0.1378508572950284,-0.21268916699754672,-0.0630125475925101,-6.191327964926329,-20.948608472983306,8.565952543130646,951.9019724553325,0.11580810742489417,34.17574009656494,5.287003210746198,0.13769985675353275,0.0,-111.41473777574659,-0.0,-636.1054255734699,2328.9344467381216,-1244.7125469285174,-631.6686913931453,-294.96695493275774
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,19.98942126851985,1.582526184784799,1.1862180198126002,1.9788343497569976,-0.1410152201153668,-0.2158535298178851,-0.06617691041284848,-5.733554437113388,-20.490834945170363,9.023726070943589,952.3597459831454,0.13393425670490197,28.798928349431197,5.287003210746198,0.13769985675353275,0.0,-112.13566854546596,-0.0,-599.8531270134544,2346.352229448492,-1273.284890857287,-631.6686913931453,-270.5901483608608
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,20.790455457096936,1.594025307890866,1.1977171429186675,1.9903334728630644,-0.1440844130099174,-0.2189227227124357,-0.06924610330739908,-5.275780909300448,-20.033061417357423,9.481499598756528,952.8175195109584,0.1549085699054308,23.83644230515521,5.287003210746198,0.13769985675353275,0.0,-112.85659931518533,-0.0,-557.9045006123966,2363.401548060741,-1300.9979060662884,-631.6686913931452,-240.02614932627466
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,21.591489645674027,1.6053035752324454,1.208995410260247,2.001611740204644,-0.14706902825816598,-0.2219073379606843,-0.07223071855564767,-4.818007381487508,-19.575287889544484,9.939273126569468,953.2752930387713,0.17939059900362425,19.242168093136748,5.287003210746198,0.13769985675353275,0.0,-113.57753008490472,-0.0,-508.9404424160098,2380.1234121130756,-1327.947234638822,-631.6686913931452,-202.01048641980617
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,22.392523834251115,1.6163846884279092,1.2200765234557105,2.012692853400108,-0.14997814249481148,-0.2248164521973298,-0.07513983279229317,-4.360233853674568,-19.117514361731544,10.397046654382407,953.7330665665843,0.20844407193537035,14.976590256994951,5.287003210746198,0.13769985675353275,0.0,-114.29846085462411,-0.0,-450.8334965525176,2396.5529631062445,-1354.2148332729846,-631.6686913931453,-154.46251896702705
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,23.193558022828206,1.6272890747715048,1.2309809097993063,2.023597239743703,-0.1528195784383226,-0.22765788814084092,-0.0779812687358043,-3.902460325861628,-18.659740833918605,10.854820182195347,954.1908400943972,0.24103339428703782,11.00565230986225,5.287003210746198,0.13769985675353275,0.0,-115.01939162434348,-0.0,-385.65485184918265,2412.720487823406,-1379.8713365373249,-631.6686913931452,-99.4937835805901
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,23.994592211405298,1.6380344337826658,1.241726268810467,2.0343425987548645,-0.15560011419430092,-0.23043842389681923,-0.08076180449178261,-3.4446867980486866,-18.20196730610566,11.31259371000829,954.6486136222102,0.2769663561940624,7.299845524646895,5.287003210746198,0.13769985675353275,0.0,-115.74032239406286,-0.0,-313.7889280351335,2428.6522286782915,-1404.9779467576907,-631.6686913931453,-37.52365990174087
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,24.79562639998239,1.6486361778161533,1.2523280128439547,2.044944342788352,-0.15832565198899198,-0.2331639616915103,-0.08348734228647367,-2.986913270235746,-17.744193778292722,11.77036723782123,955.1063871500231,0.3156264535588961,3.8334743466094725,5.287003210746198,0.13769985675353275,0.0,-116.46125316378225,-0.0,-236.46873330546603,2444.3710369913424,-1429.5879575820645,-631.6686913931453,30.184401546884345
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,25.59666058855948,1.6591077899402036,1.2627996249680051,2.055415954912402,-0.16100135522023132,-0.23583966492274963,-0.086163045517713,-2.529139742422805,-17.28642025047978,12.228140765634171,955.5641606778361,0.35632228407583477,0.5840597371290649,5.287003210746198,0.13769985675353275,0.0,-117.18218393350163,-0.0,-155.07707227158875,2459.8969036022168,-1453.7479914703767,-631.6686913931452,102.22096453360444
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,26.39769477713657,1.6694611166561144,1.2731529516839157,2.065769281628313,-0.1636317605556448,-0.2384700702581631,-0.08879345085312648,-2.0713662146098635,-16.82864672266684,12.685914293447112,956.021934205649,0.39704461929120793,-2.4681488498534927,5.287003210746198,0.13769985675353275,0.0,-117.90311470322102,-0.0,-73.6324018408424,2475.247392874146,-1477.499011875637,-631.6686913931453,174.54417306130023
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,27.19872896571366,1.679706608892242,1.2833984439200434,2.0760147738644408,-0.16622087022231508,-0.2410591799248334,-0.09138256051979676,-1.613592686796924,-16.3708731948539,13.143687821260052,956.479707733462,0.4340143579058038,-5.340575254225694,5.287003210746198,0.13769985675353275,0.0,-118.6240454729404,-0.0,-0.0,2490.4380000066935,-1500.8771565655986,-631.6686913931453,239.26810657500914
Reducción,AP0273,0.7500753200469413,tasa_gn_nm3_min,27.99976315429075,1.6898535216309805,1.293545356658782,2.086161686603179,-0.16877222845477602,-0.24361053815729433,-0.0939339187522577,-1.155819158983983,-15.913099667040958,13.601461349072993,956.9374812612749,0.4483783113725155,-8.048649428802628,5.287003210746198,0.13769985675353275,0.0,-119.34497624265977,-0.0,-0.0,2505.4824470151934,-1523.9144279033956,-631.6686913931452,230.55435147599292
