dist,kpi,n_pares,dif_media_pp,ci_lo,ci_hi,p_pareado,smd_medio_post,dist_media_cerca,dist_media_lejos,subset,sistema
dist_F,recuperacion_refinada_pct_next,21,2.6550006241682875,0.16748073311471925,5.240275105596515,0.059405623651006996,0.12020301077307999,0.2666033027031536,0.62524674546371,LOCKBOX,v6
dist_F,recuperacion_refinada_pct_media2,21,1.3021172426915486,0.05629622315047409,2.5846089649788286,0.06584862202991602,0.12020301077307999,0.2666033027031536,0.62524674546371,LOCKBOX,v6
dist_total,recuperacion_refinada_pct,120,0.37466008854473326,-0.6679688325919767,1.4134804212806489,0.48053966830303846,0.04928755735686695,0.14118952561511725,0.43474545540104853,TOTAL,v6
dist_total,rendimiento_proxy_batch,120,0.2982233835287948,-0.7512929541375617,1.3578641058724106,0.5840166030282614,0.04928755735686695,0.14118952561511725,0.43474545540104853,TOTAL,v6
dist_total,recuperacion_refinada_pct_next,120,3.1467986762327693,2.0827130562639637,4.353985076839302,5.037876623004944e-07,0.049401598636133984,0.14118952561511725,0.4347121983696949,TOTAL,v6
dist_total,recuperacion_refinada_pct_media2,120,1.7012436183004616,0.8192208119476317,2.541637342573835,0.00010638665385065613,0.049401598636133984,0.14118952561511725,0.4347121983696949,TOTAL,v6
dist_R,recuperacion_refinada_pct,120,-0.003536656645256109,-0.9208974378232303,1.0419909930772926,0.99436719289124,0.025380014694502476,0.10316318940640125,0.4498636910314145,TOTAL,v6
dist_R,rendimiento_proxy_batch,120,-0.09478180143572802,-1.0287917045395598,0.8732809812806366,0.8517948033028848,0.025380014694502476,0.10316318940640125,0.4498636910314145,TOTAL,v6
dist_R,recuperacion_refinada_pct_next,120,0.9406994108948896,-0.03177700885474155,2.0172075689379625,0.07136742967147763,0.025422532543686274,0.10316318940640125,0.4498636910314145,TOTAL,v6
dist_R,recuperacion_refinada_pct_media2,120,0.4685813771248156,-0.2664707741206244,1.2452199304100928,0.2121825069399737,0.025422532543686274,0.10316318940640125,0.4498636910314145,TOTAL,v6
dist_F,recuperacion_refinada_pct,120,0.5651771176863778,-0.4097533773624418,1.4432305809515096,0.22363557073048268,0.03552828372287091,0.11767315337858826,0.522410268372326,TOTAL,v6
dist_F,rendimiento_proxy_batch,120,0.6025886420856797,-0.33360285252180844,1.5457019119075053,0.2036585644088817,0.03552828372287091,0.11767315337858826,0.522410268372326,TOTAL,v6
dist_F,recuperacion_refinada_pct_next,120,3.736835131739469,2.6352484226276243,4.782413955274345,1.7375788938944444e-09,0.03554577792172229,0.11767315337858826,0.5215790569143437,TOTAL,v6
dist_F,recuperacion_refinada_pct_media2,120,2.0951501141957314,1.3920046723509472,2.821215335805679,1.0022671386736587e-07,0.03554577792172229,0.11767315337858826,0.5215790569143437,TOTAL,v6
