target,orden,carbon,pd_media,n
m6_ln_sn_dep,2,35.028664035815765,0.41527396849914106,290
m6_ln_sn_dep,2,39.33344546101377,0.4150059091029698,290
m6_ln_sn_dep,2,43.63822688621177,0.4190745587994559,290
m6_ln_sn_dep,2,47.94300831140977,0.4190745587994559,290
m6_ln_sn_dep,2,52.24778973660777,0.4190745587994559,290
m6_ln_sn_dep,2,56.55257116180578,0.4190745587994559,290
m6_ln_sn_dep,2,60.85735258700378,0.4049101759270321,290
m6_ln_sn_dep,2,65.16213401220178,0.41798935225030487,290
m6_ln_sn_dep,3,4.8951940594297465,0.3220077730270133,203
m6_ln_sn_dep,3,9.19997548462775,0.33145365102670726,203
m6_ln_sn_dep,3,13.504756909825751,0.37329804363182595,203
m6_ln_sn_dep,3,17.809538335023753,0.3824915626551877,203
m6_ln_sn_dep,3,22.114319760221754,0.3683778131289735,203
m6_ln_sn_dep,3,26.419101185419755,0.36863910337692574,203
m6_ln_sn_dep,3,30.723882610617764,0.369582461992124,203
m6_ln_sn_dep,3,35.028664035815765,0.369582461992124,203
m6_ln_sn_dep,3,39.33344546101377,0.36968945705489237,203
m6_ln_sn_dep,3,43.63822688621177,0.37382965683262914,203
m6_ln_sn_dep,3,47.94300831140977,0.37382965683262914,203
m6_ln_sn_dep,3,52.24778973660777,0.37382965683262914,203
m6_ln_sn_dep,3,56.55257116180578,0.37382965683262914,203
m6_ln_sn_dep,3,60.85735258700378,0.35921393407948776,203
m6_ln_sn_dep,3,65.16213401220178,0.37541473929257835,203
m6_ln_feo_ret,0,4.8951940594297465,-0.1471858275929864,296
m6_ln_feo_ret,0,9.19997548462775,-0.14702547858536075,296
m6_ln_feo_ret,0,13.504756909825751,-0.14785735445344614,296
m6_ln_feo_ret,0,17.809538335023753,-0.1479812267709458,296
m6_ln_feo_ret,0,22.114319760221754,-0.14800618025175394,296
m6_ln_feo_ret,0,26.419101185419755,-0.14810951071612746,296
m6_ln_feo_ret,0,30.723882610617764,-0.14711049377366053,296
m6_ln_feo_ret,0,35.028664035815765,-0.14702661306586454,296
m6_ln_feo_ret,0,39.33344546101377,-0.14714747308245435,296
m6_ln_feo_ret,0,43.63822688621177,-0.14714747308245435,296
m6_ln_feo_ret,0,47.94300831140977,-0.14714747308245435,296
m6_ln_feo_ret,0,52.24778973660777,-0.14714747308245435,296
m6_ln_feo_ret,0,56.55257116180578,-0.14714747308245435,296
m6_ln_feo_ret,0,60.85735258700378,-0.1477360462761564,296
m6_ln_feo_ret,0,65.16213401220178,-0.1557321102351945,296
m6_ln_feo_ret,1,4.8951940594297465,-0.068808514179823,294
m6_ln_feo_ret,1,9.19997548462775,-0.06839396277631792,294
m6_ln_feo_ret,1,13.504756909825751,-0.07038002745765935,294
m6_ln_feo_ret,1,17.809538335023753,-0.07045590733804175,294
m6_ln_feo_ret,1,22.114319760221754,-0.07033236040657681,294
m6_ln_feo_ret,1,26.419101185419755,-0.07080476963032976,294
m6_ln_feo_ret,1,30.723882610617764,-0.067987512250196,294
m6_ln_feo_ret,1,35.028664035815765,-0.06773809489043908,294
m6_ln_feo_ret,1,39.33344546101377,-0.06777512860152665,294
m6_ln_feo_ret,1,43.63822688621177,-0.06777512860152665,294
m6_ln_feo_ret,1,47.94300831140977,-0.06777512860152665,294
m6_ln_feo_ret,1,52.24778973660777,-0.06777512860152665,294
m6_ln_feo_ret,1,56.55257116180578,-0.06777512860152665,294
m6_ln_feo_ret,1,60.85735258700378,-0.06786109282485933,294
m6_ln_feo_ret,1,65.16213401220178,-0.0726136985614068,294
m6_ln_feo_ret,2,4.8951940594297465,-0.06813211102900933,290
m6_ln_feo_ret,2,9.19997548462775,-0.06663356202952707,290
m6_ln_feo_ret,2,13.504756909825751,-0.06975079044782695,290
m6_ln_feo_ret,2,17.809538335023753,-0.06992896588909508,290
m6_ln_feo_ret,2,22.114319760221754,-0.06904920994446408,290
