fase,Batch,orden,avance_prev,q_avance,caja,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,sn_dep_sd_rep,pred_feo_ret,feo_ret_lo,feo_ret_hi,feo_ret_sd_rep,pred_dT,dT_lo,dT_hi,dT_sd_rep,pred_temperatura,mae_dT,support_score,derivada__exceso_o2_combustion_pct,derivada__m8_dosis,derivada__m8_exceso_C_pos,derivada__Cx_sn_v6,derivada__Cx_sn_F6,sn_disp,feo_inv_prev,J_costo,J_soporte,admisible_T,J_sn,J_feo,J_incertidumbre,J,hist
Reducción,AP0255,0,0.8127635076211466,0.75,True,tasa_gn_nm3_min,29.078054867485474,1.5398689229113356,1.5326074572567983,1.5479216019921755,0.0038313617562647125,-0.19482256438190512,-0.19529456557401906,-0.19436992190884525,0.00023935892770143673,-1.8461983566824323,-2.257175548141799,-1.513034321673713,0.19556091678834342,986.1210371110689,9.424418909990605,0.49915836336445013,-4.580454646837429,0.17369574654531786,0.0,547.2503464071831,547.2503464071831,10167.560618941598,13859.349362399047,-123.56917831808995,-2.2105841830885042,True,2194.7174307409177,-1646.6026403424746,-2.911691714594376,419.4233361826703,28.17624823676215
Reducción,AP0255,0,0.8127635076211466,0.75,True,tasa_gn_nm3_min,29.2405808955911,1.5417260974343758,1.5340904865039542,1.5504090835823943,0.004202057861936243,-0.1951871296142456,-0.19592982354425448,-0.19447489663089204,0.00037663130023275255,-1.7339510160868365,-2.161381711624885,-1.3565957565262017,0.21070003660484937,986.2332844516644,9.424418909990605,0.49657343262044573,-5.1108189294510025,0.17369574654531786,0.0,547.2503464071831,547.2503464071831,10167.560618941598,13859.349362399047,-123.71545174338503,-7.380445671097302,True,2197.364391944562,-1649.6838751884147,-3.3912167196698437,413.1934026219953,28.17624823676215
Reducción,AP0255,0,0.8127635076211466,0.75,True,tasa_gn_nm3_min,29.403106923696726,1.543583271957416,1.5356307581271775,1.5534765467542155,0.004615052749253036,-0.19555169484658613,-0.1965650815144899,-0.19457987135293883,0.0005139036727640689,-1.621703675491243,-2.0685469410864643,-1.19560486430174,0.23199187491700207,986.34553179226,9.424418909990605,0.4942591074994094,-5.635320022128482,0.17369574654531786,0.0,547.2503464071831,547.2503464071831,10167.560618941598,13859.349362399047,-123.86172516868008,-12.00909591317001,True,2200.0113531482066,-1652.7651100343548,-3.9411572411740945,407.4342647908275,28.17624823676215
Reducción,AP0255,0,0.8127635076211466,0.75,True,tasa_gn_nm3_min,29.56563295180235,1.545440446480456,1.5370321346517568,1.55571966174949,0.005059999774441806,-0.19591626007892662,-0.1972003394847253,-0.19468484607498562,0.0006511760452953854,-1.5094563348956496,-1.9867290386227066,-1.0349404992688773,0.25791713006654027,986.4577791328556,9.424418909990605,0.49177259991480343,-6.154054616962409,0.17369574654531786,0.0,547.2503464071831,547.2503464071831,10167.560618941598,13859.349362399047,-124.00799859397515,-16.982111082381902,True,2202.658314351851,-1655.846344880295,-4.5359736904560615,401.285886104743,28.17624823676215
Reducción,AP0105,1,0.9474738933387213,0.25,False,tasa_feed_Carbon_kg_min,20.179322157639728,0.7010137992116968,0.686933247733976,0.7174995852363591,0.0077050017743484234,-0.08461999562325034,-0.08507100401578144,-0.08418748494832658,0.00022871316222127124,-4.8815697691803015,-6.096911602054599,-3.796427892084149,0.5851923103763632,1099.3112256553406,9.424418909990605,0.49455782998337733,-4.957702356358019,0.2092332741889704,16.575334978235446,48.65372046327859,282.870123978898,2411.1033768241186,12889.815867087344,-48.07934121273201,-0.0,True,999.128679998961,-715.1918396160582,-5.575241701672601,230.2822574684982,19.181326059194713
Reducción,AP0105,1,0.9474738933387213,0.25,False,tasa_feed_Carbon_kg_min,21.089531169426753,0.702202457492852,0.6888959829106076,0.7178329180624669,0.00727719231919507,-0.08461999562325034,-0.08507100401578144,-0.08418748494832658,0.00022871316222127124,-4.751295178103545,-5.8343221263163345,-3.7848469235617093,0.5293424020944939,1099.4415002464173,9.424418909990605,0.49613490815143374,-4.957702356358019,0.21867095550674476,39.3305602729111,50.848296399808596,295.62927089174065,2411.1033768241186,12889.815867087344,-49.217102477465794,-0.0,True,1000.8228300724061,-715.1918396160582,-5.275252228460047,231.138635750422,19.181326059194713
Reducción,AP0105,1,0.9474738933387213,0.25,False,tasa_feed_Carbon_kg_min,21.999740181213774,0.7033911157740074,0.6908587180872393,0.7181662508885744,0.006849760729680048,-0.08461999562325034,-0.08507100401578144,-0.08418748494832658,0.00022871316222127124,-4.62102058702679,-5.571732650578071,-3.7409199716383474,0.4743186968539191,1099.571774837494,9.424418909990605,0.49693284762460993,-4.957702356358019,0.22810863682451904,62.08578556758658,53.0428723363386,308.3884178045832,2411.1033768241186,12889.815867087344,-50.35486374219957,-0.0,True,1002.5169801458512,-715.1918396160582,-4.976120259731017,231.9941565278624,19.181326059194713
Reducción,AP0105,1,0.9474738933387213,0.25,False,tasa_feed_Carbon_kg_min,22.9099491930008,0.7045797740551626,0.692821453263871,0.718499583714682,0.006422782446312343,-0.08461999562325034,-0.08507100401578144,-0.08418748494832658,0.00022871316222127124,-4.490745995950034,-5.34084940865358,-3.708604511529502,0.42044569532071413,1099.702049428571,9.424418909990605,0.4969774471730578,-4.957702356358019,0.23754631814229338,84.84101086226218,55.237448272868605,321.14756471742584,2411.1033768241186,12889.815867087344,-51.49262500693335,-0.0,True,1004.2111302192963,-715.1918396160582,-4.678010295880884,232.8486553004238,19.181326059194713
Reducción,AP0105,1,0.9474738933387213,0.25,False,tasa_feed_Carbon_kg_min,23.82015820478782,0.7057684323363178,0.6947841884405027,0.7188329165407897,0.005996354304652518,-0.08461999562325034,-0.08507100401578144,-0.08418748494832658,0.00022871316222127124,-4.360471404873279,-5.102638143514119,-3.6772676880150663,0.3682287987661011,1099.8323240196476,9.424418909990605,0.49637241232125273,-4.957702356358019,0.24698399946006772,107.59623615693778,57.4320242093986,333.90671163026843,2411.1033768241186,12889.815867087344,-52.63038627166713,-0.0,True,1005.9052802927412,-715.1918396160582,-4.3811309659788655,233.70192343903693,19.181326059194713
Reducción,AP0105,1,0.9474738933387213,0.25,False,tasa_feed_Carbon_kg_min,24.730367216574844,0.706957090617473,0.6967469236171344,0.7191662493668973,0.005570602645734773,-0.08461999562325034,-0.08507100401578144,-0.08418748494832658,0.00022871316222127124,-4.230196813796523,-4.842428868379992,-3.6235109275688933,0.3184836302955312,1099.9625986107244,9.424418909990605,0.4948363746739288,-4.957702356358019,0.25642168077784205,130.35146145161337,59.62660014592861,346.6658585431111,2411.1033768241186,12889.815867087344,-53.76814753640091,-0.0,True,1007.5994303661862,-715.1918396160582,-4.085750540277693,234.55369267344935,19.181326059194713
Reducción,AP0105,1,0.9474738933387213,0.25,False,tasa_feed_Carbon_kg_min,25.640576228361866,0.7081457488986282,0.6987096587937662,0.7194995821930049,0.005145695387592003,-0.08461999562325034,-0.08507100401578144,-0.08418748494832658,0.00022871316222127124,-4.099922222719767,-4.5807250388401926,-3.5640858448376154,0.27256688406738516,1100.0928732018012,9.424418909990605,0.4922424248057515,-4.957702356358019,0.26585936209561634,153.10668674628886,61.82117608245861,359.4250054559536,2411.1033768241186,12889.815867087344,-54.905908801134686,-0.0,True,1009.2935804396312,-715.1918396160582,-3.7922192891932465,235.40361273324507,19.181326059194713
