Batch,n_escalones,uplift_J_total_kg,pct_escalones_con_mejora,es_lockbox,fold,J_R_temprano_hist_pp,J_R_tardio_hist_pp,J_R_hist_pp,dSn_hist,dFeO_hist,J_F_hist_pp,J_batch_hist_pp,J_R_temprano_rec_pp,J_R_tardio_rec_pp,J_R_rec_pp,dSn_rec,dFeO_rec,J_F_rec_pp,J_batch_rec_pp,uplift_batch_pp,uplift_batch_kg,dist_Reducción_tasa_feed_Carbon_kg_min,dir_Reducción_tasa_feed_Carbon_kg_min,dir_R_temprano_tasa_feed_Carbon_kg_min,dir_R_tardio_tasa_feed_Carbon_kg_min,dist_Reducción_tasa_gn_nm3_min,dir_Reducción_tasa_gn_nm3_min,dir_R_temprano_tasa_gn_nm3_min,dir_R_tardio_tasa_gn_nm3_min,dist_R,dist_total,rendimiento_proxy_batch,recuperacion_refinada_pct,recuperacion_real_pct,f_metal,f_dross,f_polvo,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,sn_cargado_batch_kg,temperatura_media_fusion,frac_carga_secundaria_media_fusion,feed_dross_Fe_total_t,fecha_inicio_batch,idx_cronologico,recuperacion_refinada_pct_next,recuperacion_refinada_pct_media2,rendimiento_proxy_batch_next,rendimiento_proxy_batch_media2,recuperacion_real_pct_next,recuperacion_real_pct_media2
AP0016,4,27.535364092877902,25.0,False,2,2.6905907746665636,-0.6100208676813652,2.080569906985198,2.6850927232856137,-0.32663666038288564,0.0,2.080569906985198,2.7784852159382196,-0.6100208676813652,2.168464348256854,2.7166980599528756,-0.32663666038288564,0.0,2.168464348256854,0.08789444127165602,45.04590115172371,0.25,0.25,0.5,0.0,0.0007548578251829971,-0.0007548578251829971,-0.0015097156503659941,0.0,0.1253774289125915,0.1253774289125915,73.18325133927344,72.3987505014677,66.78697420687666,0.7318325133927344,0.08946414597431734,0.17870334063294818,35.28891372434783,299.99971591319826,45608.23478190104,1213.967825541538,0.5970903544691247,27.16582313106195,2026-04-27 00:15:00,13,69.0339560550024,70.71635327823506,70.17902842181307,71.68113988054326,76.05963970331315,71.42330695509492
AP0017,4,96.2652650800398,100.0,False,4,3.0355086411752046,0.9087252436378367,3.944233884813041,3.2724821620593856,-0.3126818157100798,0.0,3.944233884813041,3.149320873438752,0.9910216197857011,4.140342493224453,3.342999461020699,-0.3126818157100798,0.0,4.140342493224453,0.19610860841141164,100.50566181084847,0.7998522883560736,-0.7998522883560736,-0.5997045767121474,-0.9999999999999998,0.7700478679176864,0.7700478679176864,0.8734290691687061,0.6666666666666667,0.78495007813688,0.78495007813688,70.17902842181307,69.0339560550024,76.05963970331315,0.7017902842181307,0.0684778123402213,0.22973190344164787,35.28891372434783,299.99971591319826,43686.61241311744,1178.4788045030607,0.6203817618078514,26.949812532220683,2026-04-27 08:28:00,14,69.61398865040907,69.32397235270574,70.14778707534529,70.16340774857917,71.01005050924203,73.5348451062776
AP0018,4,29.51987007535513,25.0,False,4,2.606152006236462,-0.3093928265997022,2.2967591796367595,3.17162752981659,-0.3955737336396262,0.0,2.2967591796367595,2.6647314621291076,-0.3093928265997022,2.3553386355294053,3.1926916995011085,-0.3955737336396262,0.0,2.3553386355294053,0.05857945589264579,30.02197114498097,0.21250000000000005,-0.21250000000000005,-0.4250000000000001,0.0,0.25,0.25,0.5,0.0,0.23125,0.23125,70.14778707534529,69.61398865040907,71.01005050924203,0.701477870753453,0.1386899097774707,0.15983221946907644,35.28891372434783,299.99971591319826,44104.79893395347,1162.8325151548602,0.6366461095576702,27.173553958104428,2026-04-27 16:47:00,15,68.38198798518673,68.9979883177979,68.85542078251675,69.50160392893102,70.74325481605581,70.87665266264892
AP0019,3,20.182346216753814,66.66666666666666,False,1,0.4537528392478679,0.18544536213620025,0.6391982013840681,1.4597496047415444,-0.2074038570207598,0.0,0.6391982013840681,0.4537528392478679,0.23821660903003727,0.6919694482779051,1.4360199787602916,-0.2002022949425223,0.0,0.6919694482779051,0.05277124689383694,27.045264033091435,0.043973754748549594,-0.022692911918117075,0.0,-0.03403936787717561,0.22222222222222257,-0.22222222222222257,0.0,-0.33333333333333387,0.1330979884853861,0.1330979884853861,68.85542078251675,68.38198798518673,70.74325481605581,0.6885542078251674,0.09437178171045839,0.2170740104643743,35.28891372434783,299.99971591319826,43650.52199010718,1190.4465858385224,0.6203017455709027,25.119522998098997,2026-04-28 00:59:00,16,70.29318056956637,69.33758427737655,71.49362988104966,70.1745253317832,71.32181111876966,71.03253296741273
AP0020,4,66.18054322407829,75.0,False,1,2.681209626769899,0.2898023631028444,2.971011989872743,2.949068957839151,-0.31715748710855557,0.0,2.971011989872743,2.6890228718489184,0.4134766645861552,3.1024995364350736,2.8960152520956624,-0.3002376933602665,0.0,3.1024995364350736,0.13148754656233042,67.38736761319434,0.4815356343058349,0.018464365694164958,0.0,0.036928731388329916,0.37571038579393967,-0.37571038579393967,-0.08475410492121264,-0.6666666666666667,0.4286230100498873,0.4286230100498873,71.49362988104966,70.29318056956637,71.32181111876966,0.7149362988104967,0.07676869893964335,0.20829500224986,35.28891372434783,299.99971591319826,42744.06317196997,1139.1142490748966,0.6196261540791163,25.606002980611702,2026-04-28 08:52:00,17,69.79018382328715,70.04168219642676,71.54015202378017,71.51689095241491,68.30979644844187,69.81580378360576
AP0021,4,29.05122407891613,75.0,False,3,1.0767899256597664,0.027595844196293462,1.10438576985606,3.3224766776581727,-0.4933150856062742,0.0,1.10438576985606,1.1125245502080565,0.047906103599657246,1.1604306538077138,3.303750211994973,-0.4867587202336202,0.0,1.1604306538077138,0.05604488395165386,28.723003025222603,0.3884136243774442,0.3884136243774442,0.17613408227125438,0.600693166483634,0.3478678277218401,-0.2634085472407518,-0.13000961296940614,-0.39680748151209755,0.36814072604964215,0.36814072604964215,71.54015202378017,69.79018382328715,68.30979644844187,0.7154015202378016,0.10428212462251149,0.18031635513968697,35.28891372434783,299.99971591319826,43965.99252446615,1184.0442043784049,0.48620184977987424,23.483715197983013,2026-04-28 17:01:00,18,57.322123227247275,63.55615352526721,57.762105962367876,64.65112899307402,64.27199374552181,66.29089509698184
AP0022,4,35.30401262732687,75.0,False,2,2.3770676592004314,-0.069069144150294,2.307998515050137,2.4578992139700437,-0.2745332971325269,0.0,2.307998515050137,2.4043604142362764,-0.045091192737403,2.3592692214988733,2.47633528245215,-0.2745332971325269,0.0,2.3592692214988733,0.0512707064487361,26.27623705497725,0.34059463658027156,-0.34059463658027156,-0.5000000000000008,-0.18118927316054229,0.25018713610172977,0.25018713610172977,0.287649693064178,0.21272457913928158,0.29539088634100064,0.29539088634100064,57.762105962367876,57.322123227247275,64.27199374552181,0.5776210596236788,0.15524928539727031,0.2671296549790508,35.28891372434783,299.99971591319826,45032.55354828112,1173.838405441427,0.49703650706909375,24.369313803896905,2026-04-29 00:38:00,19,73.02108529158157,65.17160425941442,73.71980227073506,65.74095411655146,73.95511020108592,69.11355197330386
AP0023,3,0.0,0.0,False,0,0.40370840353878834,-0.16334465681094412,0.24036374672784422,0.7995197739590483,-0.12025111041088071,0.0,0.24036374672784422,0.40370840353878834,-0.16334465681094412,0.24036374672784422,0.7995197739590483,-0.12025111041088071,0.0,0.24036374672784422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.71980227073506,73.02108529158157,73.95511020108592,0.7371980227073506,0.07479701333866365,0.18800496395398575,34.73982860413044,299.99971591319826,43299.88815232649,1170.6939436827236,0.493087396639473,21.814879929650484,2026-04-29 09:40:00,20,68.24465926788112,70.63287227973134,69.97752808840514,71.8486651795701,67.2198616368222,70.58748591895406
AP0024,4,0.0103802531319843,0.0,False,2,2.6540602984794353,0.5844234529578505,3.2384837514372857,4.125871349334532,-0.4993875249032097,0.0,3.2384837514372857,2.6566274061850064,0.5844234529578505,3.241050859142857,4.126794437326467,-0.4993875249032097,0.0,3.241050859142857,0.0025671077055711145,1.3156426991051962,0.03711262700979004,0.03711262700979004,0.07422525401958008,0.0,0.0,0.0,0.0,0.0,0.01855631350489502,0.01855631350489502,69.97752808840514,68.24465926788112,67.2198616368222,0.6997752808840514,0.09847890920794468,0.20174580990800395,34.73982860413044,299.99971591319826,44941.30047933872,1230.4594276320875,0.5033261970245505,24.186200162264576,2026-04-29 17:18:00,21,70.25938653818,69.25202290303056,71.64213374701936,70.80983091771225,68.17736396153971,67.69861279918095
AP0025,3,50.740386295642416,100.0,False,4,2.3327819844244226,0.06758576127648787,2.4003677457009105,2.724784511198723,-0.31393817114464007,0.0,2.4003677457009105,2.432147371146918,0.0922140465884085,2.5243614177353266,2.769370513368595,-0.31393817114464007,0.0,2.5243614177353266,0.12399367203441614,63.54675691763827,0.9802443540258868,-0.3530889793074456,-0.029633468961168252,-1.0000000000000002,0.6329696325913622,0.6329696325913622,0.7827877822203764,0.33333333333333387,0.8066069933086245,0.8066069933086245,71.64213374701936,70.25938653818,68.17736396153971,0.7164213374701935,0.08047182239334534,0.203106840136461,34.73982860413044,299.99971591319826,47044.11865805386,1229.2390262620386,0.5017354479484737,25.285084461026933,2026-04-30 00:49:00,22,73.63430377036208,71.94684515427105,74.97094771520791,73.30654073111364,71.45226203507471,69.81481299830722
AP0026,3,0.0,0.0,False,0,1.7468254628798392,-0.05811352135607284,1.6887119415237664,2.16494567651112,-0.2626836031328982,0.0,1.6887119415237664,1.7468254628798392,-0.05811352135607284,1.6887119415237664,2.16494567651112,-0.2626836031328982,0.0,1.6887119415237664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.97094771520791,73.63430377036208,71.45226203507471,0.7497094771520791,0.06748106245890709,0.1828094603890138,34.73982860413044,299.99971591319826,44534.06945238459,1207.7796165929892,0.47727937514076174,23.876078716483566,2026-04-30 08:56:00,23,68.35179128931844,70.99304752984025,69.86460301210657,72.41777536365724,70.45627783754603,70.95426993631037
AP0027,4,42.63279092490149,100.0,False,1,1.8149364648664825,0.5439874975261866,2.358923962392669,2.9089298535900805,-0.3475044135579935,0.0,2.358923962392669,1.857792830539988,0.6362399892706246,2.4940328198106125,2.845813178382254,-0.3286680716031052,0.0,2.4940328198106125,0.13510885741794354,69.24328942669607,0.5378992283650854,-0.4654064329037306,-0.4275072045386452,-0.503305661268816,0.3895076162885458,-0.3895076162885458,-0.28047351813768945,-0.4985417144394022,0.4637034223268156,0.4637034223268156,69.86460301210657,68.35179128931844,70.45627783754603,0.6986460301210656,0.11648692833651526,0.18486704154241906,34.73982860413044,299.99971591319826,44768.58694228547,1171.041769911373,0.5033514782905039,24.193710190368503,2026-04-30 17:13:00,24,65.6207391190057,66.98626520416207,66.29014116195945,68.07737208703301,65.64352511167066,68.04990147460833
AP0028,4,0.0,0.0,False,2,2.266254981297155,-0.2274746261051781,2.038780355191977,2.983853186746012,-0.3795518831500359,0.0,2.038780355191977,2.266254981297155,-0.2274746261051781,2.038780355191977,2.983853186746012,-0.3795518831500359,0.0,2.038780355191977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.29014116195945,65.6207391190057,65.64352511167066,0.6629014116195945,0.09901552951796164,0.2380830588624438,36.50794218065217,299.99971591319826,46868.47628560724,1222.8230532164794,0.49515441350451184,23.62152638075584,2026-05-01 00:37:00,25,65.88376038277886,65.75224975089228,67.01348465735106,66.65181290965526,65.86678950590893,65.75515730878979
AP0029,4,14.401242399057821,50.0,False,3,2.5878819227620897,-0.5277640948557372,2.0601178279063523,3.579686204256527,-0.47873576637730547,0.0,2.0601178279063523,2.630033226037627,-0.5277640948557372,2.1022691311818895,3.590967924356586,-0.4780822812019271,0.0,2.1022691311818895,0.04215130327553718,21.602542928712804,0.10359936734438877,0.10359936734438877,0.20719873468877753,0.0,0.029061651928795902,-0.029061651928795902,-0.058123303857591804,0.0,0.06633050963659233,0.06633050963659233,67.01348465735106,65.88376038277886,65.86678950590893,0.6701348465735105,0.13597310097861837,0.1938920524478711,36.50794218065217,299.99971591319826,47033.96086615212,1171.500055006117,0.48514221148580755,23.488665926912137,2026-05-01 08:23:00,26,69.92471280949019,67.90423659613452,71.22694488104591,69.12021476919848,73.87404052890878,69.87041501740885
AP0030,4,0.0,0.0,False,0,2.476016145240954,-0.18278739316975107,2.293228752071203,3.586085228243978,-0.4656794975102252,0.0,2.293228752071203,2.476016145240954,-0.18278739316975107,2.293228752071203,3.586085228243978,-0.4656794975102252,0.0,2.293228752071203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.22694488104591,69.92471280949019,73.87404052890878,0.7122694488104591,0.11313579618065882,0.17459475500888216,36.50794218065217,299.99971591319826,46210.170386769634,1200.6725026973368,0.5071505179773503,23.607254962954254,2026-05-01 16:09:00,27,64.14580284784356,67.03525782866687,64.60847930118547,67.91771209111569,70.86593366109079,72.36998709499979
AP0031,4,10.866297534656953,25.0,False,4,1.3125988736929033,-1.1558794592719908,0.15671941442091264,2.901239380766305,-0.47974464785376203,0.0,0.15671941442091264,1.3335509933760221,-1.1558794592719908,0.17767153410403147,2.90877340438483,-0.47974464785376203,0.0,0.17767153410403147,0.02095211968311883,10.737961337598401,0.09567789468853219,-0.09567789468853219,-0.19135578937706438,0.0,0.08941752430031236,0.08941752430031236,0.1788350486006247,0.0,0.09254770949442227,0.09254770949442227,64.60847930118547,64.14580284784356,70.86593366109079,0.6460847930118547,0.16305205148397867,0.19086315550416652,36.50794218065217,299.94958435208713,45071.24700106346,1147.6379952004424,0.506473646381871,23.31539560926957,2026-05-02 00:31:00,28,71.61495281608187,67.8803778319627,72.28606164433323,68.44727047275936,67.76623996221792,69.31608681165436
AP0032,4,39.98407598250037,50.0,False,1,1.9771984684349473,0.7281871470015014,2.7053856154364486,3.514379245113495,-0.4285950899790485,0.0,2.7053856154364486,1.9982161566011358,0.7926548022097661,2.790870958810902,3.478067265519075,-0.4172879996093491,0.0,2.790870958810902,0.08548534337445357,43.81123847940746,0.1549057223338473,-0.08937747452495536,0.06552824780889194,-0.24428319685880265,0.2587669073260038,-0.2587669073260038,-0.184200481318675,-0.3333333333333327,0.20683631482992557,0.20683631482992557,72.28606164433323,71.61495281608187,67.76623996221792,0.7228606164433323,0.1287781160854454,0.1483612674712223,36.50794218065217,299.94958435208713,46085.838637959234,1126.893247338052,0.49500235700517686,23.1281783719011,2026-05-02 08:02:00,29,68.51324204215862,70.06409742912024,70.20180396607145,71.24393280520235,73.63540169701088,70.7008208296144
AP0033,4,68.0320859975356,100.0,False,0,-0.05653064080649839,0.11313454107195592,0.05660390026545754,2.3640732341485906,-0.3952309343092263,0.0,0.05660390026545754,-0.047166855474157,0.1301144655441449,0.0829476100699879,2.4637244405393863,-0.4104380943847492,0.0,0.0829476100699879,0.02634370980453036,13.501151274821808,0.7917640724922593,-0.7917640724922593,-0.9728287011857863,-0.6106994437987323,0.6559694961001462,0.6559694961001462,0.45967474582724765,0.8522642463730448,0.7238667842962028,0.7238667842962028,70.20180396607145,68.51324204215862,73.63540169701088,0.7020180396607145,0.11390270235222259,0.18407925798706287,36.50794218065217,299.94958435208713,43996.28338187651,1169.553806488988,0.4933019850182806,22.04599322272175,2026-05-02 15:28:00,30,72.29393444746285,70.40358824481073,73.4113115470715,71.80655775657148,66.62787081729759,70.13163625715424
AP0034,3,0.0,0.0,False,2,0.1116615089578328,0.6340076673181884,0.7456691762760211,1.173061089923989,-0.1526022288561682,0.0,0.7456691762760211,0.1116615089578328,0.6340076673181884,0.7456691762760211,1.173061089923989,-0.1526022288561682,0.0,0.7456691762760211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4113115470715,72.29393444746285,66.62787081729759,0.7341131154707151,0.12387564206811426,0.14201124246117072,36.50794218065217,299.45442019543805,45119.977017478595,1189.9684182012775,0.5013671251647364,22.91441381654597,2026-05-02 23:09:00,31,71.32074589797088,71.80734017271686,72.33746690454569,72.8743892258086,74.33555030458042,70.481710560939
AP0035,4,0.0,0.0,False,0,1.8171319300390583,0.08497801499141971,1.902109945030478,3.2347032822563557,-0.43014116404950037,0.0,1.902109945030478,1.8171319300390583,0.08497801499141971,1.902109945030478,3.2347032822563557,-0.43014116404950037,0.0,1.902109945030478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.33746690454569,71.32074589797088,74.33555030458042,0.7233746690454569,0.07636525894527674,0.20026007200926638,38.87376026625,299.3443837161827,48802.54447751715,1192.1258921358938,0.5070480951262052,27.026476206857243,2026-05-03 06:22:00,32,63.69161356988688,67.50617973392889,64.53171549490077,68.43459119972323,58.37844803076976,66.3569991676751
AP0036,3,33.153597486979436,66.66666666666666,False,1,0.501742983294163,-0.3964741194775827,0.1052688638165803,1.2088720089540193,-0.1974737145569549,0.0,0.1052688638165803,0.509201969548497,-0.372180456313158,0.13702151323533895,1.1835235260270396,-0.1912736821497028,0.0,0.13702151323533895,0.03175264941875866,16.273232827113812,0.6666666666666666,-0.6666666666666666,-0.9999999999999999,-0.5,0.10932413374380602,-0.10932413374380602,-0.14846363478843977,-0.08975438322148915,0.3879954002052363,0.3879954002052363,64.53171549490077,63.69161356988688,58.37844803076976,0.6453171549490078,0.15123373553766578,0.20344910951332648,38.873760266249995,299.3443837161827,47913.50394456723,1153.4192882208317,0.4824616245545836,22.802942787856768,2026-05-03 14:03:00,33,68.65731407847392,66.1744638241804,69.07773087261799,66.80472318375938,79.77093149653741,69.0746897636536
AP0037,2,0.0,0.0,False,0,0.0,0.7736429687699292,0.7736429687699292,0.9475575899079506,-0.1128783845065305,0.0,0.7736429687699292,0.0,0.7736429687699292,0.7736429687699292,0.9475575899079506,-0.1128783845065305,0.0,0.7736429687699292,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,69.07773087261799,68.65731407847392,79.77093149653741,0.6907773087261798,0.11741428656840777,0.19180840470541224,38.87376026624999,299.3443837161827,37924.34090018513,1146.1126874279219,0.6834816866468775,22.86624649907556,2026-05-03 21:48:00,34,69.38813084594135,69.02272246220764,70.54828998984121,69.8130104312296,69.73262135424675,74.75177642539208
AP0038,3,9.363049910993595,33.33333333333333,False,2,1.599819970236704,0.10965336838259825,1.7094733386193022,2.2769147915410475,-0.2803064820518631,0.0,1.7094733386193022,1.6639196561966692,0.10965336838259825,1.7735730245792674,2.2999639414727144,-0.2803064820518631,0.0,1.7735730245792674,0.06409968595996518,32.85108905448215,0.12274199953383645,0.12274199953383645,0.36822599860150934,0.0,0.047557039177224696,0.047557039177224696,0.14267111753167408,0.0,0.08514951935553057,0.08514951935553057,70.54828998984121,69.38813084594135,69.73262135424675,0.7054828998984121,0.09009885945384016,0.2044182406477476,38.873760266249995,299.3443837161827,47386.20083151031,1188.3979576066745,0.4916272200594009,23.15852372865082,2026-05-04 05:30:00,35,66.93700757800468,68.16256921197302,67.8520960145846,69.2001930022129,66.33466403718437,68.03364269571556
