variante,palanca,orden,n,pct_signo_opuesto,pct_mismo_signo_entre_los_que_cambian,pct_base_cambia,delta_medio_base,delta_medio_variante
w4,tasa_feed_Carbon_kg_min,3,60,0.0,73.68421052631578,25.0,-0.5744402370187361,-0.6923377745195016
w4,tasa_gn_nm3_min,0,60,0.0,63.1578947368421,20.0,0.1247737555442739,0.29255754841291687
w4,tasa_gn_nm3_min,1,60,0.0,44.827586206896555,21.666666666666668,0.3243093720681063,0.7912569033661824
w4,tasa_gn_nm3_min,2,60,0.0,64.70588235294117,18.333333333333332,0.3722003292508055,0.5565142833174017
w4,tasa_gn_nm3_min,3,60,0.0,73.68421052631578,25.0,0.35958244658736677,0.4924072443970927
w_eiv_7.4,tasa_feed_Carbon_kg_min,0,60,0.0,0.0,20.0,-0.728840743109092,-1.3163043599093158
w_eiv_7.4,tasa_feed_Carbon_kg_min,1,60,0.0,0.0,21.666666666666668,-0.8319379963710414,-1.4159030040630567
w_eiv_7.4,tasa_feed_Carbon_kg_min,2,60,0.0,0.0,18.333333333333332,-0.6739945704008387,-0.8369741576406835
w_eiv_7.4,tasa_feed_Carbon_kg_min,3,60,0.0,0.0,25.0,-0.5744402370187361,-0.44499436008111387
w_eiv_7.4,tasa_gn_nm3_min,0,60,0.0,0.0,20.0,0.1247737555442739,-0.3976015581226538
w_eiv_7.4,tasa_gn_nm3_min,1,60,0.0,0.0,21.666666666666668,0.3243093720681063,-0.5172186024660193
w_eiv_7.4,tasa_gn_nm3_min,2,60,0.0,0.0,18.333333333333332,0.3722003292508055,-0.5382553268800692
w_eiv_7.4,tasa_gn_nm3_min,3,60,0.0,0.0,25.0,0.35958244658736677,-0.34710431548741466
legado_K3.52_w7.86,tasa_feed_Carbon_kg_min,0,60,0.0,0.0,20.0,-0.728840743109092,-1.2838561800695871
legado_K3.52_w7.86,tasa_feed_Carbon_kg_min,1,60,0.0,0.0,21.666666666666668,-0.8319379963710414,-1.4159030040630567
legado_K3.52_w7.86,tasa_feed_Carbon_kg_min,2,60,0.0,0.0,18.333333333333332,-0.6739945704008387,-0.8821531926308158
legado_K3.52_w7.86,tasa_feed_Carbon_kg_min,3,60,0.0,0.0,25.0,-0.5744402370187361,-0.4275817356044782
legado_K3.52_w7.86,tasa_gn_nm3_min,0,60,0.0,0.0,20.0,0.1247737555442739,-0.41836716597177404
legado_K3.52_w7.86,tasa_gn_nm3_min,1,60,0.0,0.0,21.666666666666668,0.3243093720681063,-0.5334962916123807
legado_K3.52_w7.86,tasa_gn_nm3_min,2,60,0.0,0.0,18.333333333333332,0.3722003292508055,-0.5552760864817271
legado_K3.52_w7.86,tasa_gn_nm3_min,3,60,0.0,0.0,25.0,0.35958244658736677,-0.3738786683152105
w11,tasa_feed_Carbon_kg_min,0,60,0.0,2.4390243902439024,20.0,-0.728840743109092,-0.9599340612912312
w11,tasa_feed_Carbon_kg_min,1,60,1.6666666666666667,5.714285714285714,21.666666666666668,-0.8319379963710414,-1.5528228531597832
w11,tasa_feed_Carbon_kg_min,2,60,0.0,3.225806451612903,18.333333333333332,-0.6739945704008387,-0.9478002450176564
w11,tasa_feed_Carbon_kg_min,3,60,0.0,8.823529411764707,25.0,-0.5744402370187361,-0.5272703983161452
w11,tasa_gn_nm3_min,0,60,1.6666666666666667,0.0,20.0,0.1247737555442739,-0.6549327831190188
w11,tasa_gn_nm3_min,1,60,5.0,0.0,21.666666666666668,0.3243093720681063,-0.7194930641391575
w11,tasa_gn_nm3_min,2,60,1.6666666666666667,0.0,18.333333333333332,0.3722003292508055,-0.649172048753938
