combo,sn_forma,feo_forma,estado_id,orden,q_avance,C_hist,C_p5,C_p95,C_opt,interior,J_hist_aprox,J_opt
F2+G1,F2,G1,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,683.911065037904,701.3077919953247
F2+G2,F2,G2,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,683.9110637368026,701.3077953778057
F3+G0,F3,G0,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,680.5027921970703,703.4077287686474
F3+G1,F3,G1,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,680.5027930070619,703.407726850408
F3+G2,F3,G2,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,680.5027917059605,703.4077302328892
F4+G0,F4,G0,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,711.6948553173196,729.8530607063664
F4+G1,F4,G1,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,711.694856127311,729.8530587881271
F4+G2,F4,G2,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,711.6948548262097,729.8530621706082
F0+G0,F0,G0,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,5.167546925895568,6.410850262883841
F0+G1,F0,G1,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,5.1675470932649965,6.410846938117622
F0+G2,F0,G2,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,5.167546874827803,6.410852714666369
F2+G0,F2,G0,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,7.098578812799911,36.83232828004322
F2+G1,F2,G1,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,7.098578980169346,36.83232495527701
F2+G2,F2,G2,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,7.098578761732146,36.832330731825756
F3+G0,F3,G0,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,5.399525490773829,34.40907334726506
F3+G1,F3,G1,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,5.399525658143258,34.40907002249883
F3+G2,F3,G2,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,5.399525439706057,34.40907579904758
F4+G0,F4,G0,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,0.6180093079088209,29.219092718829977
F4+G1,F4,G1,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,0.6180094752782495,29.21908939406375
F4+G2,F4,G2,5,1,0.75,24.162601255759217,20.15412033081055,42.052539756481465,42.052539756481465,False,0.6180092568410522,29.219095170612498
F0+G0,F0,G0,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,177.4162168141008,178.7121812498953
F0+G1,F0,G1,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,177.41621707796654,178.7121814558666
