palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,r2_balance_oof,identificado_libre,interior,r2_oof_plm_interno,estado,target
tasa_gn_nm3_min,-1,5.003838422754737,-0.00961189283597723,-0.01889194482606015,0.0005393435196157894,-0.00961189283597723,-0.017868623604389563,-0.0008194388174128424,0.02,0.6826543040567326,False,True,0.3170503219357258,A_k15,feo_ret
exceso_o2_combustion_pct,1,11.105018439726289,0.0027494103767029556,-0.001349225886277935,0.007507954704098255,0.0027494103767029556,1.2853253313488982e-14,0.007352168552963654,0.094,-0.018819169121452983,False,False,0.3170503219357258,A_k15,feo_ret
tasa_aire_nm3_min,1,9.679795990869465,0.001695521206860658,-0.002928474932759379,0.007106259882755545,0.001695521206860658,4.455042022501318e-19,0.007106259882755545,0.204,-0.04626391182074596,False,False,0.3170503219357258,A_k15,feo_ret
tasa_feed_Carbon_kg_min,0,21.997762147856875,0.047441496098698556,-0.02181498212573458,0.1100441968112644,0.047441496098698556,-0.019156146777926587,0.11004864337634411,0.0,0.940722831236606,False,True,0.24931775822645386,B_online,feo_ret
Cx_av_online,-1,16.629231974656243,-0.056944281809391,-0.11320606906467885,0.0052071935104136095,-0.056944281809391,-0.11277328830229565,-1.6123791970352314e-18,0.036,0.9261229026447614,False,True,0.24931775822645386,B_online,feo_ret
tasa_gn_nm3_min,-1,5.003838422754737,-0.016543551976749282,-0.02644883643985831,-0.006816081792997911,-0.016543551976749282,-0.023416127341659727,-0.007498215924354499,0.0,0.745001985107022,True,True,0.24931775822645386,B_online,feo_ret
exceso_o2_combustion_pct,1,11.105018439726289,8.447740467853429e-05,-0.004291321588490758,0.004933333489760872,8.447740467853429e-05,3.641301352765892e-20,0.0048572759651567,0.438,0.02878831826583983,False,False,0.24931775822645386,B_online,feo_ret
tasa_aire_nm3_min,1,9.679795990869465,0.002533305364327601,-0.0021274336539438593,0.008988219522720518,0.002533305364327601,6.297432586088819e-18,0.008988219522720518,0.166,-0.07242845536622866,False,False,0.24931775822645386,B_online,feo_ret
tasa_feed_Carbon_kg_min,0,21.997762147856875,0.02583836097210241,-0.07849659630513134,0.10229779810799008,0.025195779205529248,-0.029963213457914535,0.10114783170305523,0.0,0.938831905177068,False,True,0.2510324200118501,C_plan,feo_ret
Cx_av_F6,-1,16.957018749297276,-0.037550162125803456,-0.11151069235148695,0.06659737891271471,-0.0380479785529916,-0.11224674259134684,-2.0980320331734172e-34,0.228,0.9393496773583895,False,False,0.2510324200118501,C_plan,feo_ret
tasa_gn_nm3_min,-1,5.003838422754737,-0.010820855828883749,-0.02075174345305187,-0.000492637088263469,-0.01177703357229444,-0.020949973483239234,-0.0026012957038405557,0.01,0.7311900356841393,True,True,0.2510324200118501,C_plan,feo_ret
exceso_o2_combustion_pct,1,11.105018439726289,0.0015530477584893541,-0.0023436221293992904,0.005729017792104984,0.0012782381039998481,8.250898839244613e-19,0.005297487391506416,0.228,0.018686007958685913,False,False,0.2510324200118501,C_plan,feo_ret
tasa_aire_nm3_min,1,9.679795990869465,-0.0010215553753974375,-0.005204604839412589,0.004255832714141197,1.0549982533062244e-16,4.346450352398379e-25,0.004255832714141197,0.66,-0.03450708198397634,False,False,0.2510324200118501,C_plan,feo_ret
