variable,kpi,rho_dev,p_dev,ci_lo_dev,ci_hi_dev,n_dev,ols_dev,ols_p_dev,ols_lo_dev,ols_hi_dev,ols_r2adj_dev,rho_lockbox,p_lockbox,ci_lo_lockbox,ci_hi_lockbox,n_lockbox,rho_total,p_total,ci_lo_total,ci_hi_total,n_total,ols_total,ols_p_total,ols_lo_total,ols_hi_total,ols_r2adj_total,quintiles_crecientes,dQ5Q1,y,x,p_dev_para_bh,q_bh_dev,signo_dev,signo_total,signo_lockbox_rho,replica_signo_total,replica_signo_lockbox,defendible
F_gn_total_nm3,f_polvo,-0.06163587798253687,0.28808585753034316,-0.16406828110053298,0.05488526185039212,299,-0.0010745675736248221,0.6559564636138517,-0.005802066298455181,0.0036529311512055367,0.03229423253464925,-0.06149193548387097,0.6321115987378789,-0.3273379705923975,0.20942098177562318,63,-0.05973050978205754,0.25699077657339003,-0.15539467000197252,0.0495168744311952,362,-0.001054505762035689,0.6522190671924406,-0.005640433947933236,0.003531422423861858,0.018491208606748244,2,-0.0094499346941469,f_polvo,F_gn_total_nm3,0.6559564636138517,0.7844643305055831,-1.0,-1.0,-1.0,True,True,False
F_exceso_o2_media,f_polvo,0.028334717514758363,0.6255506803120523,-0.093188585026076,0.13692886748190763,299,-0.0001637775903287987,0.9207013424878351,-0.0033882594604975553,0.0030607042798399577,0.031682878786267965,0.14741743471582183,0.24892227482603566,-0.08795044654298545,0.3628005582746972,63,0.03865151934650273,0.4634816383426604,-0.05120431457718981,0.14220255329975673,362,0.0009039595898877639,0.5591906444025068,-0.0021295925838775726,0.0039375117636531,0.01870386679367253,3,0.0054027367237812485,f_polvo,F_exceso_o2_media,0.9207013424878351,0.9207013424878351,-1.0,1.0,1.0,False,False,False
F_tgas_prebhf_media,f_polvo,-0.09533343808219794,0.09990513401908356,-0.21232720820601333,0.029502140464066608,299,-0.0009187673383819796,0.672397997576214,-0.005177279215003065,0.0033397445382391056,0.032270722090242177,0.1872599846390169,0.1416697697941069,-0.09993235646308694,0.4520192973740384,63,-0.05505446885702357,0.29618364427145594,-0.15953914434577113,0.05974275459245832,362,-0.001080193974957798,0.5700105315465658,-0.004807319248286921,0.002646931298371325,0.018898248940218187,1,-0.011108532927730175,f_polvo,F_tgas_prebhf_media,0.672397997576214,0.7844643305055831,-1.0,-1.0,1.0,True,False,False
F_sum_m6_ln_sn_dep,f_polvo,-0.13995740666298004,0.01561477946716982,-0.24518849080697996,-0.0355444107437428,298,-0.003440287730237834,0.09195722886595213,-0.007441587397429854,0.0005610119369541863,0.04136199096398385,0.02217741935483871,0.8630255709826226,-0.21847368721360527,0.2853820037490572,63,-0.10040658494156297,0.056659569601828025,-0.20847887281383076,0.005498266773570155,361,-0.0037775750043085926,0.03357679061252818,-0.007261575376344909,-0.0002935746322722762,0.030046846876338407,1,-0.011010726590197806,f_polvo,F_sum_m6_ln_sn_dep,0.09195722886595213,0.24138772577312437,-1.0,-1.0,1.0,True,False,False
F_carbon_total_kg,f_dross,-0.08287356063836952,0.15286763120685887,-0.19151333272751642,0.028890812366057037,299,-0.00623977787557878,0.013371401180091422,-0.011183641425325231,-0.0012959143258323277,0.08802434008438631,-0.16599462365591397,0.1935327109056743,-0.45194252108996386,0.13146591072887095,63,-0.147954513517831,0.004789936431252506,-0.2535564219044243,-0.05043242477284894,362,-0.008924211004258534,0.00011155706916277639,-0.013450931899030193,-0.004397490109486874,0.07415601677342587,2,-0.004927929791711,f_dross,F_carbon_total_kg,0.013371401180091422,0.07019985619547997,-1.0,-1.0,-1.0,True,True,True
F_c_sn_ratio,f_dross,-0.2918583196785706,2.7788976530267976e-07,-0.3993159603671878,-0.18551441630206203,299,-0.008177621727577352,0.009693527504547673,-0.014374174519063148,-0.0019810689360915557,0.08953699301490059,-0.17266705069124424,0.1759767589687035,-0.4290042828667104,0.09762053031921256,63,-0.24267842915886537,2.9927599178024224e-06,-0.3422335166280716,-0.15386722800697822,362,-0.01011203241889359,0.00010132153002767214,-0.015210348191626383,-0.0050137166461607955,0.07437146476193979,0,-0.03274473213644451,f_dross,F_c_sn_ratio,0.009693527504547673,0.06785469253183371,-1.0,-1.0,-1.0,True,True,True
T_media_F,f_dross,-0.11758658615968215,0.042173985887147256,-0.23020852052513474,-0.01191675446395781,299,-0.0077093258288130385,0.03673365572733795,-0.014943449512804576,-0.00047520214482150124,0.07753878983520568,0.09274193548387098,0.46971929710353244,-0.1719827594154048,0.3487084593016759,63,-0.016687154648701834,0.751684697190502,-0.12099733578392617,0.07882565564737928,362,-0.009498780458668653,0.010296922552045139,-0.016755007389353357,-0.0022425535279839495,0.04782669842295639,2,-0.009107301773725249,f_dross,T_media_F,0.03673365572733795,0.11020096718201386,-1.0,-1.0,1.0,True,False,False
F_gn_total_nm3,f_dross,0.17318399138066484,0.0026573365496123957,0.05698490108318353,0.2887499541095233,299,0.0030974538765737463,0.2571784716775378,-0.0022603938724017306,0.008455301625549224,0.06725172084322906,0.10248655913978497,0.4241279960948204,-0.1665076832124433,0.3630065633781866,63,0.09844666144970424,0.06132498935758649,0.0016455945921210113,0.20621531307469787,362,0.0034519334320322705,0.203903879135938,-0.0018732336347908603,0.008777100498855401,0.03287641202673197,3,0.01793585727989186,f_dross,F_gn_total_nm3,0.2571784716775378,0.5400747905228295,1.0,1.0,1.0,True,True,False
F_exceso_o2_media,f_dross,0.06692285246122422,0.24864331693090447,-0.05476975483088785,0.17772273621130236,299,0.0023180150262783724,0.4957518186889387,-0.004351536348974712,0.008987566401531456,0.06697990487563577,0.17252304147465441,0.1763430004558532,-0.08971380571896173,0.39501549549261866,63,0.07449425208704848,0.15724044791777494,-0.03344114295285017,0.18708425994303646,362,0.002867836732454425,0.3331474471454754,-0.002940071638684941,0.008675745103593792,0.034218336974394914,2,0.018805354071261673,f_dross,F_exceso_o2_media,0.4957518186889387,0.7844643305055831,1.0,1.0,1.0,True,True,False
F_tgas_prebhf_media,f_dross,0.151298960741622,0.008784043136835326,0.05348391733758896,0.26274846375987027,299,0.003966025044919258,0.14781354264251964,-0.0014048574339644094,0.009336907523802927,0.07219211576272477,-0.04421082949308756,0.7308057731305531,-0.33113551297807203,0.19687061556033206,63,0.13894747466596408,0.008112143630519859,0.04597200313337566,0.22861347916067914,362,0.004472442011638519,0.05036165895045457,-7.050001457828414e-06,0.008951934024734867,0.04094640644288461,3,0.018985779122912133,f_dross,F_tgas_prebhf_media,0.14781354264251964,0.3448982661658792,1.0,1.0,-1.0,True,False,False
F_sum_m6_ln_sn_dep,f_dross,0.2063146787395401,0.0003367905138593886,0.09288959976463558,0.30959081557123846,298,0.007282984494434653,0.002824177818967925,0.0025029535972757823,0.012063015391593525,0.10040407951449704,0.16177035330261136,0.2052761002255272,-0.09603542429931133,0.4033579849648065,63,0.22685705248873855,1.3477288243304394e-05,0.13352099927755057,0.3241538715006973,361,0.009285780891373732,3.0357207343203036e-05,0.004922127200958063,0.013649434581789402,0.08689040732846964,3,0.024535653894816975,f_dross,F_sum_m6_ln_sn_dep,0.002824177818967925,0.059307734198326426,1.0,1.0,1.0,True,True,True
