palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,r2_balance_oof,identificado_libre,interior,r2_oof_plm_interno,forma,target
exceso_o2_combustion_pct,-1,11.210335231916272,-0.009832071271396002,-0.027154279731158065,0.0073926405694187255,-0.009832071271396002,-0.026826590648594623,-3.2905492600471395e-17,0.136,-0.06178469342655224,False,False,0.7664055077399603,F3,sn_dep
tasa_aire_nm3_min,0,9.73829806488448,0.01310189517370607,-0.003948948402281773,0.028069021538376936,0.01310189517370607,-0.0031831667916547564,0.028096439322364098,0.0,-0.032193384979474216,False,True,0.7664055077399603,F3,sn_dep
m8_ln1p_dosis,1,0.12119330548164614,0.14200062950793388,-0.0731615365482341,0.3537972515192057,0.14200062950793388,0.009149704262256336,0.35347856277681133,0.012,0.4983798994318466,False,True,0.7663560556150714,F4,sn_dep
m8_ln1p_dosis_x_av,-1,0.12126971287446314,-0.1230191512471067,-0.33973164709272446,0.09186002290901293,-0.1230191512471067,-0.33973164709272446,-2.2038256799303553e-26,0.15,0.5168471521934423,False,False,0.7663560556150714,F4,sn_dep
tasa_gn_nm3_min,1,4.926183847561063,0.05492446014310799,0.012216287994134042,0.09694728793778032,0.05492446014310799,0.012346351010066942,0.09070964507561415,0.004,0.666528387394829,True,True,0.7663560556150714,F4,sn_dep
exceso_o2_combustion_pct,-1,11.210335231916272,-0.0063126223543342914,-0.022955808863698208,0.010709231401388864,-0.0063126223543342914,-0.022955808863698208,-1.0417612052590558e-17,0.258,-0.06178469342655224,False,False,0.7663560556150714,F4,sn_dep
tasa_aire_nm3_min,0,9.73829806488448,0.01277199809872153,-0.004589616668660395,0.02736232114152154,0.01277199809872153,-0.0043692228542920875,0.027447283666843066,0.0,-0.032193384979474216,False,True,0.7663560556150714,F4,sn_dep
tasa_feed_Carbon_kg_min,1,21.97081867901219,0.056726055564924056,-0.004645581578715784,0.11552906514916746,0.056726055564924056,1.3420463869572084e-12,0.11552906514916746,0.038,0.8861445450785512,False,True,0.7660630276936846,F5,sn_dep
tasa_gn_nm3_min,1,4.926183847561063,0.051246689943758666,0.009372101265944306,0.0933041044418091,0.051246689943758666,0.009372101265944306,0.08832135880221893,0.01,0.666528387394829,True,True,0.7660630276936846,F5,sn_dep
exceso_o2_combustion_pct,-1,11.210335231916272,-0.007314970346626098,-0.024761496065043433,0.01068621953988152,-0.007314970346626098,-0.024761496065043433,-1.599109185238963e-18,0.216,-0.06178469342655224,False,False,0.7660630276936846,F5,sn_dep
tasa_aire_nm3_min,0,9.73829806488448,0.010578354301912984,-0.005279894288963486,0.025037245781480786,0.010578354301912984,-0.004645551662273857,0.02511015863686942,0.0,-0.032193384979474216,False,True,0.7660630276936846,F5,sn_dep
m8_ln1p_dosis,1,0.12119330548164614,0.02416672686576031,-0.004594277105661288,0.056746152634473496,0.02416672686576031,4.6213309022048143e-20,0.056746152634473496,0.038,0.4983798994318466,False,True,0.7660687833561841,F6,sn_dep
m8_C_x_zT,0,32.41934155334855,-0.0025268191926383784,-0.0326027257479454,0.027727493424378885,-0.0025268191926383784,-0.0326027257479454,0.027610578304561453,0.0,0.5675552312586,False,True,0.7660687833561841,F6,sn_dep
m8_C_x_zB2,0,21.52213256818163,-0.009008302651245114,-0.11589531751412492,0.021481017342506407,-0.009008302651245114,-0.115712737060205,0.02130735122152891,0.0,0.31091439269843446,False,True,0.7660687833561841,F6,sn_dep
tasa_gn_nm3_min,1,4.926183847561063,0.050105774164645296,0.008560550122952457,0.09116851317057893,0.050105774164645296,0.008560550122952457,0.08631580783628533,0.008,0.666528387394829,True,True,0.7660687833561841,F6,sn_dep
exceso_o2_combustion_pct,-1,11.210335231916272,-0.008414788532431881,-0.025585546016708694,0.008782994232931355,-0.008414788532431881,-0.025585546016708694,-2.838869558381947e-17,0.168,-0.06178469342655224,False,False,0.7660687833561841,F6,sn_dep
tasa_aire_nm3_min,0,9.73829806488448,0.01481118280535057,-0.001242216232793672,0.029432055529157775,0.01481118280535057,-0.001242216232793672,0.029432055529157775,0.0,-0.032193384979474216,False,True,0.7660687833561841,F6,sn_dep
m8_ln1p_dosis,1,0.12119330548164614,0.02341238365814664,-0.006304562503828477,0.055207025367382395,0.02341238365814664,5.96026082671365e-20,0.055517826877617596,0.044,0.4983798994318466,False,True,0.7659421844263326,F7,sn_dep
m8_gn_sq,-1,24.413703186054793,-0.0009738426750582715,-0.024633005569060333,0.02339511081161317,-0.0009738426750582715,-0.022974153872429258,-1.370342354839591e-20,0.49,0.16700320060326124,False,False,0.7659421844263326,F7,sn_dep
tasa_gn_nm3_min,1,4.926183847561063,0.05192748534413121,0.010644169483321276,0.09220359654753252,0.05192748534413121,0.011175592137448308,0.08681776166626366,0.004,0.666528387394829,True,True,0.7659421844263326,F7,sn_dep
exceso_o2_combustion_pct,-1,11.210335231916272,-0.007267178178724748,-0.027757673655749125,0.014855700312337301,-0.007267178178724748,-0.022808990377739886,-1.5017248461330884e-19,0.306,-0.06178469342655224,False,False,0.7659421844263326,F7,sn_dep
tasa_aire_nm3_min,0,9.73829806488448,0.014033039222690153,-0.004372219324396505,0.030669885975784333,0.014033039222690153,-0.003255596114870614,0.028080142420438686,0.0,-0.032193384979474216,False,True,0.7659421844263326,F7,sn_dep
tasa_feed_Carbon_kg_min,-1,21.97081867901219,-0.014526246842725387,-0.061491094552342605,0.03259795604677722,-3.392722276855415e-10,-0.011411124436019885,-1.9144682600826567e-40,0.628,0.8861445450785512,False,False,0.3300871499066541,G0,feo_ret
Cx_av_v6,-1,16.541070931971895,0.012786425334006566,-0.02799623451917388,0.04983377623325619,-1.5454687234034926e-19,-0.006046124157440349,-5.73243780130436e-73,0.846,0.8401879741586576,False,False,0.3300871499066541,G0,feo_ret
