combo,estado_id,orden,q_avance,C,J
F3+G0,6,2,0.25,11.854739088214505,188.39618242664687
F3+G0,6,2,0.25,12.20487364921523,190.01744452400334
F3+G0,6,2,0.25,12.555008210215956,191.6234420970299
F3+G0,6,2,0.25,12.905142771216681,193.21417514572656
F3+G0,6,2,0.25,13.255277332217409,194.78964367009354
F3+G0,6,2,0.25,13.605411893218136,196.34984767013088
F3+G0,6,2,0.25,13.955546454218862,197.89478714583834
F3+G0,6,2,0.25,14.305681015219587,199.4244620972159
F3+G0,6,2,0.25,14.655815576220313,200.93887252426353
F3+G0,6,2,0.25,15.005950137221038,202.43801842698136
F3+G0,6,2,0.25,15.356084698221764,203.92189980536946
F3+G0,6,2,0.25,15.70621925922249,205.39051665942776
F3+G0,6,2,0.25,16.05635382022322,206.84386898915614
F3+G0,6,2,0.25,16.406488381223944,208.28195679455493
F3+G0,6,2,0.25,16.75662294222467,209.70478007562375
F3+G0,6,2,0.25,17.106757503225396,211.11233883236267
F3+G0,6,2,0.25,17.45689206422612,212.50463306477164
F3+G0,6,2,0.25,17.807026625226847,213.8816627728511
F3+G0,6,2,0.25,18.157161186227572,215.24342795660056
F3+G0,6,2,0.25,18.507295747228298,216.58992861602036
F3+G0,6,2,0.25,18.857430308229027,217.92116475111027
F3+G0,6,2,0.25,19.207564869229753,219.23713636187043
F3+G1,6,2,0.25,5.552316990201436,156.60323054611342
F3+G1,6,2,0.25,5.902451551202162,158.49925413017877
F3+G1,6,2,0.25,6.252586112202888,160.3800131899144
F3+G1,6,2,0.25,6.602720673203613,162.24550772532024
F3+G1,6,2,0.25,6.95285523420434,164.09573773639627
F3+G1,6,2,0.25,7.302989795205066,165.93070322314242
F3+G1,6,2,0.25,7.653124356205792,167.7504041855588
F3+G1,6,2,0.25,8.003258917206518,169.5548406236454
F3+G1,6,2,0.25,8.353393478207245,171.34401253740222
F3+G1,6,2,0.25,8.70352803920797,173.1179199268291
F3+G1,6,2,0.25,9.053662600208696,174.87656279192606
F3+G1,6,2,0.25,9.403797161209422,176.61994113269327
F3+G1,6,2,0.25,9.753931722210147,178.3480549491307
F3+G1,6,2,0.25,10.104066283210873,180.06090424123835
F3+G1,6,2,0.25,10.4542008442116,181.75848900901607
F3+G1,6,2,0.25,10.804335405212328,183.44080925246436
F3+G1,6,2,0.25,11.154469966213053,185.10786497158242
F3+G1,6,2,0.25,11.504604527213779,186.7596561663708
F3+G1,6,2,0.25,11.854739088214505,188.3961828368293
F3+G1,6,2,0.25,12.20487364921523,190.017444982958
F3+G1,6,2,0.25,12.555008210215956,191.6234426047568
F3+G1,6,2,0.25,12.905142771216681,193.21417570222584
F3+G1,6,2,0.25,13.255277332217409,194.78964427536508
F3+G1,6,2,0.25,13.605411893218136,196.3498483241746
F3+G1,6,2,0.25,13.955546454218862,197.8947878486543
F3+G1,6,2,0.25,14.305681015219587,199.42446284880407
F3+G1,6,2,0.25,14.655815576220313,200.9388733111467
F3+G1,6,2,0.25,15.005950137221038,202.43801916917897
F3+G1,6,2,0.25,15.356084698221764,203.92190050288153
F3+G1,6,2,0.25,15.70621925922249,205.3905173122543
F3+G1,6,2,0.25,16.05635382022322,206.8438695972972
F3+G1,6,2,0.25,16.406488381223944,208.28195735801046
F3+G1,6,2,0.25,16.75662294222467,209.70478059439375
F3+G1,6,2,0.25,17.106757503225396,211.11233930644713
F3+G1,6,2,0.25,17.45689206422612,212.50463349417072
F3+G1,6,2,0.25,17.807026625226847,213.88166315756456
F3+G1,6,2,0.25,18.157161186227572,215.24342829662845
F3+G1,6,2,0.25,18.507295747228298,216.58992891136273
F3+G1,6,2,0.25,18.857430308229027,217.92116500176712
F3+G1,6,2,0.25,19.207564869229753,219.23713656784173
F3+G2,6,2,0.25,5.552316990201436,156.60323030451275
F3+G2,6,2,0.25,5.902451551202162,158.4992538885781
F3+G2,6,2,0.25,6.252586112202888,160.3800129483137
F3+G2,6,2,0.25,6.602720673203613,162.24550748371954
F3+G2,6,2,0.25,6.95285523420434,164.0957374947956
F3+G2,6,2,0.25,7.302989795205066,165.93070298154174
F3+G2,6,2,0.25,7.653124356205792,167.7504039439581
F3+G2,6,2,0.25,8.003258917206518,169.5548403820447
F3+G2,6,2,0.25,8.353393478207245,171.34401229580152
F3+G2,6,2,0.25,8.70352803920797,173.1179196852284
F3+G2,6,2,0.25,9.053662600208696,174.8765625503254
F3+G2,6,2,0.25,9.403797161209422,176.6199408910926
F3+G2,6,2,0.25,9.753931722210147,178.34805470753
F3+G2,6,2,0.25,10.104066283210873,180.06090399963767
F3+G2,6,2,0.25,10.4542008442116,181.75848876741537
F3+G2,6,2,0.25,10.804335405212328,183.4408090108637
F3+G2,6,2,0.25,11.154469966213053,185.1078647299817
F3+G2,6,2,0.25,11.504604527213779,186.75965592477013
F3+G2,6,2,0.25,11.854739088214505,188.39618259522862
F3+G2,6,2,0.25,12.20487364921523,190.01744474135734
F3+G2,6,2,0.25,12.555008210215956,191.62344236315613
F3+G2,6,2,0.25,12.905142771216681,193.21417546062517
F3+G2,6,2,0.25,13.255277332217409,194.7896440337644
F3+G2,6,2,0.25,13.605411893218136,196.34984808257389
F3+G2,6,2,0.25,13.955546454218862,197.8947876070536
F3+G2,6,2,0.25,14.305681015219587,199.4244626072034
F3+G2,6,2,0.25,14.655815576220313,200.93887308302317
F3+G2,6,2,0.25,15.005950137221038,202.43801903451325
F3+G2,6,2,0.25,15.356084698221764,203.9219004616734
F3+G2,6,2,0.25,15.70621925922249,205.3905173645039
F3+G2,6,2,0.25,16.05635382022322,206.84386974300432
F3+G2,6,2,0.25,16.406488381223944,208.28195759717534
F3+G2,6,2,0.25,16.75662294222467,209.70478092701632
F3+G2,6,2,0.25,17.106757503225396,211.11233973252732
F3+G2,6,2,0.25,17.45689206422612,212.5046340137087
F3+G2,6,2,0.25,17.807026625226847,213.8816637705602
F3+G2,6,2,0.25,18.157161186227572,215.24342900308173
F3+G2,6,2,0.25,18.507295747228298,216.58992971127373
F3+G2,6,2,0.25,18.857430308229027,217.92116589513586
F3+G2,6,2,0.25,19.207564869229753,219.2371375546681
F4+G0,6,2,0.25,5.552316990201436,168.0799142773675
F4+G0,6,2,0.25,5.902451551202162,168.96923567899518
F4+G0,6,2,0.25,6.252586112202888,169.85301124636064
