Batch,fase,orden_escalon_fase,estado_recomendacion,m6_avance_prev,ley_sn_escoria_pct_prev,real_sn_dep,real_feo_ret,temperatura_real,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,pred_dT_hist,pred_dT_rec,dT_sd_rep_hist,dT_sd_rep_rec,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_incertidumbre_hist,J_incertidumbre_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__m8_dosis,rec_derivada__m8_dosis,hist_derivada__m8_exceso_C_pos,rec_derivada__m8_exceso_C_pos,hist_derivada__Cx_sn_v6,rec_derivada__Cx_sn_v6,hist_derivada__Cx_sn_F6,rec_derivada__Cx_sn_F6,sd_orden__tasa_feed_Carbon_kg_min,pred_sn_dep_hist,pred_sn_dep_rec,pred_feo_ret_hist,pred_feo_ret_rec,sn_dep_sd_rep_hist,sn_dep_sd_rep_rec,feo_ret_sd_rep_hist,feo_ret_sd_rep_rec,sd_orden__tasa_gn_nm3_min,fold,es_lockbox
AP0148,Reducción,2,recomendar,0.9727444852375794,2.3139,0.17535825752268663,0.047156971799115044,999.7054928791125,1011.5635166139577,1013.649043501912,0.2977401787205367,0.3580535921661026,-174.57045681756253,-155.07648372051875,19.493973097043778,-38.442431449772116,-36.356904561817814,1.1665245057873699,0.33468620936547594,554.4199311492432,613.5043921726525,-690.9337701054013,-744.4017195016753,-15.704416437482076,-17.187501450622552,-22.352201423922327,-6.991654940873384,-0.0,-0.0,20.0,20.0,,,,,,,0.1046074680101299,0.1046074680101299,0.0040742922605457145,0.0040742922605457145,,,5.764266846671935,5.409109822833349,13.867306410471599,16.931043138770036,8.098828722635904,8.098828722635904,118.45695888943142,118.45695888943142,18.893998276825755,-2.6203234521674874,0.0806983341715039,0.07572622220038125,0.0,0.0,8.229917424793062,7.722842881442523,81.5803454504649,76.55388962102333,5.721974598532318,0.3889949613837754,0.4304501045755799,-0.08174983181248557,-0.08807604723228928,0.02014202250732829,0.006300322214877074,0.004054617069077168,0.0012682636008291834,3.0637367282984362,0,False
AP0148,Reducción,3,sin_recomendacion:soporte,0.9771106082170612,1.9464,0.30305597919491994,-0.04095547127311524,996.3209514454426,995.361969914919,995.361969914919,0.2540171239668799,0.2540171239668799,-224.15833510909408,-224.15833510909408,0.0,-4.343522964193535,-4.343522964193535,0.09766881111664796,0.09766881111664796,542.988992263405,542.988992263405,-754.4088377968611,-754.4088377968611,-10.650413112023863,-10.650413112023863,-2.088076463614058,-2.088076463614058,-0.0,-0.0,13.0,13.0,,,,,,,3.3966846618489066e-25,3.3966846618489066e-25,5.040299585324474e-22,5.040299585324474e-22,,,5.02741162849195,5.02741162849195,16.487649349636502,16.487649349636502,7.3262485165066185,7.3262485165066185,119.43308553059896,119.43308553059896,-1.7228114490229838,-1.7228114490229838,0.054506348361232776,0.054506348361232776,0.0,0.0,6.028165337591102,6.028165337591102,71.15180269817928,71.15180269817928,3.630318451107379,0.38097472729648396,0.38097472729648396,-0.08926006844091292,-0.08926006844091292,0.001881608094410083,0.001881608094410083,0.0003787703193228555,0.0003787703193228555,2.3891304986414017,0,False
AP0149,Fusión,1,sin_recomendacion:orden,0.6680186130787664,18.9425,0.5136778130647012,,1032.6763833726013,1037.1120126932567,1037.1120126932567,0.28583066646318883,0.28583066646318883,-99.35670162155652,-99.35670162155652,0.0,14.153619423262173,14.153619423262173,0.2120211887464662,0.2120211887464662,0.0,0.0,-0.0,-0.0,-99.35670162155652,-99.35670162155652,0.0,0.0,-0.0,-0.0,31.0,31.0,185.71316534485481,185.71316534485481,30.65134591767282,30.65134591767282,35.434444743455,35.434444743455,66.92113148082387,66.92113148082387,104.75939226246842,104.75939226246842,42.20695110282513,42.20695110282513,36.84595786971275,36.84595786971275,30.043481455908882,30.043481455908882,46.145255385504825,46.145255385504825,119.39626189337837,119.39626189337837,18.525661694089713,18.525661694089713,0.16643649667673407,0.16643649667673407,0.0,0.0,56.602667086958554,56.602667086958554,,,5.527485696217566,,,,,,,,,,0,False
AP0149,Fusión,2,sin_recomendacion:receta,0.5843524631818571,22.483,0.48580874929985335,,1052.8292487578917,1044.8864336842644,1044.8864336842644,0.3744177412940301,0.3744177412940301,-145.94729663242217,-145.94729663242217,0.0,12.210050311662993,12.210050311662993,0.08115157678418095,0.08115157678418095,0.0,0.0,-0.0,-0.0,-145.94729663242217,-145.94729663242217,0.0,0.0,-0.0,-0.0,36.0,36.0,185.84413891173244,185.84413891173244,30.669693046703674,30.669693046703674,41.37539642066297,41.37539642066297,66.09815523917214,66.09815523917214,103.70212166769461,103.70212166769461,41.36567414936266,41.36567414936266,53.64746232952988,53.64746232952988,30.19280214968386,30.19280214968386,46.59343921558277,46.59343921558277,119.26821732621293,119.26821732621293,18.637158119551362,18.637158119551362,0.1847488673614569,0.1847488673614569,0.0,0.0,225.78984111281562,225.78984111281562,,,6.837605300872508,,,,,,,,,,0,False
AP0149,Fusión,3,sin_recomendacion:receta,0.6048269164284779,21.9904,0.4205574095454909,,1059.3165287947495,1065.127165555798,1065.127165555798,0.35827480730627614,0.35827480730627614,-167.28186521226883,-167.28186521226883,0.0,12.297916797906204,12.297916797906204,0.13427274093313818,0.13427274093313818,0.0,0.0,-0.0,-0.0,-167.28186521226883,-167.28186521226883,0.0,0.0,-0.0,-0.0,41.0,41.0,185.3377800993217,185.3377800993217,30.66366799524588,30.66366799524588,47.27616488434548,47.27616488434548,64.9331177704094,64.9331177704094,102.24725691921027,102.24725691921027,41.2754086989765,41.2754086989765,53.96533013868701,53.96533013868701,30.38209645104787,30.38209645104787,47.03160925163793,47.03160925163793,119.78261402271411,119.78261402271411,18.7968682686448,18.7968682686448,0.16157451013409818,0.16157451013409818,0.0,0.0,352.8160097252441,352.8160097252441,,,7.110813934067624,,,,,,,,,,0,False
AP0149,Fusión,4,sin_recomendacion:receta,0.6185469590128669,21.7785,0.4530066422696806,,1055.2635503808958,1068.2070819544329,1068.2070819544329,0.4359146082699976,0.4359146082699976,-181.26853945857923,-181.26853945857923,0.0,8.890553159683247,8.890553159683247,0.09293977671884254,0.09293977671884254,0.0,0.0,-0.0,-0.0,-181.26853945857923,-181.26853945857923,0.0,0.0,-0.0,-0.0,46.0,46.0,185.54922519259986,185.54922519259986,30.656420050727,30.656420050727,47.92103412416255,47.92103412416255,64.8265623304579,64.8265623304579,100.25271072387696,100.25271072387696,41.249487219916446,41.249487219916446,51.004727851019965,51.004727851019965,30.522413797581454,30.522413797581454,47.47116165341498,47.47116165341498,119.42717135093457,119.42717135093457,18.848509358162314,18.848509358162314,0.13708958834109108,0.13708958834109108,0.0,0.0,464.5055558053695,464.5055558053695,,,6.825393947747257,,,,,,,,,,0,False
AP0149,Fusión,5,sin_recomendacion:receta,0.657146955479113,20.3744,0.3735207738172196,,1059.8395867121535,1055.1285722369453,1055.1285722369453,0.4347066594831054,0.4347066594831054,-193.4496213483732,-193.4496213483732,0.0,-0.13497814395044272,-0.13497814395044272,0.2187378414729048,0.2187378414729048,0.0,0.0,-0.0,-0.0,-193.4496213483732,-193.4496213483732,0.0,0.0,-0.0,-0.0,51.0,51.0,185.4084727545204,185.4084727545204,30.669838038030658,30.669838038030658,42.6020443610425,42.6020443610425,65.0094001818003,65.0094001818003,95.80519178858343,95.80519178858343,41.17170747960888,41.17170747960888,47.820020913178055,47.820020913178055,30.753095369257476,30.753095369257476,47.95359236236311,47.95359236236311,119.83316999908185,119.83316999908185,18.87999758109507,18.87999758109507,0.12393528256224445,0.12393528256224445,0.0,0.0,525.5695758251375,525.5695758251375,,,5.259101439265731,,,,,,,,,,0,False
AP0149,Fusión,6,sin_recomendacion:receta,0.6660846264632378,20.0279,0.49062551160225637,,1081.3432256177387,1060.407700188473,1060.407700188473,0.3704073362997423,0.3704073362997423,-237.11039666636407,-237.11039666636407,0.0,0.5681134763194662,0.5681134763194662,0.2993563202712727,0.2993563202712727,0.0,0.0,-0.0,-0.0,-237.11039666636407,-237.11039666636407,0.0,0.0,-0.0,-0.0,67.0,67.0,179.30194477119832,179.30194477119832,32.791590033637156,32.791590033637156,48.18889174798523,48.18889174798523,62.04752030806109,62.04752030806109,103.58601209852431,103.58601209852431,34.883536074941766,34.883536074941766,42.618294332485,42.618294332485,30.859170459193038,30.859170459193038,48.22713138740494,48.22713138740494,119.82368904831063,119.82368904831063,18.911339798648147,18.911339798648147,0.11312488726256648,0.11312488726256648,0.0,0.0,582.2457728359166,582.2457728359166,,,6.143573050561811,,,,,,,,,,0,False
AP0149,Reducción,0,recomendar,0.7077122025459048,18.3862,2.0482286855624117,-0.20022997077905882,1076.9594199872067,1076.3118590369102,1076.2078751024071,0.32581411729046766,0.3258035885125103,618.4299446805395,619.1210751047548,0.6911304242153165,-5.0313665808286006,-5.135350515331426,0.46572700669295336,0.47349223569222615,2188.3114288409174,2185.3654899701796,-1440.0311564229414,-1437.365255647394,-126.19294394675634,-125.9665915068451,-3.657383790680069,-2.8915101552709803,-0.0,-0.02105755591474967,30.0,30.0,,,,,,,60.073914515921494,60.073914515921494,10.506671534642498,10.506671534642498,,,61.11106206422211,61.05181480116064,28.46083291512948,28.308075642552772,29.705337422688796,29.705337422688796,115.67476829246239,115.67476829246239,-5.137985727393037,-4.626087188107187,0.11411059125427175,0.11399996087100273,0.0,0.0,931.468651300223,930.5655910955238,931.468651300223,930.5655910955238,7.401391886547319,1.5353743109363485,1.5333073661660077,-0.170381460475374,-0.1700660366974965,0.0032957427875973636,0.0026055985056265764,0.0006634375945622341,0.0005245105933245662,2.629537410892832,0,False
AP0149,Reducción,1,sin_recomendacion:soporte,0.9601375357938128,3.2889,0.4700329314493474,-0.07219197474970994,1021.0254211204453,1042.5904982019895,1042.5904982019895,0.2627645234405312,0.2627645234405312,37.130826018703104,37.130826018703104,0.0,-34.36892178521736,-34.36892178521736,1.0625357380978429,1.0625357380978429,761.834857902933,761.834857902933,-647.5801888496319,-647.5801888496319,-62.64356772763506,-62.64356772763506,-14.480275306962925,-14.480275306962925,-0.0,-0.0,25.0,25.0,,,,,,,9.232327171335278e-05,9.232327171335278e-05,0.13211728135361345,0.13211728135361345,,,27.743142856695712,27.743142856695712,27.66638339572483,27.66638339572483,28.859406439887152,28.859406439887152,117.43478217230903,117.43478217230903,-3.2748337024376357,-3.2748337024376357,0.3255344557256836,0.3255344557256836,262.43634321310094,262.43634321310094,59.074331915273895,59.074331915273895,422.8672679980319,422.8672679980319,6.843260350266032,0.5345224882454516,0.5345224882454516,-0.07662032717763842,-0.07662032717763842,0.01304847006402723,0.01304847006402723,0.0026266751230020827,0.0026266751230020827,2.9299840463450626,0,False
AP0149,Reducción,2,recomendar,0.9750726111757103,2.1388,0.344881129010538,-0.05823458014730571,970.893001503523,990.3305446828341,988.9401934241979,0.42619155627706673,0.4370128266843137,-5.419804596061278,8.023687931066366,13.443492527127644,-30.69487643761124,-32.085227696247436,0.13786818996999411,0.5671020900289773,618.1031055538417,578.7134648715688,-579.7443704868122,-544.099070889296,-29.99753365095835,-23.050064361106656,-13.781006012132485,-3.540641690099851,-0.0,-0.0,20.0,20.0,,,,,,,8.288492986507208e-22,8.288492986507208e-22,2.816294938387522e-19,2.816294938387522e-19,,,15.882276165674602,10.160301567142284,19.500516569349504,17.458025417150544,12.074737718370224,12.074737718370224,120.80932847764757,120.80932847764757,-3.9905005451727704,7.242072926217108,0.238548529226152,0.15260564481142877,48.18952645597511,0.0,21.148459562592166,13.529214867881851,242.08125108465026,154.86561807097655,5.721974598532318,0.4336766774919299,0.4060399153640602,-0.06859413569306695,-0.06437665874653113,0.012418344305582505,0.0031905441106150198,0.0024998299337999743,0.0006422609549679843,3.0637367282984362,0,False
AP0149,Reducción,3,recomendar,0.9823438171926506,1.5579,0.2945014464833412,-0.058170257163794994,970.4118093006442,968.3547030261906,969.0069184746934,0.48747005915965824,0.5170108710409864,-33.79420842052649,-29.224533814742514,4.569674605783973,-2.5382984773323995,-1.8860830288295771,0.6882670888682516,0.41828676226091877,532.3409839461145,550.818711789619,-552.47310399354,-569.1943569284393,-10.629141010466075,-9.0780688123684,-3.0329473626349417,-1.7708198635537697,-0.0,-0.0,13.0,13.0,,,,,,,8.288492986507209e-22,8.288492986507209e-22,2.8162949383875217e-19,2.8162949383875217e-19,,,6.283702923002697,3.3225569684577714,14.512934718987879,15.471069776312309,6.805304385454226,6.805304385454226,118.83150144397702,118.83150144397702,9.419356951756184,2.6429333843380474,0.08661098391769158,0.045796233795088126,0.0,0.0,5.92654612961087,3.1337075261373837,95.77762338199179,50.64316596273694,3.630318451107379,0.3735038169783563,0.38646825534918583,-0.0653674567469816,-0.06734588025769453,0.0027330504447026873,0.0015957217310126187,0.0005501668454450729,0.0003212209978271608,2.3891304986414017,0,False
AP0150,Fusión,1,sin_recomendacion:orden,0.8191312354912352,12.2844,0.6745699875546972,,1000.8829623809406,1015.9571430398364,1015.9571430398364,0.4152929927079168,0.4152929927079168,-84.83483913571614,-84.83483913571614,0.0,17.235261151124014,17.235261151124014,0.11192012029390343,0.11192012029390343,0.0,0.0,-0.0,-0.0,-84.83483913571614,-84.83483913571614,0.0,0.0,-0.0,-0.0,31.0,31.0,182.88877101089017,182.88877101089017,17.641200333412247,17.641200333412247,47.97139991220813,47.97139991220813,69.18281348642677,69.18281348642677,108.66658084753789,108.66658084753789,43.167355439157205,43.167355439157205,27.670417246192393,27.670417246192393,29.883941300710045,29.883941300710045,45.656861272443805,45.656861272443805,119.43775783114963,119.43775783114963,18.355858260410354,18.355858260410354,0.14814281619224276,0.14814281619224276,0.0,0.0,21.012692795368753,21.012692795368753,,,5.527485696217566,,,,,,,,,,0,False
AP0150,Fusión,2,sin_recomendacion:soporte,0.6771546828942715,18.7751,0.5359091466504843,,1016.7753426406575,1018.2948492637425,1018.2948492637425,0.2882682848513501,0.2882682848513501,-147.90544436337294,-147.90544436337294,0.0,17.411886882801873,17.411886882801873,1.0262767373024568,1.0262767373024568,0.0,0.0,-0.0,-0.0,-147.90544436337294,-147.90544436337294,0.0,0.0,-0.0,-0.0,36.0,36.0,183.25717216625546,183.25717216625546,17.6694874010588,17.6694874010588,47.9449538916873,47.9449538916873,69.22738508257949,69.22738508257949,97.76603843287417,97.76603843287417,43.144421600877195,43.144421600877195,56.745544005276855,56.745544005276855,28.4215801433758,28.4215801433758,41.855996108413095,41.855996108413095,122.45601165129975,122.45601165129975,18.8740355291874,18.8740355291874,0.2338810906162432,0.2338810906162432,275.33311540895374,275.33311540895374,172.05656197273862,172.05656197273862,,,6.837605300872508,,,,,,,,,,0,False
