palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,r2_balance_oof,identificado_libre,interior,r2_oof_plm_interno,estado,familia,target
exceso_o2_combustion_pct,1,11.210335231916272,0.0030980755604994,-0.0008861306488299,0.006826792665986,0.0031009607745427,2.2650084766805412e-14,0.0067293634471887,0.056,-0.0474553773992663,False,False,0.3374124201454607,k16_v7,feo_ret,m6_ln_feo_ret
tasa_aire_nm3_min,1,9.73829806488448,0.0008467251510712,-0.0032386068146931,0.0052131478412224,0.0008457394148497,5.349401486894283e-28,0.0052613740018664,0.316,-0.0274425130114603,False,False,0.3374124201454607,k16_v7,feo_ret,m6_ln_feo_ret
tasa_feed_Carbon_kg_min,-1,21.97081867901219,0.0046984379851388,-0.0390527788043604,0.0493656194930119,-1.9972638559041885e-13,-0.0077642002299723,-2.029576319134792e-61,0.824,0.8965067432227678,False,False,0.4333788842811095,k16_v7,feo_ret,m8_ln_feo_ret_dross40
Cx_av_v6,-1,16.541070931971895,-0.0027343696858528,-0.0434663600853279,0.036559840849274,-4.459330988942206e-13,-0.0087756612182879,-1.65660281759979e-80,0.7,0.8543071270819762,False,False,0.4333788842811095,k16_v7,feo_ret,m8_ln_feo_ret_dross40
tasa_gn_nm3_min,-1,4.926183847561063,-0.0100460990065718,-0.0201063230455485,-0.0019386261888874,-0.0096845455644178,-0.0176719131393102,-0.0018245069931382,0.004,0.6821047745982997,True,True,0.4333788842811095,k16_v7,feo_ret,m8_ln_feo_ret_dross40
exceso_o2_combustion_pct,1,11.210335231916272,0.0028992005930441,-0.0010769289115535,0.0063524025669897,0.0029745741423151,3.2292229781589454e-14,0.0065085549304468,0.066,-0.0474553773992663,False,False,0.4333788842811095,k16_v7,feo_ret,m8_ln_feo_ret_dross40
tasa_aire_nm3_min,1,9.73829806488448,0.001476115856767,-0.0025338601218379,0.0060669847553448,0.0015602166607736,2.962575536768141e-22,0.0061733252998309,0.174,-0.0274425130114603,False,False,0.4333788842811095,k16_v7,feo_ret,m8_ln_feo_ret_dross40
tasa_feed_Carbon_kg_min,-1,21.97081867901219,0.0072020730554223,-0.0391447202786322,0.0545458770741651,-1.8451732541898617e-15,-0.0089105964270242,-2.553866213559928e-54,0.822,0.8965067432227678,False,False,0.4503994901076273,k16_v7,feo_ret,m8_ln_feo_ret_dross50
Cx_av_v6,-1,16.541070931971895,-0.0056121023452257,-0.0478382912327161,0.0360505482404873,-6.435721938126184e-13,-0.009973713376292,-3.385128273184551e-63,0.65,0.8543071270819762,False,False,0.4503994901076273,k16_v7,feo_ret,m8_ln_feo_ret_dross50
tasa_gn_nm3_min,-1,4.926183847561063,-0.0096329829108279,-0.0199616527941229,-0.0012528203161174,-0.0095234617525392,-0.0178056827904004,-0.0013439617714203,0.01,0.6821047745982997,True,True,0.4503994901076273,k16_v7,feo_ret,m8_ln_feo_ret_dross50
exceso_o2_combustion_pct,1,11.210335231916272,0.0029835785521785,-0.0009792474682869,0.0065323162655483,0.0029822952946422,1.5053677246355023e-14,0.0065246317012381,0.074,-0.0474553773992663,False,False,0.4503994901076273,k16_v7,feo_ret,m8_ln_feo_ret_dross50
tasa_aire_nm3_min,1,9.73829806488448,0.0013540783528642,-0.002857107518129,0.0058950070029646,0.0014097186135669,3.8497254938205774e-24,0.0059500743815191,0.208,-0.0274425130114603,False,False,0.4503994901076273,k16_v7,feo_ret,m8_ln_feo_ret_dross50
tasa_feed_Carbon_kg_min,-1,21.97081867901219,0.0087148129210698,-0.0380473910103549,0.058715986787391,-6.907453600735408e-15,-0.009199157165956,-2.527356824567694e-56,0.818,0.8965067432227678,False,False,0.467525960697947,k16_v7,feo_ret,m8_ln_feo_ret_dross60
Cx_av_v6,-1,16.541070931971895,-0.0068663695646711,-0.0499180443943765,0.0360122888440772,-8.821271006443091e-12,-0.0098716774098106,-1.1937145753223467e-61,0.638,0.8543071270819762,False,False,0.467525960697947,k16_v7,feo_ret,m8_ln_feo_ret_dross60
tasa_gn_nm3_min,-1,4.926183847561063,-0.0108994477121031,-0.0213579898378292,-0.0022898369639949,-0.0107905513260252,-0.0188022111779436,-0.0021989358008545,0.004,0.6821047745982997,True,True,0.467525960697947,k16_v7,feo_ret,m8_ln_feo_ret_dross60
exceso_o2_combustion_pct,1,11.210335231916272,0.0027145677715861,-0.0012283264763088,0.0062186934701597,0.0027068076629595,4.890400133462202e-16,0.0062739902349612,0.096,-0.0474553773992663,False,False,0.467525960697947,k16_v7,feo_ret,m8_ln_feo_ret_dross60
tasa_aire_nm3_min,1,9.73829806488448,0.0018509210313451,-0.0022932203963833,0.0067304151548266,0.0019143546088166,4.7381788924167115e-21,0.0067990352465415,0.134,-0.0274425130114603,False,False,0.467525960697947,k16_v7,feo_ret,m8_ln_feo_ret_dross60
tasa_feed_Carbon_kg_min,-1,21.97081867901219,-0.0145262468427253,-0.0614910945523426,0.0325979560467772,-3.392722276855415e-10,-0.0114111244360198,-1.9144682600826567e-40,0.628,0.8861445450785512,False,False,0.3300871499066541,k15_sin_espesor,feo_ret,m6_ln_feo_ret
Cx_av_v6,-1,16.541070931971895,0.0127864253340065,-0.0279962345191738,0.0498337762332561,-1.5454687234034926e-19,-0.0060461241574403,-5.73243780130436e-73,0.846,0.8401879741586576,False,False,0.3300871499066541,k15_sin_espesor,feo_ret,m6_ln_feo_ret
tasa_gn_nm3_min,-1,4.926183847561063,-0.0102367274401389,-0.0199314218717174,-0.0024524392993048,-0.0099404548878481,-0.0175767482335799,-0.0020652944035039,0.008,0.666528387394829,True,True,0.3300871499066541,k15_sin_espesor,feo_ret,m6_ln_feo_ret
exceso_o2_combustion_pct,1,11.210335231916272,0.0023903259004294,-0.0014939874113993,0.0057240884860787,0.0025348894892392,4.464339958880017e-17,0.0058929591359425,0.1,-0.0617846934265522,False,False,0.3300871499066541,k15_sin_espesor,feo_ret,m6_ln_feo_ret
tasa_aire_nm3_min,1,9.73829806488448,0.0020938814960436,-0.0020196039118623,0.0067176425097664,0.0020016494525907,1.52859089488135e-21,0.0065562764558674,0.128,-0.0321933849794742,False,False,0.3300871499066541,k15_sin_espesor,feo_ret,m6_ln_feo_ret
tasa_feed_Carbon_kg_min,-1,21.97081867901219,-0.0075344828512728,-0.0570816600278829,0.0471828026829904,-3.724077744772934e-11,-0.0104457850217357,-1.2923116638979906e-58,0.71,0.8861445450785512,False,False,0.4279201436783859,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross40
Cx_av_v6,-1,16.541070931971895,0.007449705134923,-0.0375155426612073,0.0484551921760093,-2.204086957133215e-12,-0.0066503789620875,-8.4e-323,0.812,0.8401879741586576,False,False,0.4279201436783859,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross40
tasa_gn_nm3_min,-1,4.926183847561063,-0.0114231676744042,-0.0216703901240106,-0.0038336875601562,-0.0110050272426153,-0.0189639222663486,-0.0030319146353257,0.008,0.666528387394829,True,True,0.4279201436783859,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross40
exceso_o2_combustion_pct,1,11.210335231916272,0.0025384670520637,-0.0012178737795462,0.0060126498372584,0.002683091747695,4.741414090183698e-16,0.006083645952518,0.086,-0.0617846934265522,False,False,0.4279201436783859,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross40
tasa_aire_nm3_min,1,9.73829806488448,0.0020711743086553,-0.0021727696166158,0.0067248865898133,0.0020572162006936,1.815629350925079e-21,0.006530552902577,0.122,-0.0321933849794742,False,False,0.4279201436783859,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross40
tasa_feed_Carbon_kg_min,-1,21.97081867901219,-0.006306252685828,-0.0554141125239562,0.0477248206762604,-6.289694473971015e-12,-0.0102071497180273,-1.7034220927898622e-54,0.716,0.8861445450785512,False,False,0.4411664599663532,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross50
Cx_av_v6,-1,16.541070931971895,0.0064825862592464,-0.0405324391256169,0.0492854899040761,-5.856618510494058e-13,-0.0064454886334429,-1.222357128321979e-60,0.81,0.8401879741586576,False,False,0.4411664599663532,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross50
tasa_gn_nm3_min,-1,4.926183847561063,-0.0114799825257642,-0.0220954605342286,-0.0037528172314055,-0.0110500169085743,-0.0192126000330075,-0.0031742358674991,0.006,0.666528387394829,True,True,0.4411664599663532,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross50
exceso_o2_combustion_pct,1,11.210335231916272,0.002398380534277,-0.0013343585385403,0.0058657805976847,0.0025404924569552,3.452908479838608e-17,0.0058387854663133,0.1,-0.0617846934265522,False,False,0.4411664599663532,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross50
tasa_aire_nm3_min,1,9.73829806488448,0.002339051539725,-0.0019529053234679,0.0071040363063238,0.0023376159872918,4.76547646311908e-21,0.0070329908824115,0.094,-0.0321933849794742,False,False,0.4411664599663532,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross50
tasa_feed_Carbon_kg_min,-1,21.97081867901219,-0.000231408039717,-0.0508027290437448,0.057174311241845,-8.457395766068216e-11,-0.0106554455206363,-1.2272153678573365e-50,0.75,0.8861445450785512,False,False,0.4630352918225232,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross60
Cx_av_v6,-1,16.541070931971895,0.0010912007073988,-0.0484544272824765,0.0455540714627097,-4.790189355764527e-11,-0.0078914393550524,-3.911542810661789e-59,0.762,0.8401879741586576,False,False,0.4630352918225232,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross60
tasa_gn_nm3_min,-1,4.926183847561063,-0.0115656205993636,-0.0219495522152843,-0.0039690870638499,-0.0112738297564928,-0.019413157632927,-0.0033318490426289,0.006,0.666528387394829,True,True,0.4630352918225232,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross60
exceso_o2_combustion_pct,1,11.210335231916272,0.0024934063647277,-0.0013584038916204,0.0059349334644041,0.0025713032964586,3.0502236544218747e-17,0.0059064548998042,0.104,-0.0617846934265522,False,False,0.4630352918225232,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross60
tasa_aire_nm3_min,1,9.73829806488448,0.0023029138370885,-0.0018587354331561,0.0069541922754749,0.0023382208703073,2.831754112863193e-20,0.0069264698751628,0.092,-0.0321933849794742,False,False,0.4630352918225232,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross60
Cx_sn_v6,1,333.2336591231685,0.2027215074642233,0.0296661061074099,0.3472204607679358,0.2027215074642233,0.0300292919039485,0.3472204607679358,0.012,0.9643127768606574,True,True,0.5558841478717212,k15_sin_espesor,sn_dep,m8_ln_sn_dep_cstar
tasa_gn_nm3_min,1,4.934216324100891,0.088506873869919,0.0099121863839515,0.1674272294487401,0.088506873869919,0.0099121863839515,0.1561033588091041,0.018,0.6831156237097081,True,True,0.5558841478717212,k15_sin_espesor,sn_dep,m8_ln_sn_dep_cstar
exceso_o2_combustion_pct,-1,11.375374264983304,-0.0088845905195305,-0.0463000679434889,0.0289077614447357,-0.0088845905195305,-0.0463000679434889,-7.569814383159285e-22,0.308,-0.0037693835407963,False,False,0.5558841478717212,k15_sin_espesor,sn_dep,m8_ln_sn_dep_cstar
tasa_aire_nm3_min,0,9.894336045150371,0.0020603797803498,-0.0301022826654443,0.0306866532389733,0.0020603797803498,-0.0291054641507112,0.0305507345284321,0.0,-0.0279902538366481,False,True,0.5558841478717212,k15_sin_espesor,sn_dep,m8_ln_sn_dep_cstar
tasa_feed_Carbon_kg_min,-1,21.97081867901219,-0.0015237575125057,-0.0398208310361686,0.0457901976801291,-0.0004298691000431,-0.01115398003222,-1.465542483870004e-44,0.704,0.8906602429801775,False,False,0.3294100918925593,k17,feo_ret,m6_ln_feo_ret
Cx_av_v6,-1,16.541070931971895,0.0009587409008977,-0.0377635968511147,0.034920842611808,-7.103337597285181e-09,-0.0086910240545495,-1.2896150775973864e-55,0.718,0.8451604202372346,False,False,0.3294100918925593,k17,feo_ret,m6_ln_feo_ret
tasa_gn_nm3_min,-1,4.926183847561063,-0.0095782876772852,-0.0195565910360582,-0.0014377155940838,-0.0095608979777696,-0.0177165637024878,-0.001558031340215,0.012,0.675358613099523,True,True,0.3294100918925593,k17,feo_ret,m6_ln_feo_ret
exceso_o2_combustion_pct,1,11.210335231916272,0.002431762867034,-0.0017628062222054,0.006231402845603,0.0024412824823691,1.0721301243268269e-17,0.0061114823657066,0.114,-0.0449538769435535,False,False,0.3294100918925593,k17,feo_ret,m6_ln_feo_ret
tasa_aire_nm3_min,1,9.73829806488448,0.0018772395173336,-0.002187946117557,0.006615388531889,0.0018744334342521,2.111383965720808e-22,0.0066355198880057,0.138,-0.0325413145635014,False,False,0.3294100918925593,k17,feo_ret,m6_ln_feo_ret
tasa_feed_Carbon_kg_min,-1,21.97081867901219,0.0064154807153686,-0.0370431932996419,0.0557550667054243,-1.9519661068913475e-14,-0.0101808272477595,-1.458460699384687e-51,0.744,0.8906602429801775,False,False,0.4299367298416489,k17,feo_ret,m8_ln_feo_ret_dross40
Cx_av_v6,-1,16.541070931971895,-0.0063136101868654,-0.0482640400244187,0.0310446238881808,-0.0011686470808352,-0.0097393904642044,-3.283564993580383e-52,0.612,0.8451604202372346,False,False,0.4299367298416489,k17,feo_ret,m8_ln_feo_ret_dross40
tasa_gn_nm3_min,-1,4.926183847561063,-0.0102055949344794,-0.0205742335323017,-0.0023184416535833,-0.0101528210158299,-0.0190349129627191,-0.0021154391870661,0.008,0.675358613099523,True,True,0.4299367298416489,k17,feo_ret,m8_ln_feo_ret_dross40
exceso_o2_combustion_pct,1,11.210335231916272,0.0027083809141551,-0.0013919528233092,0.0062949502651442,0.0026926623211651,1.0921671203873221e-15,0.0062871791674136,0.088,-0.0449538769435535,False,False,0.4299367298416489,k17,feo_ret,m8_ln_feo_ret_dross40
tasa_aire_nm3_min,1,9.73829806488448,0.0019158202405254,-0.0022043279764412,0.0064183210939088,0.0019540342575491,6.672311545965418e-23,0.0064387565583514,0.134,-0.0325413145635014,False,False,0.4299367298416489,k17,feo_ret,m8_ln_feo_ret_dross40
tasa_feed_Carbon_kg_min,-1,21.97081867901219,0.0078836685373436,-0.0372420213735781,0.059877690613094,-2.466088108257232e-15,-0.0101742616581179,-3.780252978950078e-70,0.748,0.8906602429801775,False,False,0.4434000126673286,k17,feo_ret,m8_ln_feo_ret_dross50
Cx_av_v6,-1,16.541070931971895,-0.0078252916242528,-0.0516700696263805,0.0310981048142518,-0.0015028996532892,-0.0106144804836637,-2.2618531406900168e-72,0.582,0.8451604202372346,False,False,0.4434000126673286,k17,feo_ret,m8_ln_feo_ret_dross50
tasa_gn_nm3_min,-1,4.926183847561063,-0.0098472442922434,-0.0201810580442046,-0.0015344416844904,-0.0097823930206866,-0.0188653508248091,-0.001602665074872,0.01,0.675358613099523,True,True,0.4434000126673286,k17,feo_ret,m8_ln_feo_ret_dross50
exceso_o2_combustion_pct,1,11.210335231916272,0.0026841426175064,-0.0016684940644663,0.0062078282293362,0.0026648268121121,2.440493621140642e-16,0.006225837058587,0.102,-0.0449538769435535,False,False,0.4434000126673286,k17,feo_ret,m8_ln_feo_ret_dross50
tasa_aire_nm3_min,1,9.73829806488448,0.0017932332985528,-0.0023506726859986,0.0064259251954316,0.0018401926235137,1.7578644220941424e-23,0.0064582468670398,0.152,-0.0325413145635014,False,False,0.4434000126673286,k17,feo_ret,m8_ln_feo_ret_dross50
tasa_feed_Carbon_kg_min,-1,21.97081867901219,0.0085638382144226,-0.0382771781393664,0.0613215469950625,-1.063278641370416e-17,-0.0110529345935844,-2.1927459797119588e-41,0.732,0.8906602429801775,False,False,0.4653381111955397,k17,feo_ret,m8_ln_feo_ret_dross60
Cx_av_v6,-1,16.541070931971895,-0.0090673683413417,-0.0530745887720793,0.0315728435621145,-0.0021995070517688,-0.0110832840120013,-2.2262302173701239e-41,0.548,0.8451604202372346,False,False,0.4653381111955397,k17,feo_ret,m8_ln_feo_ret_dross60
tasa_gn_nm3_min,-1,4.926183847561063,-0.0099016684800819,-0.0201672879637477,-0.0018185778081326,-0.0098312221142825,-0.0189212329727353,-0.0018733019900728,0.01,0.675358613099523,True,True,0.4653381111955397,k17,feo_ret,m8_ln_feo_ret_dross60
exceso_o2_combustion_pct,1,11.210335231916272,0.0030992043328137,-0.0011167602970246,0.0066232728735772,0.0030782220411824,5.992252117789122e-14,0.0065322074204097,0.06,-0.0449538769435535,False,False,0.4653381111955397,k17,feo_ret,m8_ln_feo_ret_dross60
tasa_aire_nm3_min,1,9.73829806488448,0.0022570068240511,-0.0017553402346092,0.006912503537341,0.0023080176015489,1.2387846203001506e-21,0.0069429911802626,0.104,-0.0325413145635014,False,False,0.4653381111955397,k17,feo_ret,m8_ln_feo_ret_dross60
Cx_sn_v6,1,333.2336591231685,0.1939454674699781,0.0060952220334453,0.3335691008772604,0.1939454674699781,0.0060952220334453,0.333127835805209,0.02,0.9642950626161356,True,True,0.5530376144557553,k17,sn_dep,m8_ln_sn_dep_cstar
tasa_gn_nm3_min,1,4.934216324100891,0.0770324633956205,-0.0020766606944128,0.1551620176922267,0.0770324633956205,9.637053944895905e-13,0.1497408604796953,0.04,0.6774412823662079,False,True,0.5530376144557553,k17,sn_dep,m8_ln_sn_dep_cstar
exceso_o2_combustion_pct,-1,11.375374264983304,-0.0125961026059375,-0.0461599142523495,0.0224340065305834,-0.0125961026059375,-0.0461599142523495,-2.9773546321356397e-22,0.236,-0.0383664185197987,False,False,0.5530376144557553,k17,sn_dep,m8_ln_sn_dep_cstar
tasa_aire_nm3_min,0,9.894336045150371,0.0029451042748105,-0.0315065115731191,0.033367854986645,0.0029451042748105,-0.029817623883378,0.0331166080638758,0.0,-0.0246497163285255,False,True,0.5530376144557553,k17,sn_dep,m8_ln_sn_dep_cstar
Cx_sn_v6,1,333.2336591231685,0.1713579934973166,0.0505366893481303,0.2774483573652442,0.1713579934973166,0.0505366893481303,0.2759065647948117,0.004,0.9643127768606574,True,True,0.8057063670769702,k15_sin_espesor,sn_dep,m6_ln_sn_dep
tasa_gn_nm3_min,1,4.934216324100891,0.0484566039976243,0.0097752510100582,0.0875989405546839,0.0484566039976243,0.0097752510100582,0.0809432730092724,0.006,0.6831156237097081,True,True,0.8057063670769702,k15_sin_espesor,sn_dep,m6_ln_sn_dep
exceso_o2_combustion_pct,-1,11.375374264983304,-0.0025149886903371,-0.0207703551426251,0.0140767493065386,-0.0025149886903371,-0.0207703551426251,-4.826617338039009e-22,0.394,-0.0037693835407963,False,False,0.8057063670769702,k15_sin_espesor,sn_dep,m6_ln_sn_dep
tasa_aire_nm3_min,0,9.894336045150371,0.0037847613364776,-0.0140142222852571,0.0195840717470934,0.0037847613364776,-0.0136148807020704,0.019721008980762,0.0,-0.0279902538366481,False,True,0.8057063670769702,k15_sin_espesor,sn_dep,m6_ln_sn_dep
Cx_sn_v6,1,333.2336591231685,0.15439729296456817,0.018058458378172725,0.26046924126430154,0.15439729296456817,0.01939836176778839,0.258801341406683,0.02,0.9642950626161355,True,True,0.8071151783385029,k17,sn_dep,m6_ln_sn_dep
tasa_gn_nm3_min,1,4.934216324100891,0.03818724594628833,0.001542365116500552,0.07697461904672959,0.03818724594628833,0.001542365116500552,0.07447151053009052,0.02,0.6774412823662079,True,True,0.8071151783385029,k17,sn_dep,m6_ln_sn_dep
exceso_o2_combustion_pct,-1,11.375374264983305,-0.008439064613447652,-0.025570817299857423,0.00860130181570383,-0.008439064613447652,-0.025570817299857423,-1.0833790131182561e-19,0.156,-0.03836641851979872,False,False,0.8071151783385029,k17,sn_dep,m6_ln_sn_dep
tasa_aire_nm3_min,0,9.894336045150373,0.0044192186740049195,-0.01447866946392743,0.020726683368013924,0.0044192186740049195,-0.01447866946392743,0.020770448992191916,0.0,-0.02464971632852553,False,True,0.8071151783385029,k17,sn_dep,m6_ln_sn_dep
