Batch,fase_proceso,orden_escalon_fase,fecha_inicio,ln_sn_dep,ln_feo_ret,sdi,irf_next
AP0009,Fusión,0,2026-04-24 15:46:00,,,,0.216566296639985
AP0009,Fusión,1,2026-04-24 16:11:00,,,,0.24482250048608592
AP0009,Fusión,2,2026-04-24 16:41:00,,,,0.23766023092133404
AP0009,Fusión,3,2026-04-24 17:16:00,,,,0.22913958275093388
AP0009,Fusión,4,2026-04-24 17:56:00,,,,0.23876317177291437
AP0009,Fusión,5,2026-04-24 18:41:00,,,,0.23007104844824822
AP0009,Fusión,6,2026-04-24 19:31:00,,,,0.22499653578147952
AP0009,Reducción,0,2026-04-24 20:55:00,,,,
AP0009,Reducción,1,2026-04-24 21:25:00,,,,
AP0009,Reducción,2,2026-04-24 21:50:00,,,,
AP0009,Reducción,3,2026-04-24 22:10:00,,,,
AP0010,Fusión,0,2026-04-24 23:48:00,,,,0.15968172171416026
AP0010,Fusión,1,2026-04-25 00:18:00,,,,0.19739451354736615
AP0010,Fusión,2,2026-04-25 00:53:00,,,,0.17282046887535868
AP0010,Fusión,3,2026-04-25 01:33:00,,,,0.16552968660056808
AP0010,Fusión,4,2026-04-25 02:18:00,,,,0.18485411249718478
AP0010,Fusión,5,2026-04-25 03:08:00,,,,0.17872710582350018
AP0010,Fusión,6,2026-04-25 04:03:00,,,,0.17198179634721308
AP0010,Reducción,0,2026-04-25 05:30:00,,,,
AP0010,Reducción,1,2026-04-25 06:00:00,,,,
AP0010,Reducción,2,2026-04-25 06:25:00,,,,
AP0010,Reducción,3,2026-04-25 06:45:00,,,,
AP0011,Fusión,0,2026-04-25 08:29:00,,,,0.1921983415885942
AP0011,Fusión,1,2026-04-25 08:59:00,,,,0.25679857598988326
AP0011,Fusión,2,2026-04-25 09:34:00,,,,0.26039920373803377
AP0011,Fusión,3,2026-04-25 10:14:00,,,,0.2619337524015536
AP0011,Fusión,4,2026-04-25 10:59:00,,,,0.2520254735927986
AP0011,Fusión,5,2026-04-25 11:49:00,,,,0.2546873115614358
AP0011,Fusión,6,2026-04-25 12:44:00,,,,0.25814902209422713
AP0011,Reducción,0,2026-04-25 13:25:00,,,,
AP0011,Reducción,1,2026-04-25 13:55:00,,,,
AP0011,Reducción,2,2026-04-25 14:20:00,,,,
AP0011,Reducción,3,2026-04-25 14:40:00,,,,
AP0012,Fusión,0,2026-04-25 15:58:00,,,,0.26356338090594456
AP0012,Fusión,1,2026-04-25 16:28:00,,,,0.2575760769528478
AP0012,Fusión,2,2026-04-25 17:03:00,,,,0.2689193792633222
AP0012,Fusión,3,2026-04-25 17:43:00,,,,0.2652391829262879
AP0012,Fusión,4,2026-04-25 18:28:00,,,,0.25982950100028496
AP0012,Fusión,5,2026-04-25 19:18:00,,,,0.2622650372187251
AP0012,Fusión,6,2026-04-25 20:13:00,,,,0.25462893875793563
AP0012,Reducción,0,2026-04-25 21:06:00,,,,
AP0012,Reducción,1,2026-04-25 21:36:00,,,,
AP0012,Reducción,2,2026-04-25 22:01:00,,,,
AP0012,Reducción,3,2026-04-25 22:21:00,,,,
AP0013,Fusión,0,2026-04-25 23:58:00,,,,0.18451536327723622
AP0013,Fusión,1,2026-04-26 00:23:00,,,,0.25672811104765936
AP0013,Fusión,2,2026-04-26 00:53:00,,,,0.26721664941090006
AP0013,Fusión,3,2026-04-26 01:28:00,,,,0.27570189963539815
AP0013,Fusión,4,2026-04-26 02:08:00,,,,0.27280052267533933
AP0013,Fusión,5,2026-04-26 02:53:00,,,,0.2743160637883479
AP0013,Fusión,6,2026-04-26 03:43:00,,,,0.265117109134001
AP0013,Reducción,0,2026-04-26 04:50:00,,,,
AP0013,Reducción,1,2026-04-26 05:20:00,,,,
AP0013,Reducción,2,2026-04-26 05:45:00,,,,
AP0013,Reducción,3,2026-04-26 06:05:00,,,,
AP0014,Fusión,0,2026-04-26 08:14:00,,,,0.1938035616483967
AP0014,Fusión,1,2026-04-26 08:39:00,,,,0.29854715103438273
AP0014,Fusión,2,2026-04-26 09:09:00,,,,0.29711916065877386
AP0014,Fusión,3,2026-04-26 09:44:00,,,,0.2930327373707183
AP0014,Fusión,4,2026-04-26 10:24:00,,,,0.28252303151535313
AP0014,Fusión,5,2026-04-26 11:09:00,,,,0.27587855852467086
AP0014,Fusión,6,2026-04-26 11:59:00,,,,0.27444891399836513
AP0014,Reducción,0,2026-04-26 13:37:00,,,,
AP0014,Reducción,1,2026-04-26 14:07:00,,,,
AP0014,Reducción,2,2026-04-26 14:32:00,,,,
AP0014,Reducción,3,2026-04-26 14:52:00,,,,
AP0015,Fusión,0,2026-04-26 16:09:00,,,,0.2711199340091104
AP0015,Fusión,1,2026-04-26 16:34:00,,,,0.30216956229385844
AP0015,Fusión,2,2026-04-26 17:04:00,,,,0.3082458786470837
AP0015,Fusión,3,2026-04-26 17:39:00,,,,0.311425795974411
AP0015,Fusión,4,2026-04-26 18:19:00,,,,0.2881537397238156
AP0015,Fusión,5,2026-04-26 19:04:00,,,,0.2836141675824692
AP0015,Fusión,6,2026-04-26 19:54:00,,,,0.28150376422864226
AP0015,Reducción,0,2026-04-26 21:04:00,,,,
AP0015,Reducción,1,2026-04-26 21:34:00,,,,
AP0015,Reducción,2,2026-04-26 21:59:00,,,,
AP0015,Reducción,3,2026-04-26 22:19:00,,,,
AP0016,Fusión,0,2026-04-27 00:15:00,,,,0.1835175294881918
AP0016,Fusión,1,2026-04-27 00:40:00,,,,0.26658256964546084
AP0016,Fusión,2,2026-04-27 01:10:00,,,,0.2877717382986559
AP0016,Fusión,3,2026-04-27 01:45:00,,,,0.2888422883409887
AP0016,Fusión,4,2026-04-27 02:25:00,,,,0.2859061824326384
AP0016,Fusión,5,2026-04-27 03:10:00,,,,0.27073188735956566
AP0016,Fusión,6,2026-04-27 04:00:00,,,,0.26357331499482384
AP0016,Reducción,0,2026-04-27 05:47:00,,,,
AP0016,Reducción,1,2026-04-27 06:17:00,,,,
AP0016,Reducción,2,2026-04-27 06:42:00,,,,
AP0016,Reducción,3,2026-04-27 07:02:00,,,,
AP0017,Fusión,0,2026-04-27 08:28:00,,,,0.25837941026112404
AP0017,Fusión,1,2026-04-27 08:53:00,,,,0.29513779058662865
AP0017,Fusión,2,2026-04-27 09:23:00,,,,0.2937101338167549
AP0017,Fusión,3,2026-04-27 09:58:00,,,,0.2725121268347578
AP0017,Fusión,4,2026-04-27 10:38:00,,,,0.2781049643742625
AP0017,Fusión,5,2026-04-27 11:23:00,,,,0.26404718621738116
AP0017,Fusión,6,2026-04-27 12:13:00,,,,0.27044462795844254
AP0017,Reducción,0,2026-04-27 13:56:00,,,,
AP0017,Reducción,1,2026-04-27 14:26:00,,,,
AP0017,Reducción,2,2026-04-27 14:51:00,,,,
AP0017,Reducción,3,2026-04-27 15:11:00,,,,
AP0018,Fusión,0,2026-04-27 16:47:00,,,,0.21822720982168414
AP0018,Fusión,1,2026-04-27 17:12:00,,,,0.27111790121034307
AP0018,Fusión,2,2026-04-27 17:42:00,,,,0.2770642028194491
AP0018,Fusión,3,2026-04-27 18:17:00,,,,0.2739819312310808
AP0018,Fusión,4,2026-04-27 18:57:00,,,,0.2745148547093071
AP0018,Fusión,5,2026-04-27 19:42:00,,,,0.2584849284819364
AP0018,Fusión,6,2026-04-27 20:32:00,,,,0.2667418928033753
AP0018,Reducción,0,2026-04-27 21:56:00,,,,
AP0018,Reducción,1,2026-04-27 22:26:00,,,,
AP0018,Reducción,2,2026-04-27 22:51:00,,,,
AP0018,Reducción,3,2026-04-27 23:11:00,,,,
AP0019,Fusión,0,2026-04-28 00:59:00,,,,0.22510570744963498
AP0019,Fusión,1,2026-04-28 01:24:00,,,,0.24685218510284887
AP0019,Fusión,2,2026-04-28 01:54:00,,,,0.24908402577731453
AP0019,Fusión,3,2026-04-28 02:29:00,,,,0.26004150747747745
AP0019,Fusión,4,2026-04-28 03:09:00,,,,0.2540183349089916
AP0019,Fusión,5,2026-04-28 03:54:00,,,,0.2619429948879672
AP0019,Fusión,6,2026-04-28 04:44:00,,,,0.2470518959861201
AP0019,Reducción,0,2026-04-28 06:12:00,,,,
AP0019,Reducción,1,2026-04-28 06:42:00,,,,
AP0019,Reducción,2,2026-04-28 07:07:00,,,,
AP0019,Reducción,3,2026-04-28 07:27:00,,,,
AP0020,Fusión,0,2026-04-28 08:52:00,,,,0.2544884340380758
AP0020,Fusión,1,2026-04-28 09:17:00,,,,0.2837114946425893
AP0020,Fusión,2,2026-04-28 09:47:00,,,,0.28680712777009176
AP0020,Fusión,3,2026-04-28 10:22:00,,,,0.2696357367772002
AP0020,Fusión,4,2026-04-28 11:02:00,,,,0.268272199216364
AP0020,Fusión,5,2026-04-28 11:47:00,,,,0.2701201502910433
AP0020,Fusión,6,2026-04-28 12:37:00,,,,0.2595473853399982
AP0020,Reducción,0,2026-04-28 14:01:00,,,,
AP0020,Reducción,1,2026-04-28 14:31:00,,,,
AP0020,Reducción,2,2026-04-28 14:56:00,,,,
AP0020,Reducción,3,2026-04-28 15:16:00,,,,
AP0021,Fusión,0,2026-04-28 17:01:00,,,,0.24239052761086594
AP0021,Fusión,1,2026-04-28 17:26:00,,,,0.26936655453020886
AP0021,Fusión,2,2026-04-28 17:56:00,,,,0.2853328344353079
AP0021,Fusión,3,2026-04-28 18:31:00,,,,0.26848179017931295
AP0021,Fusión,4,2026-04-28 19:11:00,,,,0.27127060498834804
AP0021,Fusión,5,2026-04-28 19:56:00,,,,0.2558575205964373
AP0021,Fusión,6,2026-04-28 20:46:00,,,,0.2555609019336159
AP0021,Reducción,0,2026-04-28 21:56:00,1.5909817015695222,-0.25003597097062585,-0.9093780081367364,
AP0021,Reducción,1,2026-04-28 22:26:00,0.6871962538408544,0.04407347343138578,1.1279309881547122,
AP0021,Reducción,2,2026-04-28 22:51:00,-0.11549003563305801,0.035592019269694936,0.24043015706389134,
AP0021,Reducción,3,2026-04-28 23:11:00,0.4746607858837687,-0.022479769268112484,0.24986309320264385,
AP0022,Fusión,0,2026-04-29 00:38:00,,,,0.22954027797541182
AP0022,Fusión,1,2026-04-29 01:03:00,,,,0.23618388626522663
AP0022,Fusión,2,2026-04-29 01:33:00,,,,0.2518224933302685
AP0022,Fusión,3,2026-04-29 02:08:00,,,,0.255941909882789
AP0022,Fusión,4,2026-04-29 02:48:00,,,,0.2504017181283849
AP0022,Fusión,5,2026-04-29 03:33:00,,,,0.2593295361916561
AP0022,Fusión,6,2026-04-29 04:23:00,,,,0.2513711523232841
AP0022,Reducción,0,2026-04-29 06:05:00,1.7426412172447763,-0.1334830680286321,0.40781053695845526,
AP0022,Reducción,1,2026-04-29 06:35:00,0.3982986728429462,0.00019230195428335676,0.40022169238577976,
AP0022,Reducción,2,2026-04-29 07:00:00,0.20133617427147488,-0.0277051851605996,-0.07571567733452111,
AP0022,Reducción,3,2026-04-29 07:20:00,0.5898649879868707,-0.057154342527316285,0.018321562713707884,
AP0023,Fusión,0,2026-04-29 09:40:00,,,,0.2665920429590539
AP0023,Fusión,1,2026-04-29 10:05:00,,,,0.2936651491352298
AP0023,Fusión,2,2026-04-29 10:35:00,,,,0.2733637470423265
AP0023,Fusión,3,2026-04-29 11:10:00,,,,0.2813264467033526
AP0023,Fusión,4,2026-04-29 11:50:00,,,,0.27119844614691413
AP0023,Fusión,5,2026-04-29 12:35:00,,,,0.2680687835569198
AP0023,Fusión,6,2026-04-29 13:25:00,,,,0.2509734494889049
AP0023,Reducción,0,2026-04-29 14:35:00,1.054939125254255,0.06575836762322815,1.7125228014865366,
AP0023,Reducción,1,2026-04-29 15:05:00,0.5642156870049908,-0.07217341431446776,-0.15751845613968685,
AP0023,Reducción,2,2026-04-29 15:30:00,0.7820951947552967,-0.0513627871560891,0.2684673231944057,
AP0023,Reducción,3,2026-04-29 15:50:00,-0.04895015675401289,0.020890231007340224,0.15995215331938933,
AP0024,Fusión,0,2026-04-29 17:18:00,,,,0.26501894594627357
AP0024,Fusión,1,2026-04-29 17:43:00,,,,0.2933555012177765
AP0024,Fusión,2,2026-04-29 18:13:00,,,,0.280440676181413
AP0024,Fusión,3,2026-04-29 18:48:00,,,,0.2705379354057402
AP0024,Fusión,4,2026-04-29 19:28:00,,,,0.26490439508628316
AP0024,Fusión,5,2026-04-29 20:13:00,,,,0.25995318185445676
AP0024,Fusión,6,2026-04-29 21:03:00,,,,0.2780527012760879
AP0024,Reducción,0,2026-04-29 22:19:00,1.8504996612018048,-0.10612448362377291,0.7892548249640756,
AP0024,Reducción,1,2026-04-29 22:49:00,-0.3695658471215857,-0.010821501814142926,-0.47778086526301494,
AP0024,Reducción,2,2026-04-29 23:14:00,0.7483118011755385,-0.018343091462747898,0.5648808865480596,
AP0024,Reducción,3,2026-04-29 23:34:00,0.3781708247116918,-0.02156518464328433,0.16251897827884848,
AP0025,Fusión,0,2026-04-30 00:49:00,,,,0.23593867659821047
AP0025,Fusión,1,2026-04-30 01:14:00,,,,0.2645663187524311
AP0025,Fusión,2,2026-04-30 01:44:00,,,,0.44031643462683107
AP0025,Fusión,3,2026-04-30 02:19:00,,,,0.27954501512789964
AP0025,Fusión,4,2026-04-30 02:59:00,,,,0.2626970960435297
AP0025,Fusión,5,2026-04-30 03:44:00,,,,0.246863045992146
AP0025,Fusión,6,2026-04-30 04:34:00,,,,0.2427813299687169
AP0025,Reducción,0,2026-04-30 06:11:00,1.8635635910563213,-0.03975194781580116,1.4660441128983097,
AP0025,Reducción,1,2026-04-30 06:41:00,0.50166118673728,-0.012041524387054428,0.38124594286673574,
AP0025,Reducción,2,2026-04-30 07:06:00,0.2642912704385002,-0.011243206367541681,0.1518592067630834,
AP0025,Reducción,3,2026-04-30 07:26:00,0.03869637189368386,-0.01915068269640507,-0.15281045507036686,
AP0026,Fusión,0,2026-04-30 08:56:00,,,,0.2908460559383736
AP0026,Fusión,1,2026-04-30 09:21:00,,,,0.29933231538215765
AP0026,Fusión,2,2026-04-30 09:51:00,,,,0.28537223245666754
AP0026,Fusión,3,2026-04-30 10:26:00,,,,0.27080622553519207
AP0026,Fusión,4,2026-04-30 11:06:00,,,,0.27994989596515424
AP0026,Fusión,5,2026-04-30 11:51:00,,,,0.2622871219459807
AP0026,Fusión,6,2026-04-30 12:41:00,,,,0.2632713875903978
AP0026,Reducción,0,2026-04-30 13:48:00,1.5410309900353543,0.028245902861133265,1.823490018646687,
AP0026,Reducción,1,2026-04-30 14:18:00,0.45754533410961595,-0.004023381341020278,0.4173115206994132,
AP0026,Reducción,2,2026-04-30 14:43:00,0.532668319277684,-0.08894535714022571,-0.3567852521245731,
AP0026,Reducción,3,2026-04-30 15:03:00,,,,
AP0027,Fusión,0,2026-04-30 17:13:00,,,,0.24663717796756457
AP0027,Fusión,1,2026-04-30 17:38:00,,,,0.25896233762908244
AP0027,Fusión,2,2026-04-30 18:08:00,,,,0.27832967894962723
AP0027,Fusión,3,2026-04-30 18:43:00,,,,0.2565667227441111
AP0027,Fusión,4,2026-04-30 19:23:00,,,,0.2719638023224847
AP0027,Fusión,5,2026-04-30 20:08:00,,,,0.2481332742610216
AP0027,Fusión,6,2026-04-30 20:58:00,,,,0.24940348795663225
AP0027,Reducción,0,2026-04-30 22:02:00,1.5457199080010635,-0.11941078071685524,0.35161210083251127,
AP0027,Reducción,1,2026-04-30 22:32:00,0.411759051160213,0.034475073452764654,0.7565097856878595,
AP0027,Reducción,2,2026-04-30 22:57:00,0.08663098537014206,-0.022674853396693232,-0.14011754859679026,
AP0027,Reducción,3,2026-04-30 23:17:00,0.38162654347474934,-0.07985276772896097,-0.4169011338148604,
AP0028,Fusión,0,2026-05-01 00:37:00,,,,0.25645132445618407
AP0028,Fusión,1,2026-05-01 01:02:00,,,,0.2913468575429326
AP0028,Fusión,2,2026-05-01 01:32:00,,,,0.2990509491820562
AP0028,Fusión,3,2026-05-01 02:07:00,,,,0.28335054161121137
AP0028,Fusión,4,2026-05-01 02:47:00,,,,0.27280349529847436
AP0028,Fusión,5,2026-05-01 03:32:00,,,,0.273623835075459
AP0028,Fusión,6,2026-05-01 04:22:00,,,,0.2576048157351567
AP0028,Reducción,0,2026-05-01 05:40:00,1.3423319953827115,-0.037776051063454094,0.9645714847481706,
AP0028,Reducción,1,2026-05-01 06:10:00,0.7234903379439026,-0.12037072935557377,-0.4802169556118352,
AP0028,Reducción,2,2026-05-01 06:35:00,0.45574551310267464,-0.02144976506777152,0.24124786242495944,
AP0028,Reducción,3,2026-05-01 06:55:00,,,,
AP0029,Fusión,0,2026-05-01 08:23:00,,,,0.21575058081616497
AP0029,Fusión,1,2026-05-01 08:48:00,,,,0.2559546723057891
AP0029,Fusión,2,2026-05-01 09:18:00,,,,0.26789191459937983
AP0029,Fusión,3,2026-05-01 09:53:00,,,,0.2631163601971488
AP0029,Fusión,4,2026-05-01 10:33:00,,,,0.25885339181164735
AP0029,Fusión,5,2026-05-01 11:18:00,,,,0.2577144000723076
AP0029,Fusión,6,2026-05-01 12:08:00,,,,0.24788349761540157
AP0029,Reducción,0,2026-05-01 13:16:00,0.8026839741698726,0.02365815730173459,1.0392655471872185,
AP0029,Reducción,1,2026-05-01 13:46:00,1.3343663763062341,-0.10448730969414101,0.28949327936482394,
AP0029,Reducción,2,2026-05-01 14:11:00,0.4113752372987061,-0.07028377970286853,-0.2914625597299792,
AP0029,Reducción,3,2026-05-01 14:31:00,,,,
AP0030,Fusión,0,2026-05-01 16:09:00,,,,0.1963544588256862
AP0030,Fusión,1,2026-05-01 16:34:00,,,,0.25223793675717165
AP0030,Fusión,2,2026-05-01 17:04:00,,,,0.2839965883436757
AP0030,Fusión,3,2026-05-01 17:39:00,,,,0.27973155384341164
AP0030,Fusión,4,2026-05-01 18:19:00,,,,0.280401588549333
AP0030,Fusión,5,2026-05-01 19:04:00,,,,0.2558508855628257
AP0030,Fusión,6,2026-05-01 19:54:00,,,,0.24302716265507393
AP0030,Reducción,0,2026-05-01 21:50:00,0.2751918256403613,0.033600157419312736,0.6111933998334886,
AP0030,Reducción,1,2026-05-01 22:20:00,1.0815948177641928,-0.14374506114613442,-0.35585579369715137,
AP0030,Reducción,2,2026-05-01 22:45:00,0.3531577347915221,-0.004645859673506571,0.30669913805645643,
AP0030,Reducción,3,2026-05-01 23:05:00,0.2440528110501038,-0.07066151054039381,-0.46256229435383434,
AP0031,Fusión,0,2026-05-02 00:31:00,,,,0.19111324291538573
AP0031,Fusión,1,2026-05-02 00:56:00,,,,0.24701908381165233
AP0031,Fusión,2,2026-05-02 01:26:00,,,,0.2648775606912413
AP0031,Fusión,3,2026-05-02 02:01:00,,,,0.253713015716026
AP0031,Fusión,4,2026-05-02 02:41:00,,,,0.2505870276549728
AP0031,Fusión,5,2026-05-02 03:26:00,,,,0.2537866990147483
AP0031,Fusión,6,2026-05-02 04:16:00,,,,0.2571548893049726
AP0031,Reducción,0,2026-05-02 05:19:00,1.7447784498890797,-0.24079343138869294,-0.6631558639978496,
AP0031,Reducción,1,2026-05-02 05:49:00,0.5484229807008104,-0.001769633946571401,0.5307266412350964,
AP0031,Reducción,2,2026-05-02 06:14:00,0.5297046101905454,-0.04089664928995389,0.12073811729100647,
AP0031,Reducción,3,2026-05-02 06:34:00,0.5976613064155403,-0.09909690303725971,-0.3933077239570568,
AP0032,Fusión,0,2026-05-02 08:02:00,,,,0.2675849141363756
AP0032,Fusión,1,2026-05-02 08:27:00,,,,0.28540115620361206
AP0032,Fusión,2,2026-05-02 08:57:00,,,,0.2762004521616485
AP0032,Fusión,3,2026-05-02 09:32:00,,,,0.2831648577811556
AP0032,Fusión,4,2026-05-02 10:12:00,,,,0.25933719359495544
AP0032,Fusión,5,2026-05-02 10:57:00,,,,0.2547037527600369
AP0032,Fusión,6,2026-05-02 11:47:00,,,,0.28836471529224794
AP0032,Reducción,0,2026-05-02 12:49:00,1.1588718775713098,-0.1560887986334824,-0.40201610876351435,
AP0032,Reducción,1,2026-05-02 13:19:00,1.0627084829643851,0.015056189398229197,1.213270376946677,
AP0032,Reducción,2,2026-05-02 13:44:00,1.2531503280999596,-0.20407170589269685,-0.7875667308270089,
AP0032,Reducción,3,2026-05-02 14:04:00,,,,
AP0033,Fusión,0,2026-05-02 15:28:00,,,,0.35066841343241417
AP0033,Fusión,1,2026-05-02 15:53:00,,,,0.34158352767514577
AP0033,Fusión,2,2026-05-02 16:23:00,,,,0.31682545268093926
AP0033,Fusión,3,2026-05-02 16:58:00,,,,0.3155820730905438
