id,fase,feature,importancia_mean,importancia_std,corr_con_target,sospechosa_fuga
F05_ley_feo_next,Fusión,interaccion_FeO_x_B2_prev,0.004014129199339736,0.003960080263450756,0.6395928331800764,False
F05_ley_feo_next,Fusión,ley_sn_conc_batch_pct,0.0028365358541493093,0.0026057674659323207,-0.014714679707630499,False
F05_ley_feo_next,Fusión,tasa_o2_nm3_min,0.002650631347417671,0.0029061224372959322,0.17577236248290676,False
F05_ley_feo_next,Fusión,tasa_gn_nm3_min,0.0019959212078751063,0.0025003302168463753,0.1737525849675998,False
F05_ley_feo_next,Fusión,posicion_vertical_lanza_mm_prev,0.001911078102751631,0.003675177854872215,0.14828265905633303,False
F09_T_gas_bhf,Fusión,tasa_aire_nm3_min,0.39269489627914034,0.05544616459039241,-0.4155019124790495,False
F09_T_gas_bhf,Fusión,temperatura_gas_pre_bhf_celsius_prev,0.32765400886376583,0.04245454507672385,-0.39058885193143233,False
F09_T_gas_bhf,Fusión,espesor_ladrillo_norm_mm,0.1523544052551298,0.022209873507583584,0.2776987152941553,False
F09_T_gas_bhf,Fusión,tasa_gn_nm3_min,0.021505974051305842,0.012207767615853895,-0.490034227005622,False
F09_T_gas_bhf,Fusión,Cx_av_v4,0.016296907184430907,0.01125687758715834,-0.21082869322745276,False
F09_T_gas_bhf,Fusión,tasa_feed_Carbon_kg_min,0.012284064083935883,0.004702904134056852,-0.30092356754877275,False
F09_T_gas_bhf,Fusión,tiro_horno_pct_prev,0.00856967901582498,0.010513847874484743,-0.3192435687216796,False
F09_T_gas_bhf,Fusión,posicion_vertical_lanza_mm_prev,0.0061348723712868125,0.004790736876296644,0.06260759132363278,False
R03_sn_net_l03,Reducción,sn_inventario_escoria_est_kg_prev,0.6246796686920753,0.259011479001671,0.9854725343525444,True
R03_sn_net_l03,Reducción,avance_reduccion_sn_prev,0.14427935052497914,0.09449722750972919,-0.9817432060726443,True
R03_sn_net_l03,Reducción,Cx_sn_v4,0.02994599179781765,0.01634331091564389,0.9769546412853872,True
R03_sn_net_l03,Reducción,ley_sn_escoria_pct_prev,0.0052002979037223925,0.002295363802547932,0.9424444475429186,True
R03_sn_net_l03,Reducción,cum_aire_nm3_prev,0.0008527941008820905,0.0019567804697292073,-0.7080291941832461,False
R03_sn_net_l03,Reducción,ratio_sn_sio2_prev,0.0007630801100812068,0.000799367723076393,0.9266465435996819,True
R03_sn_net_l03,Reducción,ratio_sn_feo_prev,0.000753180430468654,0.0010270283948845224,0.9309375619736824,True
R03_sn_net_l03,Reducción,cum_o2_nm3_prev,0.0006196323121154901,0.000899050927357497,-0.4087118844136731,False
R01_sn_ext,Reducción,sn_inventario_escoria_est_kg_prev,0.5579534303485602,0.10746182393747208,0.9854419343792533,True
R01_sn_ext,Reducción,avance_reduccion_sn_prev,0.16750769282864686,0.0304929473473034,-0.98174409206241,True
R01_sn_ext,Reducción,Cx_sn_v4,0.015258698535036426,0.006800970197325478,0.9765415152705225,True
R01_sn_ext,Reducción,ley_sn_escoria_pct_prev,0.001423851154185658,0.0011238923409321925,0.9395129904435342,True
R01_sn_ext,Reducción,cum_aire_nm3_prev,0.0011843960950273136,0.0020551145579184842,-0.7092351163323377,False
R01_sn_ext,Reducción,ratio_sn_feo_prev,0.0006839174806099945,0.001444907236929962,0.9273389784845699,True
R01_sn_ext,Reducción,relacion_C_cum_Sn_cum_prev,0.0006777746265654683,0.0005218852787249013,-0.6208772863308768,False
R01_sn_ext,Reducción,ratio_sn_sio2_prev,0.0006636270155258562,0.001088553582960739,0.9242671146600477,True
R12_d_avance,Reducción,avance_reduccion_sn_prev,0.6478415809328222,0.09767261834870707,-0.9851629299701404,True
R12_d_avance,Reducción,sn_inventario_escoria_est_kg_prev,0.15744219318666292,0.036357870794084104,0.9847460757524958,True
R12_d_avance,Reducción,Cx_sn_v4,0.010704309694289114,0.003262106654377321,0.9757156906559808,True
R12_d_avance,Reducción,ley_sn_escoria_pct_prev,0.0017049013190242014,0.0017945674409754028,0.9402551929323345,True
R12_d_avance,Reducción,interaccion_Sn_x_FeO_prev,0.0005294913195139506,0.0007595396507906241,0.9405159731981564,True
R12_d_avance,Reducción,cum_feed_Carbon_kg_prev,0.0004932132222555863,0.0006048355484877692,-0.7203584129618553,False
R12_d_avance,Reducción,relacion_C_cum_Sn_cum_prev,0.00044553402285937073,0.0007186098349783504,-0.6048541112702573,False
R12_d_avance,Reducción,ratio_sn_feo_prev,0.00039041690455006607,0.0026308150831582,0.9286747341514533,True
R04_sn_net_l06,Reducción,sn_inventario_escoria_est_kg_prev,0.43536439701082874,0.23745853314310694,0.9825004334283564,True
R04_sn_net_l06,Reducción,avance_reduccion_sn_prev,0.19827690937880216,0.1724533141761641,-0.978906116892285,True
R04_sn_net_l06,Reducción,Cx_sn_v4,0.04703488315079288,0.027707597399337012,0.9745586783586434,True
R04_sn_net_l06,Reducción,ley_sn_escoria_pct_prev,0.009910423842977285,0.0054911618443937455,0.9432505379409933,True
R04_sn_net_l06,Reducción,ratio_sn_feo_prev,0.002453102501870772,0.0014317497349449076,0.9323353982983003,True
R04_sn_net_l06,Reducción,ratio_sn_sio2_prev,0.001767242853794664,0.001462953423590634,0.9272664116123172,True
R04_sn_net_l06,Reducción,cum_aire_nm3_prev,0.0015296520598335618,0.00279556828773257,-0.7070691902563724,False
R04_sn_net_l06,Reducción,Cx_av_v4,0.0009695602715893514,0.0007829282701661352,0.7201528996125104,False
R05_sn_net_l10,Reducción,sn_inventario_escoria_est_kg_prev,0.32587858996890373,0.23885787065444697,0.9734342025864972,True
R05_sn_net_l10,Reducción,avance_reduccion_sn_prev,0.1861045568092523,0.1587419230458573,-0.9700481888923081,True
R05_sn_net_l10,Reducción,Cx_sn_v4,0.06613949641914563,0.03169422643966969,0.9661892288676349,True
R05_sn_net_l10,Reducción,ley_sn_escoria_pct_prev,0.015942719972356453,0.009556318859007406,0.939588711665154,True
R05_sn_net_l10,Reducción,ratio_sn_feo_prev,0.010870379928908548,0.006249290413165231,0.9296280333199993,True
R05_sn_net_l10,Reducción,ratio_sn_sio2_prev,0.0027905684856992384,0.002631179142058855,0.923471975890434,True
R05_sn_net_l10,Reducción,interaccion_Sn_x_FeO_prev,0.0026949411386201706,0.0021467888919582206,0.9380085188922536,True
R05_sn_net_l10,Reducción,cum_aire_nm3_prev,0.0015021913066390357,0.003662591188370603,-0.7019802050654408,False
R18_T_ventana,Reducción,temperatura_horno_celsius_prev,1.504245776854059,0.12203425207298349,-0.1172356029805549,False
R18_T_ventana,Reducción,espesor_ladrillo_norm_mm,0.027946985946128548,0.012702978171196807,-0.13116076901724938,False
R18_T_ventana,Reducción,grad_temperatura_horno_celsius_prev,0.012960473681830233,0.002898600751810122,-0.14242054834341042,False
R18_T_ventana,Reducción,termocupla_media_celsius_prev,0.008811508474150015,0.0035387825639821777,0.1044184835288903,False
R18_T_ventana,Reducción,ley_sn_pellets_batch_pct,0.005300994723155048,0.00277752869924644,-0.1661921574220035,False
R18_T_ventana,Reducción,ley_feo_escoria_pct_prev,0.0027915730451715114,0.0021744771125880506,0.09812735749708204,False
R18_T_ventana,Reducción,cum_aire_nm3_prev,0.002593646156981837,0.00147072652228729,-0.13310545274336472,False
R18_T_ventana,Reducción,ley_sn_carga_batch_pct,0.0018008137143676172,0.001957126689338704,-0.17545055408646335,False
