,irf_F0,sio2_F0,al2o3_F0,feo_F0,cao_F0,masa_F0,feed_total_F0,frac_dross_F0,frac_Fe_F0,frac_sec_F0,cal_F0,T_F0,lanza_F0,gn_F0,C_F0,exc_o2_F0,kpi,irf_Rfin_prev,sio2_Rfin_prev,al2o3_Rfin_prev,kpi_prev,gap_h,es_lockbox
AP0202,0.23280487604702949,38.6359,12.0136,17.02874546333602,22.4965,4719.474158962795,11082.438719044943,0.15271126118934086,0.12484899699959251,0.4581707623359953,0.09580170313475563,1048.5020960570762,416.5214111328125,31.00253611121158,0.038094871263505393,19.292063218332505,67.12287371039088,0.19876227618111716,45.1522,13.2035,67.09957322893993,1.2,False
AP0203,0.16143331452298154,40.3036,12.7486,12.334602976094546,23.3546,4657.159308929533,11164.576039123534,0.15217784868874168,0.10732843124721461,0.4769804083714017,0.09742071030299888,995.9810034337654,492.1382977520978,31.39001860441985,0.057857054635278425,18.959743538023368,67.79923190734513,0.20160907040785075,43.3008,12.9575,67.12287371039088,1.6166666666666667,False
AP0204,0.24214774051382731,37.3937,11.5844,16.91900791834542,20.8925,5728.942647229143,11258.13146965559,0.13164386362978203,0.1226049106591146,0.4601454694884432,0.10631598554328882,1041.4699130472197,478.72902099609377,29.846781956137583,0.054941767709449044,19.634261063642946,60.863310290464845,0.22850343419679622,42.8434,13.0203,67.79923190734513,1.0666666666666667,False
AP0205,0.22517559711227955,34.7457,10.9814,14.845444319097501,20.2012,5218.212163477907,11124.640535703726,0.18218152624789585,0.12867546299548527,0.455661687614307,0.09475735168118991,1030.554499151142,335.5116939544678,31.092836858804336,0.03574858288396049,18.949583921507173,64.1901037712104,0.12989915072584898,48.9765,15.3185,60.863310290464845,1.9833333333333334,False
AP0206,0.17971687792942723,41.0358,13.0339,13.79772735965619,22.7051,4952.171438553109,10545.792943226872,0.16059840814332013,0.13588603009288205,0.4122732531840616,0.10662028766808614,1034.4518558274062,387.7457733154297,31.10447213129742,0.026845378908254197,18.956554844077406,66.50803579954899,0.16393071334351042,45.7751,13.6834,64.1901037712104,2.0833333333333335,False
AP0207,0.22441989952742025,39.1233,12.075,16.0795735911899,20.4512,5961.687587179778,11199.223228083574,0.13338663582901872,0.12722438270952618,0.4482425127766335,0.1088679658399798,1039.547216358955,576.9782409667969,30.209000738952387,0.034863927403691146,19.477537975434743,70.64280982652163,0.2337691426199797,41.1356,12.9365,66.50803579954899,1.25,False
AP0208,0.2937432758432093,33.7586,11.5326,18.71726278807413,18.4286,6112.155036247492,11169.18113421979,0.15578659379959547,0.12698391488965804,0.4721338507811284,0.10084755448713452,1050.785741958728,282.8157653808594,30.764781760384512,0.06151536520519171,18.78774802624576,74.68286740348356,0.1956019838603131,45.7665,13.4525,70.64280982652163,1.05,False
AP0209,0.22169980411157242,39.4749,12.3209,16.148658071447755,21.0444,5305.697628380432,10988.792207513161,0.09319186155404771,0.10471932648637097,0.4680580586786981,0.10160827601631163,1030.4447450887233,382.33372774991125,30.568501225224242,0.0713608551840181,19.197361480949237,72.55314338657644,0.22639551982572312,42.7547,12.9322,74.68286740348356,1.0,False
AP0210,0.25734584671195687,34.8477,10.9118,16.564451442385174,18.607,6323.960116401447,11262.781429623916,0.1475961182058894,0.0922406484781664,0.48925557694536675,0.10447679076536151,1016.4759678581604,491.2935391939603,30.250192197558793,0.03298339881559464,19.43868583479402,68.15696169302298,0.240990381462782,40.7403,12.746,72.55314338657644,1.0666666666666667,False
AP0211,0.29157961333073773,35.1663,11.2265,19.39858756916465,20.1365,5376.782469140175,11291.27442123081,0.14779841743848576,0.09815624881381621,0.4923102314289989,0.09588782997450095,1026.311901018076,276.81878492567273,30.311095940232764,0.061920881518185436,19.255267092015014,75.41130626545628,0.2021129816872673,45.3708,13.5136,68.15696169302298,1.3666666666666667,False
