id,fase,variante,palanca,role,theta_1sd,theta_significativo,sign_theta,rho_target_rendimiento,rho_p,sign_rho,sign_chain,exp19_variable,exp19_coef_por_sd,exp19_p,exp19_sig,sign_exp19,estado_cadena,valor_heatmap
R05_sn_net_l10,Reducción,primitiva,tasa_feed_Carbon_kg_min,carbon,141.8391718617643,False,1.0,0.05716149340310414,0.3262219555747285,1.0,1.0,carbon_total_R,0.406474938261433,0.8742278035365605,False,1.0,indeterminado,0
R05_sn_net_l10,Reducción,primitiva,tasa_gn_nm3_min,gn,-93.87873089292464,False,-1.0,0.05716149340310414,0.3262219555747285,1.0,-1.0,gn_total_R,-1.042515828888145,0.0312010221603329,True,-1.0,indeterminado,0
R05_sn_net_l10,Reducción,primitiva,tasa_o2_nm3_min,o2,55.32404028267345,False,1.0,0.05716149340310414,0.3262219555747285,1.0,1.0,exceso_o2_R,-0.4977395598013465,0.1916591421075534,False,-1.0,indeterminado,0
R05_sn_net_l10,Reducción,primitiva,tasa_aire_nm3_min,aire,16.67126202586872,False,1.0,0.05716149340310414,0.3262219555747285,1.0,1.0,exceso_o2_R,-0.4977395598013465,0.1916591421075534,False,-1.0,indeterminado,0
R05_sn_net_l10,Reducción,cinetica,Cx_sn_v4,carbon,400.65311835495135,False,1.0,0.05716149340310414,0.3262219555747285,1.0,1.0,carbon_total_R,0.406474938261433,0.8742278035365605,False,1.0,indeterminado,0
R05_sn_net_l10,Reducción,cinetica,tasa_gn_nm3_min,gn,-27.418241758814514,False,-1.0,0.05716149340310414,0.3262219555747285,1.0,-1.0,gn_total_R,-1.042515828888145,0.0312010221603329,True,-1.0,indeterminado,0
R05_sn_net_l10,Reducción,cinetica,exceso_o2_combustion_pct,o2,19.31964979634838,False,1.0,0.05716149340310414,0.3262219555747285,1.0,1.0,exceso_o2_R,-0.4977395598013465,0.1916591421075534,False,-1.0,indeterminado,0
R05_sn_net_l10,Reducción,cinetica,tasa_aire_nm3_min,aire,6.549184444726488,False,1.0,0.05716149340310414,0.3262219555747285,1.0,1.0,exceso_o2_R,-0.4977395598013465,0.1916591421075534,False,-1.0,indeterminado,0
R06_frac_sn,Reducción,primitiva,tasa_feed_Carbon_kg_min,carbon,0.037920039890788,False,1.0,-0.03181084023823789,0.5882392574332078,-1.0,-1.0,carbon_total_R,0.406474938261433,0.8742278035365605,False,1.0,indeterminado,0
R06_frac_sn,Reducción,primitiva,tasa_gn_nm3_min,gn,0.011253796085367425,False,1.0,-0.03181084023823789,0.5882392574332078,-1.0,-1.0,gn_total_R,-1.042515828888145,0.0312010221603329,True,-1.0,indeterminado,0
