Batch,orden,lnirf_R,sdi
AP0038,0,-1.311119226606657,-0.1643091645316369
AP0038,1,-1.3926785628875693,0.3249165690833262
AP0038,2,-1.4714815132780574,-0.6009018634457572
AP0038,3,-1.4665777897387267,0.31880437953588425
AP0039,0,,
AP0039,1,,
AP0039,2,,
AP0039,3,,
AP0039,4,,
AP0039,5,,
AP0039,6,,
AP0039,0,-1.5101617515126564,-0.40934107629438277
AP0039,1,-1.6167964420045897,0.28835053427455704
AP0039,2,-1.7224676786377797,-0.5564529618183817
AP0039,3,,
AP0040,0,,
AP0040,1,,
AP0040,2,,
AP0040,3,,
AP0040,4,,
AP0040,5,,
AP0040,6,,
AP0040,0,-1.3088851351365047,0.5572103205522736
AP0040,1,-1.507852655468571,-1.4239562400841594
AP0040,2,-1.4201952427070608,1.4311574724814902
AP0040,3,-1.4580490383194198,-0.3596413828527014
AP0041,0,,
AP0041,1,,
AP0041,2,,
AP0041,3,,
AP0041,4,,
AP0041,5,,
AP0041,6,,
AP0041,0,-1.477153085233484,-0.9302129758689424
AP0041,1,-1.4551937909568382,2.277472308291027
AP0041,2,-1.4642183818584102,0.2064716106507521
AP0041,3,-1.4927117926560605,-0.03949152861097083
AP0042,0,,
AP0042,1,,
AP0042,2,,
AP0042,3,,
AP0042,4,,
AP0042,5,,
AP0042,6,,
AP0042,0,-1.3242979219016864,-0.3252868455075686
AP0042,1,-1.4734775107018117,-0.1489201919999701
AP0042,2,-1.4727130598020735,0.2757303076876934
AP0042,3,-1.4779788565112408,0.18002543227815923
AP0043,0,,
AP0043,1,,
AP0043,2,,
AP0043,3,,
AP0043,4,,
AP0043,5,,
AP0043,6,,
AP0043,0,-1.308119478908995,1.201814295858439
AP0043,1,-1.4603485496796158,-0.9375490174734135
AP0043,2,-1.5159677011264,-0.14256664479524764
AP0043,3,-1.4430754355064974,0.7431643321726565
AP0044,0,,
AP0044,1,,
AP0044,2,,
AP0044,3,,
AP0044,4,,
AP0044,5,,
AP0044,6,,
AP0044,0,-1.3573226299213443,0.23121971029820254
AP0044,1,-1.425635848770311,0.22034493961204915
AP0044,2,-1.50514778144111,-0.7924733515431621
AP0044,3,-1.575111157669274,-0.19701959792417578
AP0045,0,,
AP0045,1,,
AP0045,2,,
AP0045,3,,
AP0045,4,,
AP0045,5,,
AP0045,6,,
AP0045,0,-1.4570042292185874,0.35421307540520686
AP0045,1,-1.4366621258602184,0.25891930278289105
AP0045,2,-1.4153806273019975,0.3159295705606424
AP0045,3,-1.4651231986699649,-0.22247943146418858
AP0046,0,,
AP0046,1,,
AP0046,2,,
AP0046,3,,
AP0046,4,,
AP0046,5,,
AP0046,6,,
AP0046,0,-1.4119924514644524,0.5194205767677638
AP0046,1,-1.50451087891344,0.16086216100207684
AP0046,2,-1.6625797211756386,-1.0157408317527283
AP0046,3,-1.6829790229073804,-0.10215415802065114
AP0047,0,,
AP0047,1,,
AP0047,2,,
AP0047,3,,
AP0047,4,,
AP0047,5,,
AP0047,6,,
AP0047,0,-1.4683228390510528,0.16149754427397056
AP0047,1,-1.5743492644903383,-0.09864284590454808
AP0047,2,-1.6591509360075836,-0.8074712486010087
AP0047,3,-1.8018172299127184,-0.6746046430563809
AP0048,0,,
AP0048,1,,
AP0048,2,,
AP0048,3,,
AP0048,4,,
AP0048,5,,
AP0048,6,,
AP0048,0,-1.4779428944473831,-0.1035819073048787
AP0048,1,-1.6374513194365194,-0.4859504289247836
AP0048,2,-1.5766903319415642,0.6553684600561585
AP0048,3,-1.5830424178804159,0.16452157287555427
AP0049,0,,
AP0049,1,,
AP0049,2,,
AP0049,3,,
AP0049,4,,
AP0049,5,,
AP0049,6,,
AP0049,0,-1.5650966937970332,-0.8264797469235419
AP0049,1,-1.6359413351196233,0.260801794250792
AP0049,2,-1.5992108905189313,0.7124378411695291
AP0049,3,-1.712820302126861,-0.2594006056357516
AP0050,0,,
AP0050,1,,
AP0050,2,,
AP0050,3,,
AP0050,4,,
AP0050,5,,
AP0050,6,,
AP0050,0,-1.4463068100191165,0.7620392239267723
AP0050,1,-1.562006397909191,-0.07322768413055147
AP0050,2,-1.7086914926490344,-0.7162705614714809
AP0050,3,,
AP0051,0,,
AP0051,1,,
AP0051,2,,
AP0051,3,,
AP0051,4,,
AP0051,5,,
AP0051,6,,
AP0051,0,-1.5204659733231982,-0.9081639427144585
AP0051,1,-1.6638385321866218,-0.3963908093155233
AP0051,2,-1.5128503593942122,1.983409081097987
AP0051,3,-1.4410934110933373,0.4114700318290804
AP0052,0,,
AP0052,1,,
AP0052,2,,
AP0052,3,,
AP0052,4,,
AP0052,5,,
AP0052,6,,
AP0052,0,-1.3800039805192872,-0.1516611630986926
AP0052,1,-1.4182689916922229,0.23479021542932565
AP0052,2,-1.5052938618479264,-0.040386965436205347
AP0052,3,,
AP0053,0,,
AP0053,1,,
AP0053,2,,
AP0053,3,,
AP0053,4,,
AP0053,5,,
AP0053,6,,
AP0053,0,-1.513788598511142,0.19330931374601223
AP0053,1,-1.5427868763130117,1.2833626568346967
AP0053,2,-1.6316928226951095,-0.4486675557566755
AP0053,3,-1.761068857410406,-0.5567337625568349
AP0054,0,,
AP0054,1,,
AP0054,2,,
AP0054,3,,
AP0054,4,,
AP0054,5,,
AP0054,6,,
AP0054,0,-1.52277495559963,-2.1113656562732843
