modelo,muestra,variable,coef_por_sd,ci_lo,ci_hi,p,r2_adj,n
D_plan_sin_irf,lockbox,ley_sn_conc_batch_pct,1.2710291078169451,-1.6074756120782916,4.149533827712181,0.38679768705721895,0.10413113447735423,63
D_plan_sin_irf,lockbox,espesor_ladrillo_norm_mm,0.3102869944954243,-1.911481824728987,2.5320558137198357,0.7842967720713112,0.10413113447735423,63
D_plan_sin_irf,lockbox,frac_carga_secundaria_F,-0.2922179965540792,-3.2852683603778927,2.7008323672697343,0.8482470554657946,0.10413113447735423,63
D_plan_sin_irf,lockbox,feed_dross_Fe_total_t,0.29788656197008123,-3.6648718174962323,4.260644941436395,0.8828688174645998,0.10413113447735423,63
D_plan_sin_irf,lockbox,fe_por_carga,-0.8053005501679582,-3.0579770406662385,1.4473759403303221,0.4835152895377074,0.10413113447735423,63
D_plan_sin_irf,lockbox,cal_por_carga,0.009759917464495671,-2.1762904970889916,2.195810332017983,0.9930181810649423,0.10413113447735423,63
D_plan_sin_irf,lockbox,c_por_sn,0.1818822170320331,-1.2278987461254918,1.591663180189558,0.8003734511932598,0.10413113447735423,63
D_plan_sin_irf,lockbox,gn_por_carga,-0.25927913253369095,-1.481850669602845,0.9632924045354632,0.6776566141825167,0.10413113447735423,63
D_plan_sin_irf,lockbox,exceso_o2_F,-1.5607465212211276,-2.619459203253946,-0.5020338391883092,0.003860211791821118,0.10413113447735423,63
D_plan_sin_irf,lockbox,T_F,-0.827901870094137,-2.1843501270294317,0.5285463868411577,0.23159711008510642,0.10413113447735423,63
D_plan_sin_irf,total,feed_sn_total_t,0.32745655969845777,-0.5149872543139987,1.1699003737109144,0.44615857294530437,0.03358548888301016,361
D_plan_sin_irf,total,ley_sn_conc_batch_pct,-0.3289348852385479,-0.9210112176826557,0.26314144720555993,0.27620647065907566,0.03358548888301016,361
D_plan_sin_irf,total,espesor_ladrillo_norm_mm,0.03539268243511028,-0.9484008832357903,1.0191862481060108,0.943786852750353,0.03358548888301016,361
D_plan_sin_irf,total,frac_carga_secundaria_F,-0.4531576930650769,-1.5329559584822814,0.6266405723521276,0.41077200566744054,0.03358548888301016,361
D_plan_sin_irf,total,feed_dross_Fe_total_t,-0.5829863523715713,-1.7152347114213953,0.5492620066782528,0.3128926128224906,0.03358548888301016,361
D_plan_sin_irf,total,fe_por_carga,0.03421241007679013,-0.7649846542692215,0.8334094744228017,0.9331334943440077,0.03358548888301016,361
D_plan_sin_irf,total,cal_por_carga,-0.7118029616975441,-1.3104545244514352,-0.11315139894365289,0.01978408772660596,0.03358548888301016,361
D_plan_sin_irf,total,c_por_sn,0.5659408373317889,-0.05645063927365668,1.1883323139372344,0.07471725955501846,0.03358548888301016,361
D_plan_sin_irf,total,gn_por_carga,0.06643626870853699,-0.48262151172238005,0.615494049139454,0.8125352793332885,0.03358548888301016,361
D_plan_sin_irf,total,exceso_o2_F,-0.6548118514933511,-1.1036413125275004,-0.2059823904592018,0.004243696247859508,0.03358548888301016,361
D_plan_sin_irf,total,T_F,-0.18348068451213626,-1.1450341373946686,0.7780727683703961,0.7084085391420016,0.03358548888301016,361
E_irf_F0_y_dIRF,dev,irf_F0,1.4520792185458005,0.16171936177377,2.742439075317831,0.027411732823950527,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,d_irf,-0.3418576917361839,-1.6350440922416403,0.9513287087692723,0.6043729144644192,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,feed_sn_total_t,0.19885715801485543,-0.6315965304497668,1.0293108464794776,0.63883718433446,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,ley_sn_conc_batch_pct,-0.5802294989227489,-1.2145428712448223,0.05408387339932441,0.07299686389460414,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,espesor_ladrillo_norm_mm,0.04640773798355832,-0.9833517300210164,1.076167205988133,0.9296152899250162,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,frac_carga_secundaria_F,-1.0429416534750788,-2.1619195460546896,0.07603623910453194,0.06773263313768588,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,feed_dross_Fe_total_t,0.011609300570792538,-1.2007425521187791,1.223961153260364,0.985025924057179,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,fe_por_carga,-0.15963671116609907,-1.0011217759263995,0.6818483535942013,0.7100257853996919,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,cal_por_carga,-0.8536879305139636,-1.5356339712264186,-0.17174188980150873,0.014144874579012142,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,c_por_sn,0.23734166828601386,-0.4842367023474188,0.9589200389194465,0.5191399892032541,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,gn_por_carga,0.3732237148887466,-0.2887585903193902,1.0352060200968833,0.26915003779387403,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,exceso_o2_F,-0.1899297263436779,-0.6664917066469755,0.2866322539596198,0.4347278116009706,0.12826696445336405,297
E_irf_F0_y_dIRF,dev,T_F,0.5579161608639057,-0.3829663784359396,1.498798700163751,0.24515341696595572,0.12826696445336405,297
E_irf_F0_y_dIRF,lockbox,irf_F0,2.660778436963284,0.8410370406903769,4.48051983323619,0.0041594610365298015,0.284460133423984,63
