salida,senal,lag-6,lag-5,lag-4,lag-3,lag-2,lag-1,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag_max,rho_max,rho_lag0
D_dross_t,T_gas_bhf,0.0999920939991194,0.12425178690575214,0.10773692115534605,0.1317458910540166,0.09096064273691824,0.09454126811358324,0.17447475609665458,0.06783979088155226,0.09411190384900786,0.18132057770440507,0.1034234950756137,0.14852626227058216,0.17868625936382151,3,0.18132057770440507,0.17447475609665458
D_dross_t,gas_total,0.1259853493624902,0.08760250769125244,0.11094338492600049,0.10373510249130723,0.1335065258073174,0.13552615578198965,0.15522923588799994,0.05490545777537886,0.11383017693889028,0.14296693514449196,0.09653626720411866,0.03386323402127751,0.10460762929755286,0,0.15522923588799994,0.15522923588799994
D_dross_t,T_bano,-0.161543735445172,-0.17961993501254636,-0.14343066908061827,-0.13812884949774398,-0.13110681423567225,-0.09610690181613196,-0.10651717491297918,-0.10062716536447298,-0.0834252140369961,-0.06708272629784864,-0.08287034999822664,-0.06266590647253079,-0.02811145187224362,-5,-0.17961993501254636,-0.10651717491297918
D_dross_t,M_metal_t,0.0762331671587389,0.08124245778171271,0.1306004276158825,0.05091592078182468,0.05879173824973692,0.08625662247665125,-0.19272165875816366,0.0033257615090900596,0.08731481799414403,-0.009788607929313516,-0.033498473267470304,0.1330273565842829,0.0536148793001137,0,-0.19272165875816366,-0.19272165875816366
D_dross_t,D_dross_t,0.2005657482533311,0.15790974589039244,0.2544946755924639,0.3757616897468381,0.24666602537137367,0.25262746959568083,1.0,0.25262746959568083,0.24666602537137367,0.3757616897468381,0.2544946755924639,0.15790974589039244,0.2005657482533311,0,1.0,1.0
D_dross_t,P_polvo_t,-0.011470491977032286,-0.07062136294514777,-0.04094246831865509,-0.07176051898325701,-0.0070655227861213124,0.021074024776593217,0.06718027302325852,0.11819484948714831,0.030461699847163008,0.04924715435778517,0.08579205989030016,0.03451424178226844,0.010409065696189384,1,0.11819484948714831,0.06718027302325852
P_polvo_t,Sn_cargado_t,0.15253249023938784,0.1265525456734971,0.16207288205847137,0.17724359298563303,0.08186733580817294,0.15058971441344027,0.1337922948349509,0.08965855256162812,0.11355369014195114,0.1277675892850814,0.06341423290778149,0.09618773201113369,0.1006159300000688,-3,0.17724359298563303,0.1337922948349509
P_polvo_t,FeO_reducido_R_kg,0.04471298374489535,-0.06997746705204519,0.0543721415135742,0.18691401330587468,0.03624977908158635,0.004662499802240044,0.1848637089770088,0.012645186021478245,-0.01553304259824491,0.07501961585886842,0.012211547310207987,-0.006908682450528201,0.06097114394998049,-3,0.18691401330587468,0.1848637089770088
P_polvo_t,Fe_cargado_t,0.05510715357438158,0.0589674436766246,0.11113025428685963,0.06745452201792813,0.02076149308881069,0.09548631702888453,0.07915859025545978,0.08026704539804726,0.1242725311197713,0.13085642732228328,0.007775544382916961,0.06609469679488826,0.06960751725707649,3,0.13085642732228328,0.07915859025545978
P_polvo_t,dross_Fe_cargado_t,-0.040583517391118325,-0.022498960029877408,-0.00731602047769307,0.018995724982803754,-0.053297005864520366,0.009813269218361856,0.010932736169023752,0.027310336524550925,0.04812643728716207,0.028440029805564444,0.03177747035362182,0.0450418361762733,0.03118528374731181,-2,-0.053297005864520366,0.010932736169023752
P_polvo_t,pellets_cargados_t,-0.03967136835455638,-0.023679076394441497,-0.0551320845342731,-0.010123696169034696,-0.029648656997354736,-0.01421301139127819,-0.006503205373468831,0.01129970307033414,0.02174156827977839,0.023162330051668765,0.014031679916437487,0.015200938923802917,0.041229694992613364,-4,-0.0551320845342731,-0.006503205373468831
P_polvo_t,Sn_en_dross_cargado_t,-0.05814574810057773,-0.038873694745662886,-0.026725605310336457,0.00036595626368774717,-0.06834261916271621,-0.010090313773253614,-0.009938070224115457,0.00993926440845118,0.03128271328904863,0.0138408423410772,0.026421892161818384,0.04374004695749259,0.023543191509091864,-2,-0.06834261916271621,-0.009938070224115457
P_polvo_t,Sn_en_pellets_cargado_t,-0.05965327429477659,-0.04033720294413759,-0.06751297575790204,-0.0329168711284154,-0.04249023250190011,-0.028266703533359937,-0.023234701620346472,-0.0072189037138467,0.007616103721686808,0.010278265375785436,0.004292199919728599,0.008690038438163163,0.03656668855445237,-4,-0.06751297575790204,-0.023234701620346472
P_polvo_t,SDI,-0.03305653026051661,0.12705409235461873,-0.03414717040461281,-0.11538611126826068,-0.0030435444123918564,-0.033908746329272765,-0.19623765058078788,0.017003490689990113,0.01626272996217457,-0.04378393493966352,0.01707585374337851,0.046067272559392636,-0.004981905539468177,0,-0.19623765058078788,-0.19623765058078788
P_polvo_t,lnIRF_R,-0.07868565427877999,-0.02038690910856123,0.001461608709812595,-0.105527929481311,-0.06906604402765762,-0.044823345849744414,-0.12493323324384102,-0.0966658988990597,0.018403062577439906,0.025439373886222163,-0.010967362198225358,0.022828376070637424,0.022247845614758694,0,-0.12493323324384102,-0.12493323324384102
P_polvo_t,IRF_finF,-0.06322904929710227,-0.07800490039072626,0.02059447455250177,-0.04377986893907393,-0.05529874675057053,-0.032511592819598936,-0.05436687610655146,-0.11801630517958012,0.03770732199468054,0.07317812495874845,-0.06139730445810385,-0.004109258945020221,0.0059433391209692075,1,-0.11801630517958012,-0.05436687610655146
P_polvo_t,T_gas_bhf,-0.015382058989941683,0.03158462963382607,-0.1014445629287412,-0.047675662020780274,-0.10399496703550218,-0.1313656800725402,-0.048089898441184796,-0.018687872357743357,-0.05890919341652544,-0.039128480567655693,-0.004191680115203839,-0.0495745171861453,-0.01635418458511121,-1,-0.1313656800725402,-0.048089898441184796
P_polvo_t,gas_total,0.15522465310513503,0.04100670295282704,0.1496406426344861,0.15124906079565079,0.023984257068032665,0.08504021342412316,0.060224973770784916,-0.029171599127355174,0.002507094324618213,0.02546012261983618,-0.03674068951792101,-0.023607076215036764,0.03727283795312306,-6,0.15522465310513503,0.060224973770784916
P_polvo_t,T_bano,-0.07612035978755972,-0.0545435567974167,-0.06877145556783877,-0.04522899728893228,-0.05587225920386275,-0.07077401945744621,-0.04079289119818332,-0.0535760244277801,-0.08537623904732185,-0.041125027459664586,-0.03014873834404848,-0.04495071309417679,-0.005630083337496185,2,-0.08537623904732185,-0.04079289119818332
P_polvo_t,M_metal_t,0.1419648462730985,0.1092439590054141,0.10436678196167508,0.09862798288307024,0.052554546365868496,0.04928286070858986,0.09015030700706089,0.0653007071053835,0.14829845765726166,0.12195261752202163,0.1379336566345041,0.11862964799638895,0.05936897449745216,2,0.14829845765726166,0.09015030700706089
P_polvo_t,D_dross_t,0.010409065696189384,0.03451424178226844,0.08579205989030016,0.04924715435778517,0.030461699847163008,0.11819484948714831,0.0671802730232585,0.021074024776593217,-0.0070655227861213124,-0.07176051898325701,-0.04094246831865509,-0.07062136294514777,-0.011470491977032286,-1,0.11819484948714831,0.0671802730232585
P_polvo_t,P_polvo_t,0.3312726516400675,-0.09235766244464964,-0.012035429360155038,0.4795397875431768,-0.11546416067638486,-0.05905387488285796,1.0,-0.05905387488285796,-0.11546416067638486,0.4795397875431768,-0.01203542936015504,-0.09235766244464964,0.3312726516400675,0,1.0,1.0
M_metal_t,Sn_cargado_t,0.36444247448324546,0.40610854126965384,0.41173481740786766,0.4728239335008977,0.4163367332025317,0.45498584253516217,0.5223510618014154,0.45363969887963407,0.402084302000192,0.46576210430480575,0.46334213214489833,0.41891601151372587,0.4340373395868991,0,0.5223510618014154,0.5223510618014154
M_metal_t,FeO_reducido_R_kg,0.1169046422224597,0.16767491461885717,0.15708867212667685,0.09359379229154045,0.08934223113720982,0.17842180385153972,0.05644503398401523,0.07568836814775533,0.18123197876622515,0.1471804767212738,0.16568393572192042,0.1534182002842956,0.19310830617071847,6,0.19310830617071847,0.05644503398401523
M_metal_t,Fe_cargado_t,0.08692303247517949,0.08800904373215114,0.05440224672098216,0.09712232664812515,0.07149389658725432,0.05766175420947857,0.12117035145896703,0.10822829193501607,0.06977204610660785,0.1526512366598001,0.1260145163063222,0.12094640059000498,0.17634912146003168,6,0.17634912146003168,0.12117035145896703
M_metal_t,dross_Fe_cargado_t,-0.27098492454362083,-0.3253719346934224,-0.3567740550595306,-0.32665031969576913,-0.3757074147918126,-0.3882400737210125,-0.33927063468401614,-0.3768176845143414,-0.3999384511435137,-0.3278364984760074,-0.32671398814880603,-0.2987390798220452,-0.28229003738430064,2,-0.3999384511435137,-0.33927063468401614
M_metal_t,pellets_cargados_t,-0.3126625043478345,-0.34649507576173366,-0.3562222086658434,-0.3157109424830703,-0.3538151321066316,-0.34281336881986535,-0.32302110069147766,-0.33506873845681967,-0.3510382318580246,-0.3192995644777715,-0.3113534353190257,-0.2874503710693188,-0.2875138479653469,-4,-0.3562222086658434,-0.32302110069147766
M_metal_t,Sn_en_dross_cargado_t,-0.28490309199713,-0.3321178974359073,-0.36271056402727475,-0.33883039145194505,-0.38086314942385585,-0.3927281965577029,-0.3378637351880519,-0.3770377908785095,-0.3961968619864584,-0.32171296716657144,-0.32272324352916043,-0.29391777952183684,-0.2747861262480138,2,-0.3961968619864584,-0.3378637351880519
M_metal_t,Sn_en_pellets_cargado_t,-0.3254977720907445,-0.35476231152211113,-0.3641152886331866,-0.3289411463544993,-0.3592655736260277,-0.3458029023130779,-0.3252733877580862,-0.33765876497983943,-0.3488003856062147,-0.3164740147728389,-0.3032462280901413,-0.2825471157287784,-0.28119221532413397,-4,-0.3641152886331866,-0.3252733877580862
M_metal_t,SDI,-0.03662649319761345,-0.12241866155210379,-0.10617007683145242,0.012374190861603063,-0.05077938567207043,-0.05323939976404146,0.08769789307856861,0.04011876188831302,-0.0819667434589362,-0.008933070271048926,-0.11906614621115774,-0.07645459641938238,-0.07332094721607382,-5,-0.12241866155210379,0.08769789307856861
M_metal_t,lnIRF_R,0.1834320718777172,0.10295085058622826,0.1771600846888246,0.27732385254842284,0.20961308004510643,0.20218758865754505,0.3950133169834534,0.22357246120401544,0.16732402585850997,0.23983051402444583,0.1481538874668974,0.12537516553967515,0.190992440894368,0,0.3950133169834534,0.3950133169834534
M_metal_t,IRF_finF,0.2050003510399625,0.18764731904523899,0.2289484485509404,0.26085949029665195,0.25643909182046976,0.25572701114524293,0.4037333898573638,0.23969370120244532,0.17766862506553077,0.2588299509530443,0.19929798325962206,0.1611677419556637,0.2467760485214584,0,0.4037333898573638,0.4037333898573638
M_metal_t,T_gas_bhf,-0.004767935662591372,-0.02454282701027308,0.04356147277864465,-0.03648546911542653,0.01359591863951187,0.04371619057543007,-0.020781007954777102,0.041882348830016576,0.025454425971716724,0.027182258697334188,0.10124890554280419,0.08316686233068202,0.011167871616687535,4,0.10124890554280419,-0.020781007954777102
M_metal_t,gas_total,0.18233374312873268,0.22787475261775153,0.2546849568438733,0.26019889081199127,0.23293953082052343,0.24127307056518052,0.2408657952261467,0.312652353841575,0.24045862514440405,0.1790892644595955,0.22734829111678112,0.22369799367745546,0.21167530508413873,1,0.312652353841575,0.2408657952261467
M_metal_t,T_bano,-0.38077989852265676,-0.36308883409641224,-0.42101276759405465,-0.42041433521764204,-0.4286979452571838,-0.4767662045629962,-0.43207294981226385,-0.4061675698243078,-0.42131156806647424,-0.4129940717645719,-0.41080138623295326,-0.42145954469468216,-0.404964940652191,-1,-0.4767662045629962,-0.43207294981226385
M_metal_t,M_metal_t,0.33071227297504935,0.3089703235423701,0.3314256265028667,0.4474894223590717,0.3746497687158569,0.39507554796233546,1.0,0.39507554796233546,0.3746497687158569,0.4474894223590717,0.3314256265028667,0.3089703235423701,0.33071227297504935,0,1.0,1.0
M_metal_t,D_dross_t,0.0536148793001137,0.1330273565842829,-0.033498473267470304,-0.009788607929313516,0.08731481799414405,0.0033257615090900596,-0.19272165875816363,0.08625662247665125,0.05879173824973693,0.05091592078182468,0.1306004276158825,0.08124245778171273,0.07623316715873892,0,-0.19272165875816363,-0.19272165875816363
M_metal_t,P_polvo_t,0.05936897449745217,0.11862964799638895,0.1379336566345041,0.12195261752202162,0.14829845765726168,0.06530070710538348,0.09015030700706089,0.04928286070858986,0.052554546365868496,0.09862798288307024,0.10436678196167506,0.10924395900541412,0.1419648462730985,-2,0.14829845765726168,0.09015030700706089
