id,fase,familia,agg,n_dev,rho_dev,p_spearman_dev,p_bh_dev,ci_dev,rho_lockbox,p_lockbox,n_lockbox,rho_total,p_total,rho_f_dross_dev,rho_f_polvo_dev,rho_recuperacion_dev,coef_ols_dev,p_ols_dev,coef_ols_lockbox,p_ols_lockbox,coef_ols_total,p_ols_total,rho_tercio1,rho_tercio2,rho_tercio3,n_tercios_pos,rho_mc_media,rho_mc_sd,frac_rho_mc_positivo,dir_ok
MX06_irf_twmean_R,Reducción,matriz,twmean,299,0.3042337994657808,8.032369141825307e-08,7.229132227642776e-07,"[0.202, 0.409]",0.376152073732719,0.002379507562035225,63,0.33091128663726127,1.0676234155854121e-10,-0.13508204080716482,-0.2364256694574757,0.2615178110480124,1.7482713314196066,3.153164187831703e-10,1.689563169978892,0.02806343281046617,1.6953370789893418,1.1121849383335704e-11,0.3268286828682868,0.26467446744674467,0.42724799010513287,3,0.3032650849588112,0.005449380829619775,1.0,True
MX08_indice_fluidez_R,Reducción,matriz,twmean,299,0.2948970842405333,2.0599335103680632e-07,1.235960106220838e-06,"[0.180, 0.402]",0.39266513056835645,0.0014567113729483105,63,0.3250399904581951,2.36151945017997e-10,-0.12401337792642142,-0.23554488114744898,0.2567457520594375,1.715103992052155,6.595281647036185e-10,1.611562924284521,0.03707156385221301,1.6615572850447071,2.7336509716398e-11,0.3402580258025802,0.27573957395739573,0.38755720470006183,3,0.29378660860586747,0.004846587335927058,1.0,True
MX04_feo_sio2_R,Reducción,matriz,twmean,299,0.29081546991088864,3.0771263283783746e-07,1.3847068477702687e-06,"[0.179, 0.399]",0.35815092165898615,0.003950598885393486,63,0.3195241088044019,4.902497719512311e-10,-0.10981032973446163,-0.2436138358286009,0.26095126933177704,0.577930788954584,0.8794755728136765,3.509944635026061,0.1024988649906213,0.6396094007917069,0.8574758317289741,0.363012301230123,0.24570057005700568,0.3762646876932591,3,0.29013505420753744,0.0046995004485645255,1.0,True
CP01_sdi_heel2b,Reducción,compuesto,batch_especial,283,0.25507348277318975,1.3986150480632984e-05,5.035014173027874e-05,"[0.150, 0.366]",0.2960349462365592,0.018486828196608966,63,0.2629935402940365,6.981523737093459e-07,-0.22645125697421878,-0.0631044367097253,0.12343295166835914,1.3106927352509472,0.00023609304138050364,1.2622217910746816,0.13633573017818013,1.3598189793130688,2.128740967113845e-05,0.21798198028208876,0.23049504950495048,0.3869135282979171,3,,,,True
MX07_irf_inicio_R,Reducción,matriz,first,299,0.2384790464860497,3.090565179017619e-05,9.271695537052858e-05,"[0.122, 0.351]",0.3786962365591398,0.0022098367404686297,63,0.2772143494883359,8.250612916651088e-08,-0.11911517137662456,-0.16363942447980967,0.26267962559762964,1.4318232747709487,8.098869570869683e-08,1.7590274603666294,0.014264029802488686,1.4587465281592982,1.7781886575950117e-09,0.2785478547854785,0.27791179117911785,0.24666666666666665,3,0.23792531705236694,0.00850666546132251,1.0,True
MX05_al2o3_sobre_mod_R,Reducción,matriz,twmean,299,0.20632219254337725,0.00032888403227349024,0.0008457017972746892,"[0.092, 0.309]",0.29968317972350234,0.01702563491115658,63,0.2208628073371218,2.23375762874267e-05,-0.05176853493748738,-0.20269039976655967,0.2525474175663846,0.9047784977564747,0.005625566728444897,0.9447320944026463,0.2600934814131105,0.9266394290016945,0.0012837137600968328,0.34831083108310823,0.15050705070507048,0.16471243042671613,3,0.2066495297524186,0.0072847485363263225,1.0,True
MX02_nbo_t_R,Reducción,matriz,twmean,299,0.17860339835245,0.0019327818730391936,0.004348759214338186,"[0.059, 0.289]",0.21159754224270355,0.0959565429131228,63,0.20047162622129475,0.00012298685788850457,-0.023423941101209853,-0.1773643689255011,0.22897488271868194,0.8531661130735643,0.006866251927460162,0.47036518638200153,0.6383229261816514,0.8608185375464161,0.0028789054664102444,0.31126312631263126,0.08904890489048904,0.15690785405071117,3,0.177324244124711,0.007552792900296979,1.0,True
SB02_sn_metal_eq_l15_R,Reducción,balance_Sn,sb_custom,297,0.12008530800477112,0.038614092384789994,0.07722818476957999,"[0.016, 0.222]",0.00811251920122888,0.9496847181499031,63,0.11869253106376848,0.024311711963995734,-0.16767530190348984,0.042486812621040815,0.1831094364651412,0.6302031444985179,0.0498419663666565,0.011256392544815252,0.9851481386608586,0.563066247168212,0.031260873342802545,0.06018601860186018,0.13244524452445244,0.2154034294130023,3,0.1675812058770915,0.009542742789703424,1.0,True
PV01_T_precuchilla_R,Reducción,polvo,twmean,299,0.1045049493838522,0.07116326764570223,0.128093881762264,"[-0.006, 0.206]",-0.03177803379416283,0.804721067903417,63,0.0644525901687283,0.22120686362761305,-0.12117079302372562,0.03213665237592871,0.11576485376310297,0.6007882591234432,0.007419387026242108,-0.6209005258350683,0.2700692110427513,0.34222329557720166,0.13340829244073724,0.0527092709270927,0.15377137713771377,0.12076685219542363,3,0.10450494938385219,1.3877787807814457e-17,1.0,True
TH01_sobrecal_resid_R,Reducción,termico,twmean,299,0.05945410877421382,0.305524525408676,0.40681258559696126,"[-0.059, 0.176]",-0.047907066052227346,0.7092598973959781,63,0.0028568497801931907,0.9568017977162785,-0.12167134295526476,0.08722722273349645,-0.09776435994702701,0.5741885728319309,0.10912420057372262,0.04104766087370937,0.9749635642242492,0.579019277748577,0.08835315284771525,0.27731173117311725,0.00936093609360936,0.15684601113172542,3,0.05973104980808511,0.0033112826641210776,1.0,True
SB01_sn_metal_eq_l06_R,Reducción,balance_Sn,sb_custom,297,0.05833044759219256,0.31640978879763654,0.40681258559696126,"[-0.057, 0.170]",0.01987327188940092,0.8771400565270405,63,0.06799460901190081,0.19805584353605793,-0.13293968159739972,0.08159776616152456,0.1819052121065544,0.09231606186113117,0.7742048862374922,0.007517850160802642,0.9913759018197159,0.1367010751702581,0.606943509519104,-0.006132613261326131,0.05279327932793279,0.12734062697243845,2,0.11691617528792898,0.0045611316404447245,1.0,True
PV04_gas_total_por_carga_R,Reducción,polvo,ratio,299,0.05816390204484748,0.31615816981831507,0.40681258559696126,"[-0.053, 0.163]",-0.09499807987711213,0.45893485090425734,63,0.02450576827655955,0.6421382300923285,-0.020846670108415077,-0.017358083993625283,0.04203946039370609,0.2940725322344175,0.4010646078306276,-0.17123048567258792,0.9270800604271501,0.1984216769851784,0.5618723894537732,-0.09314131413141315,0.23248724872487248,0.03281385281385281,2,0.05816390204484749,6.938893903907228e-18,1.0,True
FE04_pureza_feo_fe_total,Reducción,balance_Fe,last,287,0.017693587755434025,0.7653493501785826,0.9184192202142991,"[-0.095, 0.137]",0.13093933532440585,0.3063555924612879,63,0.0429980906040079,0.42260276913937483,-0.005419248019654473,-0.010389913252659564,0.01328622129311893,,,,,,,0.10817215935622822,-0.044511037417025945,-0.0024223287729210883,1,-0.002108105309324822,0.05789674606608822,0.44,True
PV06_fume_intensidad_R,Reducción,polvo,sum,299,0.00785616484478463,0.8923913953565352,0.9448850068480962,"[-0.108, 0.128]",0.2137576804915515,0.0925343425531931,63,0.06940613268395769,0.18764966385807058,0.0604857354492604,-0.11018383425736795,0.11021660568786334,-0.5068176894074425,0.19706457671446043,13.58916513545812,0.21692148982086235,-0.46379624579229395,0.22022326587233043,-0.2322352235223522,0.07423942394239423,0.04942486085343228,2,0.00785616484478463,0.0,1.0,True
PV03_delta_T_gas_R,Reducción,polvo,twmean,299,0.00250454535251734,0.9656008513009893,0.9656008513009893,"[-0.109, 0.108]",-0.2579205069124424,0.04126508446134107,63,-0.07003727805090168,0.18365847174852917,0.05571322753698009,-0.05659581154182846,0.03813427308029001,0.058167555494699166,0.8186524857128669,-1.7395812813966698,0.0010205562663861195,-0.24332433739559128,0.32245132763975515,-0.16856885688568857,0.047272727272727265,0.14346320346320346,2,0.00250454535251734,0.0,1.0,True
PV08_tiro_ventana_R,Reducción,polvo,twmean,299,-0.011136899283966691,0.8479189979085305,0.9448850068480962,"[-0.126, 0.101]",0.14280913978494625,0.26418748491898564,63,-0.003970397638023839,0.9399911392466482,0.05094431101434311,-0.057641803775448364,0.10162151242396356,-0.41522492544954037,0.05051605756271936,0.7624056507120223,0.2626399403941061,-0.22813610428403786,0.31444039476599694,-0.1785298529852985,0.08834083408340833,0.050847247990105135,2,-0.011136899283966691,0.0,0.0,False
TH03_sobrecal_ventana_R,Reducción,termico,twmean,299,-0.0796879980247357,0.1693333310762975,0.2770909053975777,"[-0.199, 0.044]",-0.02880184331797235,0.8226980608782275,63,-0.07514841718481087,0.15361753585535143,0.046665619178020694,0.06845188660187201,0.02975376534757918,-0.2677834014525956,0.33536161914044704,-0.07026752885325882,0.9233202876540746,-0.2586733430137886,0.29717979033847797,-0.33526552655265524,-0.09153315331533152,0.19954236239950526,1,-0.08201872909698997,0.006538781921002664,0.0,False
