Batch,K0_proxy,K1_recuperacion_real,K2_recup_corr_escoria,K3_ventana3_centrada,K3_ventana5_centrada,K5_DP_desplazados_1,K5_DP_desplazados_2,K5_DP_desplazados_3,K6_solo_dross,K7_M_sobre_MD,K8_M_por_Sn_menos_D
AP0042,74.22791691922325,84.49977679572874,86.01098074503491,73.64361978553111,72.06551593151633,75.99928644266872,71.03397702311723,74.40271417038636,90.10256292748649,88.23489399701582,95.2293335963333
AP0043,73.85536826897214,74.50999270563719,75.98411766601386,72.14578193252915,71.99707937105825,68.62960131919392,72.16840629279953,70.98853522419341,91.13665867995806,89.28496181325937,81.82687173931843
AP0044,68.36797693655916,72.73423832646773,73.79438704345831,70.89404512331363,71.84863422686126,71.92422145437548,70.73819589421672,68.53531324040819,92.75081755864653,90.41331028434409,78.81236210691188
AP0045,70.620289548631,67.37854416048518,69.5073454213182,70.35375238788212,70.67311367517657,69.40261395791093,67.14588404944114,65.71339958437305,90.35516733369634,87.98378124875131,74.20715924089814
AP0046,72.0754188691322,76.46141821401073,78.06703476654155,70.44152022004918,69.1124893745177,69.93041233752967,68.56249366605304,71.18579867544234,90.11145894994532,87.93550109120596,85.42248227930325
AP0047,68.62511041569327,72.04657504149617,72.93208476919254,68.90378101885469,69.21028169872372,67.22564116963413,69.91154488577746,67.26729822988163,89.09033365693375,86.28314960114007,81.36589344270335
AP0048,65.9167013299936,67.24259120969654,68.23166077417626,67.7829325536039,68.44215502095616,68.65986619535734,65.95917964637142,68.19875270692069,86.07762546125605,82.56195429712443,78.3735270558229
AP0049,68.82755232596378,69.9504800338644,70.61692543088999,67.12521232090376,67.43375169662423,66.13418849932646,68.36776937512553,73.63814711667814,88.51566491707977,85.70032973518457,79.19373795677073
AP0050,66.69978681150528,72.80907025627565,73.5191627533857,67.53758897807239,69.16392320349927,68.91359877040682,74.12744930807767,65.67411965366456,91.62038017951488,88.83899034850036,80.13954733007375
AP0051,67.12126740583344,64.00630309992407,66.29827806589508,70.35969552559273,68.99421103231222,72.5158397467776,63.79314305443093,66.74415197123174,84.55390860633638,81.29273890040223,75.06245389993275
AP0052,76.92483109701323,90.20093906874044,91.29385072865605,69.83255742325211,69.32480859801757,69.00330135636783,71.7179250364886,69.88226727422804,95.37189795390039,94.3250329966943,95.376895550089
AP0053,65.16159742922527,65.32819413331246,65.76413962102275,70.84940137815198,69.06349636582401,68.05692030814346,66.095975980698,64.96049634549577,85.69546542393442,81.99920618369448,76.2655125498185
