id,fase,agg_registrada,rho_coherente_dev,p_coherente_dev,mejor_regla_dev,rho_mejor_dev,brecha,n_bloques_signo_positivo,rho_min,rho_max,rho_media,rho_residual_total,rho_mc_media,rho_mc_sd,frac_rho_positivo,frac_rho_pos_y_sig005,rango_medio_ruido,rango_mediano,prob_top3,robusto
R15_d_log_sn_feo,Reducción,sum,0.07412977386715348,0.20193554688158397,sum,0.07412977386715348,0.0,3,-0.055229522952295225,0.32642089093702,0.1406159588594139,0.1294063483000126,0.07530487927920085,0.009164245907711853,1.0,0.0,7.435,6.0,0.028,False
R16_feo_por_sn_disp,Reducción,ratio,0.09151867346651718,0.1212321278808444,sum,0.19643912084202408,0.1049204473755069,4,0.04478686635944701,0.13547462355316492,0.0880077915844152,0.13003418103704636,0.07006196638454805,0.034335805426947044,0.99,0.115,8.325,6.0,0.012,False
R17_dT,Reducción,sum,-0.0413746043859846,0.4760052105077206,first,0.08699378240667999,0.1283683867926646,1,-0.21471774193548387,0.20331478045763757,-0.08400285558098274,-0.024694296077501107,-0.04137460438598461,6.938893903907228e-18,0.0,0.0,16.99,16.0,0.0,False
R18_T_ventana,Reducción,twmean,-0.0775964624812013,0.18084216480839888,last,-0.04421359789903706,0.033382864582164246,1,-0.221150153609831,0.0458085808580858,-0.10745724516905278,-0.07594006825729632,-0.07759646248120132,1.3877787807814457e-17,0.0,0.0,18.005,18.0,0.0,False
R19_T_gas_bhf,Reducción,twmean,0.11114542883436959,0.05488492426794639,twmean,0.11114542883436959,0.0,3,-0.002112135176651306,0.15218721872187216,0.09444860672703213,0.10117792299883176,0.1111454288343696,1.3877787807814457e-17,1.0,0.0,4.125,5.0,0.088,False
R20_fe_metalizado_por_sn,Reducción,sum,0.21610172742545852,0.00017475491068957936,mean,0.22925154745023707,0.013149820024778547,3,-0.05318740399385561,0.25690353460972015,0.1569956393146322,0.18466619104551468,0.14243736724300715,0.020756778034707664,1.0,0.92,3.065,3.0,0.852,True
F01_sn_ext,Fusión,sum,0.0632000687442765,0.27681384732913494,first,0.09063384172809326,0.02743377298381676,3,-0.056417641764176414,0.18663594470046085,0.086469289949023,0.09117174258031825,0.08337671568777492,0.0031096367432284075,1.0,0.0,4.48,7.0,0.146,False
F02_frac_sn_ext,Fusión,ratio,0.014256331691655516,0.8063940305739776,first,0.09208880094337946,0.07783246925172393,3,-0.045112511251125115,0.22849462365591397,0.06258333306657113,0.06396938755514342,0.02927051989108709,0.004733862771374447,1.0,0.0,12.4,12.0,0.004,False
F03_feo_formado,Fusión,sum,0.058068281295593806,0.31777323161053495,first,0.2538221432297884,0.1957538619341946,2,-0.05748574857485748,0.21922358446658885,0.06553683384175613,0.03771736921838388,0.04851292888935141,0.01413020602758596,1.0,0.0,9.45,8.0,0.1,False
F04_feo_ret_por_fe,Fusión,ratio,0.10875312801195497,0.06078654490777417,first,0.23723327866893668,0.1284801506569817,4,0.021950195019501947,0.2460637480798771,0.13855529233357763,0.08306879939917232,0.10349009386359839,0.014075402426246561,1.0,0.24,3.095,4.0,0.422,False
F05_ley_feo_next,Fusión,last,0.12069044481547726,0.037314954208583946,first,0.361109467324816,0.24041902250933878,4,0.04943294329432943,0.23812787498885724,0.15247661761878348,0.11701622897352094,0.1151272097872623,0.013592828512899464,1.0,0.515,2.335,4.0,0.486,False
F06_B2_ventana,Fusión,last,0.0893188126920254,0.12393176021286996,last,0.0893188126920254,0.0,3,-0.0016321044546850998,0.13208520852085207,0.07202370348891238,0.047803609595753055,0.08616008120531025,0.014399045179964586,1.0,0.03,4.715,5.0,0.324,False
F07_T_media,Fusión,twmean,0.010860362281430272,0.8516511210628908,median,0.014266346434423472,0.0034059841529932005,3,-0.2733393339333933,0.22206221198156684,0.03377596066881211,0.016410319197237056,0.01086036228143027,1.734723475976807e-18,1.0,0.0,13.99,12.0,0.022,False
F08_T_ventana,Fusión,twmean,-0.036559448721689744,0.5288682592071036,min,-0.01372674014051312,0.022832708581176624,1,-0.27421542154215417,0.11467146714671467,-0.10805769496469067,-0.06081352698407839,-0.03655944872168975,6.938893903907228e-18,0.0,0.0,15.0,15.0,0.004,False
F09_T_gas_bhf,Fusión,twmean,0.07680545891225787,0.1853420756358806,last,0.0972009606967296,0.02039550178447172,3,-0.01774977497749775,0.15873840445269016,0.10424080990225422,0.11763747111308365,0.07680545891225787,0.0,1.0,0.0,5.75,6.0,0.28,False
F10_irf_next,Fusión,last,0.1946100134019597,0.0007308906527144725,first,0.38024177942473825,0.18563176602277853,4,0.15738373837383737,0.3309331797235023,0.24313990975604416,0.20153241923162984,0.18878877890258103,0.01036291621113692,1.0,1.0,1.0,1.0,0.93,False
F11_log_sn_feo_next,Fusión,last,0.04129485921140429,0.4776006974016351,last,0.04129485921140429,0.0,3,-0.018431740081224616,0.09617761776177616,0.04170990399285784,0.07936249508098056,0.04197688088262934,0.003641177043319471,1.0,0.0,10.395,9.0,0.084,False
F12_d_log_sn_feo,Fusión,sum,0.05477345337281141,0.346054370607906,min,0.16266705119929514,0.10789359782648372,3,-0.062117068008084204,0.19861986198619858,0.06105574345755024,0.06139450664485579,0.05858112901591162,0.004689574644195683,1.0,0.0,8.31,8.0,0.084,False
F13_masa_por_carga,Fusión,ratio,0.03801726270357726,0.5132677850980758,first,0.14502888415931892,0.10701162145574165,3,-0.0873207320732073,0.17189900153609833,0.0686162392120574,0.019216969266738167,0.04884148889401296,0.015601195003214427,1.0,0.0,9.49,10.0,0.026,False
F14_sn_ret_por_c,Fusión,ratio,-0.0037913797917851007,0.9480350404082577,first,0.06795088709690861,0.07174226688869371,3,-0.08469246924692468,0.14813748079877112,0.028602522989324634,0.042278584952567685,0.029410645860033214,0.004631012513105182,1.0,0.0,12.275,13.0,0.0,False
F15_dT,Fusión,sum,-0.0653520684159727,0.2599479455239052,last,0.12613633812933492,0.19148840654530763,1,-0.11095856524427952,0.1900441628264209,-0.012211798924296635,-0.0450906271202869,-0.06535206841597271,1.3877787807814457e-17,0.0,0.0,16.0,15.0,0.0,False
F16_sn_ret_frac,Fusión,ratio,0.06253938001822448,0.2818764884615516,first,0.13555115247557617,0.07301177245735169,4,0.026870687068706867,0.17497119815668205,0.09036928188023019,0.09863399151742426,0.0633911991455032,0.004106363660500188,1.0,0.0,7.315,7.0,0.088,False
