Batch,idx_cronologico,es_lockbox,M_t,D_t,P_t,Sn_cargado_t,Sn_escoria_final_t,K0,K1,K2,K3,K3b,K4,K5_k1,K5_k2,K5_k3,K6,K7
AP0228,228,False,39.11572,6.90608,11.865804248000002,49.491506135511734,0.6134196955353541,67.57184117073118,79.03521847344473,80.02710999751426,71.45481779981841,68.6136471202671,69.1598114767456,75.59939432427122,67.1455793374916,65.15967895688722,88.06984657645664,0.8499389419796705
AP0229,229,False,37.33996,5.550160000000001,7.0749048960000005,50.22264750537063,0.7946584306715143,74.73219532607355,74.3488482880298,75.5441617168952,68.6136471202671,68.09685395823907,68.83303021868701,66.11260740851436,64.09765404604909,73.76249058492112,88.89190986784774,0.8705958388551955
AP0230,230,False,34.02168,10.16872,8.970653464000002,51.92567490864809,0.5277987076449476,63.99737737146059,65.51995724630203,66.19277393281864,68.09685395823907,67.94452554582526,69.1025358419055,61.929077712772425,71.92196678933917,65.25378088694316,80.87186137707724,0.7698884825663492
AP0231,231,False,41.0816,6.75784,14.156999736,52.236627570008686,0.6220406745744036,66.26445030543391,78.64519956794976,79.5930035887471,67.94452554582526,68.79961428181898,68.9515002791975,75.5683212858698,69.3976370010678,70.53299258654886,89.09963212601083,0.8587391491204747
AP0232,232,False,37.94756,3.9589600000000003,9.322960720000001,53.72749355169835,0.89915545022394,74.07367684909066,70.6296860163142,71.83182618220751,68.79961428181898,70.6974583742141,68.45089002987126,67.68691146194222,68.85725347161159,66.85911925873978,92.27210593517803,0.9055287816788414
AP0233,233,False,36.32468,10.368640000000001,7.747164660000001,51.369675043721315,0.5314612759500751,66.72365286029398,70.71230248017658,71.45152692801322,70.6974583742141,67.5190145850561,68.44131467193631,67.91234391370041,65.88362184407892,63.617926986448396,80.95417396675323,0.7779416841638161
AP0234,234,False,42.888720000000006,6.778239999999999,10.384675784,51.84419883615714,0.5178074467932962,71.41973643193772,82.72616987590246,83.56075468981375,67.5190145850561,65.92422076771281,67.6178803943873,69.51321924400324,67.36918438025018,72.48355218670989,88.71264718852844,0.863526175147422
AP0235,235,False,33.222,8.294640000000001,10.515293100000001,51.79146450299664,0.8237600866818621,63.84925183569626,64.14570493189623,65.18245304641508,65.92422076771281,64.71432758237904,66.59128082262065,61.52734674833885,67.11032645892845,69.59384159503061,84.0585588391295,0.8002092654896928
AP0236,236,False,33.672799999999995,12.524239999999999,8.249262416,51.68913221214232,0.4222646280203126,61.84588944667188,65.14483520791224,65.68140708957395,64.71432758237904,66.74944422774921,67.23434813612285,67.40713068488319,69.87829328570828,69.35554209739584,76.9970788754251,0.7288951846265475
AP0237,237,False,35.562239999999996,6.29952,9.98203892,51.906637351720185,0.6679034469660046,68.59497324815254,68.51193183451608,69.40499362475535,66.74944422774921,69.9436327520721,67.0106916010381,71.0148011562671,70.50344802047634,67.69795988125311,87.84903859047681,0.8495161216346374
AP0238,238,False,34.2902,6.0656,8.449382524,52.14827912427819,0.6652311566363329,70.25934178842125,65.75518996184061,66.60483664749626,69.9436327520721,69.83416076863423,67.9141009385925,69.74033992359423,66.8963498858267,69.83892684436883,87.57181166771123,0.8496969456682806
AP0239,239,False,36.4364,7.1753599999999995,7.702826672000001,51.61735944876476,0.3646436591895783,71.00593098975824,70.58943035659672,71.09164741551349,69.83416076863423,69.75135696947552,69.61341828140507,68.22669696036172,71.10210313753954,64.50192250153542,86.01691942709292,0.8354719002397519
