,R01_sn_ext,R02_feo_ret,R03_sn_net_l03,R04_sn_net_l06,R05_sn_net_l10,R06_frac_sn,R07_kapp_sn,R08_feo_ret_frac,R09_selectividad,R10_log_selectividad,R11_util_carbon,R12_d_avance,R13_sn_residual,R14_log_sn_feo_next,R15_d_log_sn_feo,R16_feo_por_sn_disp,R17_dT,R18_T_ventana,R19_T_gas_bhf,R20_fe_metalizado_por_sn,F01_sn_ext,F02_frac_sn_ext,F03_feo_formado,F04_feo_ret_por_fe,F05_ley_feo_next,F06_B2_ventana,F07_T_media,F08_T_ventana,F09_T_gas_bhf,F10_irf_next,F11_log_sn_feo_next,F12_d_log_sn_feo,F13_masa_por_carga,F14_sn_ret_por_c,F15_dT,F16_sn_ret_frac
R11_util_carbon,0.9241447336270598,-0.16348044174019494,0.8557875953792606,0.8379657438674571,0.8044020997702079,0.3118621074891274,0.1752999085702766,-0.09558520575389373,0.5064960689850474,0.5064960689850474,1.0,0.898383989588397,-0.33803090044419065,-0.22330084851477763,0.33445088310866594,0.3683352750401461,-0.0801989212879729,0.046786626440018825,-0.002769568695231702,-0.18161664809764436,0.5494206488218788,0.7110967219663008,0.286362549093743,0.25952566506428804,-0.2772833144192228,-0.3382014264513358,0.16636651002965558,0.10218031517732905,-0.01065851845564652,0.10065432603646633,0.6556542360151956,0.32063364686455914,0.4367135034478147,0.7242442295450169,0.0501642245181933,0.828784172717382
R12_d_avance,0.9776419093677783,-0.14704228684892115,0.9122552385949481,0.8977260627011011,0.8660442338804054,0.3148899874202365,0.1642443575592474,-0.08848419834290795,0.5369966896413865,0.5369966896413865,0.898383989588397,1.0,-0.32692821760711754,-0.24393591568336367,0.33840544221851515,0.3857234432234432,-0.021829836294720517,0.03721706126321911,0.043114073348535634,-0.17775009694970015,0.6600279837550187,0.7524368973603861,0.21519173244649523,0.23766232764141698,-0.32293246660837743,-0.3274359112853237,0.037117328068645004,0.019924702713457094,0.015598934818873296,0.022523064735581806,0.6957291337124515,0.3228579438627356,0.45572933947535604,0.7511076660055178,-0.042904659147140894,0.8809661597183106
R13_sn_residual,-0.3293095708156696,-0.16416176050741133,-0.3249675280416258,-0.33207663639379936,-0.33860677937329764,0.6607291434763599,0.675804197778311,-0.34248817875139387,-0.28564092460274837,-0.28564092460274837,-0.33803090044419065,-0.32692821760711754,1.0,0.8475767496165381,0.5507106308953541,-0.30094155844155845,0.03482644956952471,-0.04177006046220837,-0.08724364146339211,-0.048499734340782974,-0.2925554654300771,-0.35194469004134066,-0.23983869239834102,-0.17899379154486975,0.06993861752293562,0.19333955709279013,-0.12027417258296937,-0.028277968561877732,0.020924808831886528,-0.08155446044596808,-0.2220022650403269,-0.1702037516005775,-0.29819715033439953,-0.35131619096231087,0.017909730022826212,-0.41195216887814184
R14_log_sn_feo_next,-0.24224835861097932,-0.15471698598497416,-0.2686844291494019,-0.2732215011947109,-0.27608777845508065,0.5572153929097342,0.6243815546176973,-0.1552023374313662,-0.28582617371829155,-0.28582617371829155,-0.22330084851477763,-0.24393591568336367,0.8475767496165381,1.0,0.6014516153716656,-0.3336810411810412,-0.07712153696924501,-0.022759304303260414,-0.12213345853368615,-0.05817252050379262,-0.21837411936354406,-0.2804870995405794,0.04190503155241987,0.04348367283431026,0.2684874227426339,0.21821112828596645,0.039186285400899364,0.1004164927011643,-0.08652648831097279,0.1316230748432582,-0.31569254628283416,-0.1573705636583462,-0.1181705718206537,-0.2761498437208463,0.1266407724207435,-0.3003206256408687
R15_d_log_sn_feo,0.3466072858797182,-0.08978078534556594,0.33084283057739644,0.33009745445566707,0.3233242540451701,0.8910605893981294,0.7901237878809265,-0.13156576848702134,0.1551683928820684,0.1551683928820684,0.33445088310866594,0.33840544221851515,0.5507106308953541,0.6014516153716656,1.0,0.16151986901986903,0.03761216795988226,-0.04083372869510211,-0.07673283237171148,0.0007439615495979633,0.1754743477958935,0.2589753177201933,-0.01960766158175089,0.03382896472966612,-0.2655891632887835,-0.041097539332865224,-0.05021324028302801,-0.02074297403876076,0.11687072435377481,-0.028649655218533066,0.4845335740759317,0.18834893273353448,0.029752029979655193,0.26345169978291166,0.0012256214831932988,0.35814576758565525
R16_feo_por_sn_disp,0.4102150627150627,0.2710153735153735,0.49822205572205575,0.5352331002331002,0.5788433788433789,0.06989992519090435,-0.035080151117325015,0.29260858901062037,0.9088966352891585,0.9088966352891585,0.3683352750401461,0.3857234432234432,-0.30094155844155845,-0.3336810411810412,0.16151986901986903,1.0,0.08745254745254745,-0.1532159507159507,0.04077339327339327,0.41363997113997114,0.19772033124468655,0.32673938983101214,-0.11423379549454048,-0.05874898104124465,-0.3558461515747814,-0.1273408412663427,-0.08601065601065601,-0.16662753912753914,0.14638250638250638,-0.09934947573916056,0.536450559946262,0.17581116114067402,0.022205429082219914,0.32172635730388716,-0.15264735264735266,0.41958821821286
R17_dT,-0.013427505955933743,0.1958217270194986,-0.0009174453506585699,0.011190158360275414,0.028180258592530292,0.006148258815892881,-0.03714680932149562,0.09628805736304995,0.0786481582217004,0.0786481582217004,-0.0801989212879729,-0.021829836294720517,0.03482644956952471,-0.07712153696924501,0.03761216795988226,0.08745254745254745,1.0,-0.1592744029067596,0.21523941595148452,0.14842605192594444,0.04781326681052733,0.06017419550889393,-0.3739599434760207,-0.23251480693592078,-0.36035599655831796,0.029502660402095673,-0.0585645983607169,-0.28280536147238244,0.44277326539055567,-0.2986606163562439,0.1645623217683639,-0.02839207644000959,-0.10313305071343669,0.05917558597382835,-0.6077635180523385,-0.0017288787540237626
R18_T_ventana,0.009382062309014758,-0.2065149679652878,0.009218949734694455,-0.010538404360115947,-0.038401530876009844,-0.01792200546643027,0.004566177819808884,-0.11479695682244838,-0.09578011131030577,-0.09578011131030577,0.046786626440018825,0.03721706126321911,-0.04177006046220837,-0.022759304303260414,-0.04083372869510211,-0.1532159507159507,-0.1592744029067596,1.0,-0.1654629160357848,-0.28961940869010167,0.11585094606245186,0.06800645716501744,0.16383230539273452,0.10461859067558399,0.08166275417860952,-0.1317814746228759,-0.13691592018022172,0.6617726128697244,-0.2397615004108769,0.05978864725057774,-0.03159272126230085,-0.006289568060890814,0.1219384970131056,0.0674460624910611,0.23857509889946715,0.08023446228248726
R19_T_gas_bhf,0.044436367160996415,0.08835716324971643,0.020438172105237438,0.012876899770317158,0.006702983819319593,-0.01795660652162834,-0.2181314663994241,0.04432142504269764,0.0070052886468428095,0.0070052886468428095,-0.002769568695231702,0.043114073348535634,-0.08724364146339211,-0.12213345853368615,-0.07673283237171148,0.04077339327339327,0.21523941595148452,-0.1654629160357848,1.0,0.02332837080329655,0.048425184799742886,0.026777784827769883,-0.05313254056921892,-0.07178647403621004,-0.12486254002002672,-0.11181060385771058,-0.012036663095235536,-0.21556346293146658,0.3799329417533775,-0.12490753636052912,0.0751626084694143,-0.04530157175433495,0.013623656407666447,0.016638390797529358,-0.21123499464538295,0.03687194869989746
R20_fe_metalizado_por_sn,-0.1486336152692549,0.8801399496485298,-0.10100785892174208,-0.022751334420747532,0.07957585060943456,-0.1908123184363421,-0.16607806350080453,0.766597940140439,0.323311404050436,0.323311404050436,-0.18161664809764436,-0.17775009694970015,-0.048499734340782974,-0.05817252050379262,0.0007439615495979633,0.41363997113997114,0.14842605192594444,-0.28961940869010167,0.02332837080329655,1.0,-0.28979139043583974,-0.2869363695009451,-0.4551567342009376,-0.3396043958495048,-0.11336829838945915,0.3973521003765966,-0.12887973215326612,-0.24170069738839967,0.17850498965430517,-0.18708730717226837,0.031575400293036814,-0.05256804623385153,-0.46537897956374485,-0.2722751618345517,-0.14667822454122775,-0.24873123205438497
