fase,target,variante,palanca,theta_unidad,theta_1sd,ci_lo_1sd,ci_hi_1sd,theta_1sd_rel,significativo,signo_teorico,concuerda,r2_oof_interno,n
Fusión,irf_next,primitivas,tasa_feed_Carbon_kg_min,6.412315934161158e-05,0.0005501990234602959,-0.0013218952148125868,0.0025697271142922696,0.013902982566436371,False,-1.0,False,0.7100040335221323,1769
Fusión,irf_next,primitivas,tasa_gn_nm3_min,-0.0008445878372352424,-0.0012444951707945079,-0.003405077430005307,0.0016551224496448177,-0.03144715625766442,False,-1.0,True,0.7100040335221323,1769
Fusión,irf_next,primitivas,tasa_o2_nm3_min,0.0006639879763808045,0.0022233380869159138,-0.0016101302053292347,0.005403485362901043,0.05618154402979703,False,1.0,True,0.7100040335221323,1769
Fusión,irf_next,primitivas,tasa_aire_nm3_min,6.122935771661414e-05,0.00033860329238429986,-0.0027396365656364124,0.0023013780977070844,0.008556168713913745,False,1.0,True,0.7100040335221323,1769
Fusión,irf_next,cinetica,relacion_C_Sn_carga,0.008976898927732806,0.0004650171751062571,-0.0010796386877886621,0.002253218391336785,0.0117505219073918,False,,,0.7096942511296676,1769
Fusión,irf_next,cinetica,tasa_gn_nm3_min,0.000547958834952284,0.0008074140945773106,-0.0012088698631414604,0.002645830210747936,0.020402551807897604,False,-1.0,False,0.7096942511296676,1769
Fusión,irf_next,cinetica,exceso_o2_combustion_pct,0.00023679000747888805,0.000662194151575553,-0.0007801278931934769,0.0019010438692581674,0.016732988159538973,False,,,0.7096942511296676,1769
Fusión,irf_next,cinetica,tasa_aire_nm3_min,-3.3358513934691504e-05,-0.00018447527572658485,-0.0027878292513300114,0.0018083627758611754,-0.004661506896604539,False,1.0,False,0.7096942511296676,1769
Fusión,d_irf,primitivas,tasa_feed_Carbon_kg_min,7.665102142050018e-05,0.0006578302403821752,-0.0007720783453618517,0.0020179989325341007,0.028253828157292233,False,-1.0,False,0.3701627109929496,1768
Fusión,d_irf,primitivas,tasa_gn_nm3_min,-0.0009883058185708544,-0.0014566128340777126,-0.0029232446151792107,0.00019703307477903254,-0.06256156403182171,False,-1.0,True,0.3701627109929496,1768
Fusión,d_irf,primitivas,tasa_o2_nm3_min,0.000421157927277826,0.0014106144919050234,-0.0006626812415962516,0.0031271743164491875,0.06058593388366607,False,1.0,True,0.3701627109929496,1768
Fusión,d_irf,primitivas,tasa_aire_nm3_min,0.000238066070030149,0.001316825745534561,-0.0001451834771365836,0.0023167327808070234,0.05655770447071081,False,1.0,True,0.3701627109929496,1768
Fusión,d_irf,cinetica,relacion_C_Sn_carga,-4.8095092823825164e-05,-2.492070103873722e-06,-0.001506310712349134,0.001305135334491861,-0.00010703448420046428,False,,,0.3695153785516164,1768
Fusión,d_irf,cinetica,tasa_gn_nm3_min,-0.00010858943135275332,-0.00016004434698396083,-0.0014247573312149366,0.0010811572031695143,-0.006873909406481288,False,-1.0,True,0.3695153785516164,1768
Fusión,d_irf,cinetica,exceso_o2_combustion_pct,0.00013332730616238045,0.0003729599566934182,-0.0005078523753605911,0.0010695811699826215,0.01601864110084855,False,,,0.3695153785516164,1768
Fusión,d_irf,cinetica,tasa_aire_nm3_min,0.00018754685009937414,0.0010373864728959097,-0.0002232410503707958,0.002099031835567458,0.04455577949848036,False,1.0,True,0.3695153785516164,1768
