target,kpi,subset,comparacion,rho,p,n,ci_lo,ci_hi
st_R22_sdi,K5_k2,DEV,raw,0.08680279925466061,0.14311067898736954,286,-0.028581867426540085,0.2059690373811041
st_R22_sdi,K5_k2,lockbox,raw,0.29397144368059225,0.021473283918783875,61,0.045181121099947125,0.5360787942887361
st_R22_sdi,K5_k2,total,raw,0.12231841134953836,0.02267410986028073,347,0.028044698457521083,0.21534812616929527
st_R22_sdi,K5_k3,DEV,raw,0.14394924715848975,0.014832473477938687,286,0.030628472939127623,0.2545078669725653
st_R22_sdi,K5_k3,lockbox,raw,0.035843289802722986,0.7857082731408325,60,-0.2668671853292581,0.3377841066963045
st_R22_sdi,K5_k3,total,raw,0.12365741468357293,0.02141007180873714,346,0.033929151098019646,0.22704820625285632
st_R22_sdi,K6,DEV,raw,0.19620097489160387,0.0008498989474957023,286,0.07783952889216048,0.3107098806200218
st_R22_sdi,K6,lockbox,raw,0.11880760368663595,0.353712233947324,63,-0.0991647465437788,0.36631624423963133
st_R22_sdi,K6,total,raw,0.1765545471226728,0.0009245378815717761,349,0.06988203452510339,0.2765029217892077
st_R22_sdi,K7,DEV,raw,0.22845472883983794,9.687992666778282e-05,286,0.1170371605288165,0.34220820258047474
st_R22_sdi,K7,lockbox,raw,0.13488863287250383,0.2918682250898405,63,-0.10509312596006144,0.3704601094470046
st_R22_sdi,K7,total,raw,0.20577582678165626,0.00010797507728374288,349,0.10037908450604825,0.30378074583256875
st_R23_lnirf_R,K0,DEV,raw,0.3042149446701533,8.047930565717584e-08,299,0.19353858499248053,0.4114088684878005
st_R23_lnirf_R,K0,lockbox,raw,0.3801363287250384,0.0021186647295910123,63,0.1341745871735791,0.5813652073732718
st_R23_lnirf_R,K0,total,raw,0.3307640615456535,1.089315639699554e-10,362,0.23129176357825781,0.4267668497156873
st_R23_lnirf_R,K1,DEV,raw,0.26176561693340217,4.483013575407319e-06,299,0.14435275302462347,0.36551913537294334
st_R23_lnirf_R,K1,lockbox,raw,0.49692780337941633,3.432089445497029e-05,63,0.29185867895545314,0.655894777265745
st_R23_lnirf_R,K1,total,raw,0.3170764284154039,6.747381186930367e-10,362,0.22345761163209765,0.4028708766381479
st_R23_lnirf_R,K2,DEV,raw,0.27400327714304956,1.5056015155636823e-06,299,0.16015900877645844,0.37801934861170344
st_R23_lnirf_R,K2,lockbox,raw,0.4805587557603687,6.714579712996883e-05,63,0.2712917626728111,0.6490015360983102
st_R23_lnirf_R,K2,total,raw,0.3240572250271019,2.6926688493564025e-10,362,0.2277219092564741,0.41325797997308716
st_R23_lnirf_R,K3,DEV,raw,0.2277945443979876,7.244497643538547e-05,298,0.11465457021336799,0.33770189380052235
st_R23_lnirf_R,K3,lockbox,raw,0.44292513409382794,0.00031211586723587715,62,0.22292437863564252,0.6426506509531363
st_R23_lnirf_R,K3,total,raw,0.2903983312628441,1.9982087393030343e-08,360,0.1950118828077377,0.3910593574538898
st_R23_lnirf_R,K3b,DEV,raw,0.2000390563623712,0.0005018889735491465,299,0.08596676842270656,0.3058275010661938
st_R23_lnirf_R,K3b,lockbox,raw,0.46462189317821256,0.00016183108291220152,61,0.23534108937070336,0.6419910100475938
st_R23_lnirf_R,K3b,total,raw,0.2647422691018706,3.4528055477344514e-07,360,0.15920512503954504,0.3684501423622096
st_R23_lnirf_R,K4,DEV,raw,0.17474857407743316,0.0025098593984949377,297,0.050176007306879794,0.2870657646664358
st_R23_lnirf_R,K4,lockbox,raw,0.46652564780539385,0.00015083532779230614,61,0.22558963511369645,0.6499775251189847
st_R23_lnirf_R,K4,total,raw,0.2518342018807492,1.3911562232235934e-06,358,0.14853087311082602,0.3475384065952675
st_R23_lnirf_R,K5_k1,DEV,raw,0.1844210006509394,0.0013595772576194666,299,0.07754124486543512,0.30089995735224795
st_R23_lnirf_R,K5_k1,lockbox,raw,0.5240109793256277,1.2369798548609468e-05,62,0.27642970461584954,0.7094054544080985
st_R23_lnirf_R,K5_k1,total,raw,0.2578008703060355,6.855641682975634e-07,361,0.1596882381149151,0.3524452551486305
st_R23_lnirf_R,K5_k2,DEV,raw,0.07629323696437791,0.18829966598293843,299,-0.048217413750533095,0.19600109986307823
st_R23_lnirf_R,K5_k2,lockbox,raw,0.27287149656266524,0.033365011345286924,61,0.0425,0.48214436805922795
st_R23_lnirf_R,K5_k2,total,raw,0.13039246702006443,0.013286414317441167,360,0.02031910611450191,0.23523867853918623
st_R23_lnirf_R,K5_k3,DEV,raw,0.16063567596686945,0.00536734681810974,299,0.038911079437049675,0.27158059302821475
st_R23_lnirf_R,K5_k3,lockbox,raw,0.14954153931647685,0.2541183207183951,60,-0.07831897749374826,0.35702973048068903
st_R23_lnirf_R,K5_k3,total,raw,0.17823926383550417,0.0006923784429180368,359,0.08049157602070722,0.2808612468423045
st_R23_lnirf_R,K6,DEV,raw,0.1353222149895625,0.01923648359977702,299,0.02263388027204777,0.2447707683329218
st_R23_lnirf_R,K6,lockbox,raw,0.4396121351766514,0.0003123432619566369,63,0.21748751920122888,0.6288150441628264
st_R23_lnirf_R,K6,total,raw,0.20562273367904246,8.117642141797e-05,362,0.09603969562856576,0.30131182109975874
st_R23_lnirf_R,K7,DEV,raw,0.17273865906489191,0.0027266869038048993,299,0.05754723799690243,0.29007400507283787
st_R23_lnirf_R,K7,lockbox,raw,0.442300307219662,0.0002840127607137419,63,0.20629440284178188,0.6149805587557603
st_R23_lnirf_R,K7,total,raw,0.2390483946836564,4.238573824136264e-06,362,0.13551587785933197,0.34271260460538805
st_R21_ln_feo_ret,K0,DEV,raw,0.3154044928114248,5.026715378735499e-08,286,0.20720252789572433,0.4205494120770115
st_R21_ln_feo_ret,K0,lockbox,raw,-0.061011904761904774,0.6347780690262769,63,-0.28547067012288785,0.189147705453149
st_R21_ln_feo_ret,K0,total,raw,0.24361342046946233,4.138582715795068e-06,349,0.15063144522703856,0.3409589538018547
st_R21_ln_feo_ret,K1,DEV,raw,0.09598950471864463,0.10524016270144002,286,-0.01990566557960653,0.21122229503487522
st_R21_ln_feo_ret,K1,lockbox,raw,0.10167050691244242,0.42784629508197014,63,-0.1475230414746544,0.35323060675883255
st_R21_ln_feo_ret,K1,total,raw,0.08577187460301776,0.10969817377470012,349,-0.022679217186331105,0.18972283935805326
st_R21_ln_feo_ret,K2,DEV,raw,0.1279575366866766,0.03051181336176586,286,0.008381900512837612,0.2413081013979602
st_R21_ln_feo_ret,K2,lockbox,raw,0.1702188940092166,0.18227840607033718,63,-0.09486487135176651,0.3946356566820276
st_R21_ln_feo_ret,K2,total,raw,0.12144310979999151,0.023267742594822526,349,0.007501954916933675,0.22637198469942263
st_R21_ln_feo_ret,K3,DEV,raw,0.22507322181154646,0.0001269716173385343,285,0.10506706599553152,0.3353070909816647
st_R21_ln_feo_ret,K3,lockbox,raw,0.12447432701266653,0.33508547437207625,62,-0.11213391755433003,0.3690463599506434
st_R21_ln_feo_ret,K3,total,raw,0.19222855547622233,0.0003163310770266516,347,0.08522429359773313,0.3046561072756087
st_R21_ln_feo_ret,K3b,DEV,raw,0.21818156169889164,0.0002003910881693091,286,0.09816660874427242,0.3297226521873505
st_R21_ln_feo_ret,K3b,lockbox,raw,0.2652564780539397,0.03882574759800657,61,0.046000793231094655,0.47049709148598623
st_R21_ln_feo_ret,K3b,total,raw,0.19975742418141432,0.00018006415894484783,347,0.09427660651192286,0.30241009817341497
st_R21_ln_feo_ret,K4,DEV,raw,0.15222164304405564,0.010200458354388445,284,0.03549084913049059,0.26153368415813827
st_R21_ln_feo_ret,K4,lockbox,raw,0.2948704389212057,0.02105929211783571,61,0.04448307773664728,0.49904812268640925
st_R21_ln_feo_ret,K4,total,raw,0.15265551120124846,0.004485483218564557,345,0.03821273897262956,0.2573195614183767
st_R21_ln_feo_ret,K5_k1,DEV,raw,0.14997351813783133,0.011099397115870078,286,0.028733795088095475,0.25840504809696074
st_R21_ln_feo_ret,K5_k1,lockbox,raw,0.3397295459696306,0.006903739280757171,62,0.09833295560424064,0.5525534486666162
st_R21_ln_feo_ret,K5_k1,total,raw,0.16992574289141726,0.0014641934832871576,348,0.06841466810668718,0.26905142302633805
st_R21_ln_feo_ret,K5_k2,DEV,raw,0.08166698513296716,0.1683987275877817,286,-0.0399420605068872,0.19660280669266544
st_R21_ln_feo_ret,K5_k2,lockbox,raw,0.23627710206240082,0.06676419597393363,61,-0.019999999999999997,0.4528397673188789
st_R21_ln_feo_ret,K5_k2,total,raw,0.09564512358270066,0.07518671461849136,347,-0.011192952606670461,0.19608304387560677
st_R21_ln_feo_ret,K5_k3,DEV,raw,0.14997351813783133,0.011099397115870078,286,0.036979836594727485,0.2619719048602232
st_R21_ln_feo_ret,K5_k3,lockbox,raw,-0.09869408168935817,0.4531138681125375,60,-0.3690580716865796,0.19241039177549296
st_R21_ln_feo_ret,K5_k3,total,raw,0.09178228929545823,0.08825581151712589,346,-0.011148949854169548,0.19388003154891711
st_R21_ln_feo_ret,K6,DEV,raw,0.184230916708452,0.0017551749813624438,286,0.07693906863354874,0.300157493341062
st_R21_ln_feo_ret,K6,lockbox,raw,-0.011664746543778803,0.9277030996942577,63,-0.24591613863287248,0.22791618663594465
st_R21_ln_feo_ret,K6,total,raw,0.13480288509040608,0.011708605409881629,349,0.025780287097548236,0.23458871229551
st_R21_ln_feo_ret,K7,DEV,raw,0.21827594741587036,0.00019908753790294305,286,0.10014119385107832,0.32627081519250967
st_R21_ln_feo_ret,K7,lockbox,raw,-0.003360215053763441,0.9791481775048779,63,-0.22566124231950843,0.22670650921658977
st_R21_ln_feo_ret,K7,total,raw,0.16326845173401835,0.002215439458800044,349,0.05828629299758635,0.2599822857707453
st_F10_irf_next,K0,DEV,raw,0.1946100134019597,0.0007308906527144725,298,0.0713195454806193,0.3055526534225104
st_F10_irf_next,K0,lockbox,raw,0.3309331797235023,0.00806827788661696,63,0.07251344086021505,0.5493483582949309
st_F10_irf_next,K0,total,raw,0.22511210419185498,1.575617355042247e-05,361,0.11682325543431128,0.3276192462109038
st_F10_irf_next,K1,DEV,raw,0.27763369140667066,1.123890266805925e-06,298,0.1699665846587352,0.3937060443042351
st_F10_irf_next,K1,lockbox,raw,0.35287058371735797,0.0045596219037355125,63,0.11297283026113672,0.5600218413978495
st_F10_irf_next,K1,total,raw,0.3004157675374828,5.774670796735413e-09,361,0.19306112037873105,0.39435594292506493
st_F10_irf_next,K2,DEV,raw,0.27202441238040886,1.8762574936190983e-06,298,0.15423814586347415,0.38235388610352133
st_F10_irf_next,K2,lockbox,raw,0.34101382488479265,0.0062377194274983025,63,0.09949596774193549,0.5640036962365591
st_F10_irf_next,K2,total,raw,0.29562321768363914,1.0292455307552295e-08,361,0.19852530697928306,0.38955283946271607
st_F10_irf_next,K3,DEV,raw,0.1510144983299346,0.00914656038412299,297,0.034821585618565486,0.2618759126728925
st_F10_irf_next,K3,lockbox,raw,0.4427236785777241,0.00031432563898320354,62,0.22868222910528568,0.6300005036387901
st_F10_irf_next,K3,total,raw,0.22762639859323697,1.3296475296264433e-05,359,0.12434039827163183,0.32160823309109204
st_F10_irf_next,K3b,DEV,raw,0.11305644716791491,0.05121070890285975,298,0.0038148652242611975,0.22133673154974584
st_F10_irf_next,K3b,lockbox,raw,0.311369645690111,0.014581061850103926,61,0.06588577472236912,0.5331002115282918
st_F10_irf_next,K3b,total,raw,0.17937940586047524,0.000638667267764073,359,0.07212392949585804,0.2829163748878272
st_F10_irf_next,K4,DEV,raw,0.10183048996608318,0.0802746914348308,296,-0.01159953867580986,0.21498681269867712
st_F10_irf_next,K4,lockbox,raw,0.4193019566367001,0.0007694628180361429,61,0.173590692755156,0.6293865679534638
st_F10_irf_next,K4,total,raw,0.18728376417417764,0.00037405614530317937,357,0.0807275361340318,0.2910065743075838
st_F10_irf_next,K5_k1,DEV,raw,0.14961652166204253,0.009695578877087196,298,0.0374537840980794,0.2591084125808374
st_F10_irf_next,K5_k1,lockbox,raw,0.40338948905844724,0.0011500544168970084,62,0.16007151670821687,0.6085278638160712
st_F10_irf_next,K5_k1,total,raw,0.20499900976602187,8.93823440265482e-05,360,0.10020034876812321,0.3140984498337179
st_F10_irf_next,K5_k2,DEV,raw,0.045674359359798515,0.43212645309473086,298,-0.07652190237541857,0.16355598815476258
st_F10_irf_next,K5_k2,lockbox,raw,0.13722897937599152,0.29159971289645614,61,-0.10266393442622951,0.35937995769434156
st_F10_irf_next,K5_k2,total,raw,0.08888802435899432,0.09263784796552461,359,-0.012233353044614929,0.19461949445749882
st_F10_irf_next,K5_k3,DEV,raw,0.09741304313816716,0.09324237244190459,298,-0.017994914011838434,0.21220213175275912
st_F10_irf_next,K5_k3,lockbox,raw,0.22195054181717147,0.08830897459524908,60,-0.01827868852459016,0.42483745484856905
st_F10_irf_next,K5_k3,total,raw,0.1360900968594593,0.009938998655037851,358,0.02901068894590718,0.239465773704636
st_F10_irf_next,K6,DEV,raw,0.05259730704726327,0.3655815423402192,298,-0.06333616291305232,0.16240480493471446
st_F10_irf_next,K6,lockbox,raw,0.4654857910906298,0.00012095727307409335,63,0.2622767857142857,0.6401401689708142
st_F10_irf_next,K6,total,raw,0.1408750503767415,0.007346302493699242,361,0.04414436698754738,0.2414694066512603
st_F10_irf_next,K7,DEV,raw,0.07984652250774223,0.1692034854777827,298,-0.029667440493235647,0.18655942831606676
st_F10_irf_next,K7,lockbox,raw,0.4408122119815668,0.0002993914275930039,63,0.21436851958525346,0.6322508640552995
st_F10_irf_next,K7,total,raw,0.1612017467338016,0.0021239595474831776,361,0.05207139595863751,0.2682858771674752
z_sdi_plus_lnirfR,K0,DEV,raw,0.4103831983164461,4.800632721803348e-13,286,0.30995147343029245,0.5056439837441121
z_sdi_plus_lnirfR,K0,lockbox,raw,0.2555203533026114,0.043258577818068036,63,-0.002908986175115206,0.4613167242703533
z_sdi_plus_lnirfR,K0,total,raw,0.3985441867686705,9.801523462264432e-15,349,0.30629222126554406,0.4870811608113258
z_sdi_plus_lnirfR,K1,DEV,raw,0.2589695285459085,9.151645391465525e-06,286,0.14308214250447882,0.36423930370015095
z_sdi_plus_lnirfR,K1,lockbox,raw,0.44676459293394777,0.00024210353427171598,63,0.22804459485407066,0.6132704493087557
z_sdi_plus_lnirfR,K1,total,raw,0.3065656979124028,4.975851254722208e-09,349,0.20655255691842986,0.40407251542055417
z_sdi_plus_lnirfR,K2,DEV,raw,0.2693057904867917,3.836176763682478e-06,286,0.15722963814106306,0.379876965140123
z_sdi_plus_lnirfR,K2,lockbox,raw,0.43010752688172044,0.00043444071851921154,63,0.20922979070660522,0.5929423483102918
z_sdi_plus_lnirfR,K2,total,raw,0.31068076277047724,3.0188788966189194e-09,349,0.21038894378025888,0.40828229847417674
z_sdi_plus_lnirfR,K3,DEV,raw,0.2836029796741435,1.1329242028412732e-06,285,0.16547187245667602,0.39515802951681384
z_sdi_plus_lnirfR,K3,lockbox,raw,0.332477147389892,0.00828521968021406,62,0.11235803681599557,0.5238183374883534
z_sdi_plus_lnirfR,K3,total,raw,0.3147092393068179,2.044672567101043e-09,347,0.2169247900079212,0.4062963804907694
z_sdi_plus_lnirfR,K3b,DEV,raw,0.26430129562350363,5.87071025689168e-06,286,0.14989807368497998,0.37671744173669713
z_sdi_plus_lnirfR,K3b,lockbox,raw,0.47102062400846106,0.0001275366860983217,61,0.2582667900581703,0.641418561607615
z_sdi_plus_lnirfR,K3b,total,raw,0.31211546448128236,2.8125447341839776e-09,347,0.2116144876871088,0.4063342057752919
z_sdi_plus_lnirfR,K4,DEV,raw,0.1932974824958679,0.0010600935846340846,284,0.07328280076591219,0.3089595093342274
z_sdi_plus_lnirfR,K4,lockbox,raw,0.41496562665256476,0.0008834403165391776,61,0.18161686938127974,0.598599947117927
z_sdi_plus_lnirfR,K4,total,raw,0.2568613125887655,1.331226543269471e-06,345,0.15203530745717342,0.3592902271810727
z_sdi_plus_lnirfR,K5_k1,DEV,raw,0.212368632651046,0.0002979269749306102,286,0.09986224302013776,0.3187299093717579
z_sdi_plus_lnirfR,K5_k1,lockbox,raw,0.5330764775503009,8.172869838297921e-06,62,0.2798909622019088,0.7165546070358338
z_sdi_plus_lnirfR,K5_k1,total,raw,0.2806977930157486,1.0098478564911679e-07,348,0.1780881022623375,0.3838436403665502
z_sdi_plus_lnirfR,K5_k2,DEV,raw,0.09754686904879457,0.09968736758296512,286,-0.017369382863606224,0.2137024977589804
z_sdi_plus_lnirfR,K5_k2,lockbox,raw,0.31586462189317815,0.01314599160785431,61,0.09185219460602856,0.5366419883659439
z_sdi_plus_lnirfR,K5_k2,total,raw,0.15925105362229514,0.0029315913778657533,347,0.054136562488691184,0.25381977214071577
z_sdi_plus_lnirfR,K5_k3,DEV,raw,0.2001036191023354,0.0006647283252006088,286,0.07879869809266471,0.30839241631282704
z_sdi_plus_lnirfR,K5_k3,lockbox,raw,0.08285634898582941,0.5290969064006187,60,-0.17776743539872186,0.3505390386218394
z_sdi_plus_lnirfR,K5_k3,total,raw,0.20305407423555802,0.0001429262950527415,346,0.10052527208768224,0.30577939803565257
z_sdi_plus_lnirfR,K6,DEV,raw,0.21731977906560704,0.00021266747282375542,286,0.10651087038763547,0.3297178944290626
z_sdi_plus_lnirfR,K6,lockbox,raw,0.30227534562211983,0.016048492968119298,63,0.05567156298003074,0.5
z_sdi_plus_lnirfR,K6,total,raw,0.2498129772608579,2.298014197965572e-06,349,0.14469175123858455,0.34527972955806174
z_sdi_plus_lnirfR,K7,DEV,raw,0.26309787773202403,6.494926126137359e-06,286,0.1428933967188139,0.3568253569280527
z_sdi_plus_lnirfR,K7,lockbox,raw,0.3115399385560676,0.012938839959973426,63,0.05393265168970814,0.5212437596006144
z_sdi_plus_lnirfR,K7,total,raw,0.2906581788925431,3.1966452601860003e-08,349,0.17971300125622822,0.3825617316188406
st_R22_sdi,K3,DEV,smoothed_fair,0.2712079092256271,3.973762007012537e-06,281,0.15033641521271188,0.37660027420523745
st_R22_sdi,K3,lockbox,smoothed_fair,0.22887864823348694,0.07355834418966256,62,-0.03595225504268339,0.44786457152929915
st_R22_sdi,K3,total,smoothed_fair,0.2656766500970033,5.962029276629724e-07,343,0.1673809657627695,0.3681016509593871
st_R23_lnirf_R,K3,DEV,smoothed_fair,0.2653413441274544,3.4044755724407304e-06,298,0.16077313731238446,0.36924293324935287
st_R23_lnirf_R,K3,lockbox,smoothed_fair,0.5553876759588023,2.7960147135175938e-06,62,0.3050175014479615,0.7337903855354939
st_R23_lnirf_R,K3,total,smoothed_fair,0.3350802603929557,6.791905986433659e-11,360,0.24081352865377048,0.4234763514121765
st_R21_ln_feo_ret,K3,DEV,smoothed_fair,0.3047712792999383,1.882197420347567e-07,281,0.19373293653798312,0.40076074376142523
st_R21_ln_feo_ret,K3,lockbox,smoothed_fair,0.19765304323739016,0.12358860572895593,62,-0.08905844728160962,0.4445015235073405
st_R21_ln_feo_ret,K3,total,smoothed_fair,0.26399619123746715,7.060506887053329e-07,343,0.15463207883258218,0.3652637764320626
st_F10_irf_next,K3,DEV,smoothed_fair,0.15614535323978426,0.007209711245298632,295,0.0416164564772313,0.27385088391746987
st_F10_irf_next,K3,lockbox,smoothed_fair,0.4597970335675253,0.0001701603532168957,62,0.23653647603938457,0.6408665105386416
st_F10_irf_next,K3,total,smoothed_fair,0.24084220343086707,4.173604090627335e-06,357,0.13173463660776596,0.3429413492218807
z_sdi_plus_lnirfR,K3,DEV,smoothed_fair,0.3387262166167292,5.680533200017817e-09,281,0.22098989713247302,0.4369366082921395
z_sdi_plus_lnirfR,K3,lockbox,smoothed_fair,0.4658910629296669,0.0001356084245303442,62,0.21526780992672057,0.6609289617486338
z_sdi_plus_lnirfR,K3,total,smoothed_fair,0.3908501676593001,5.770813587707807e-14,343,0.2856042500056501,0.4809852333134687
st_R22_sdi,K3b,DEV,smoothed_fair,0.27817270047124065,2.0898225626447596e-06,282,0.15550236904564743,0.39286054268790427
st_R22_sdi,K3b,lockbox,smoothed_fair,0.19101004759386564,0.14032335134290583,61,-0.08888683236382866,0.4354283447911157
st_R22_sdi,K3b,total,smoothed_fair,0.2656766500970033,5.962029276629724e-07,343,0.15322413324483494,0.3623061049039304
st_R23_lnirf_R,K3b,DEV,smoothed_fair,0.264229759152432,3.614305515545797e-06,299,0.15294740858791048,0.36513565352068417
st_R23_lnirf_R,K3b,lockbox,smoothed_fair,0.5413537810682177,6.6393793058297e-06,61,0.302585933368588,0.7311012691697515
st_R23_lnirf_R,K3b,total,smoothed_fair,0.3350802603929557,6.791905986433659e-11,360,0.23342829934387355,0.4303401389414013
st_R21_ln_feo_ret,K3b,DEV,smoothed_fair,0.3114107761142835,9.314816679325587e-08,282,0.18975330568086685,0.4236070602884593
st_R21_ln_feo_ret,K3b,lockbox,smoothed_fair,0.15753569539925963,0.22531058979011137,61,-0.09628503437334743,0.39808566895822306
st_R21_ln_feo_ret,K3b,total,smoothed_fair,0.26399619123746715,7.060506887053329e-07,343,0.1575267220019674,0.3563432861341774
st_F10_irf_next,K3b,DEV,smoothed_fair,0.15207780970492835,0.008776618214655248,296,0.039893425783256296,0.2728427541563135
st_F10_irf_next,K3b,lockbox,smoothed_fair,0.4619249074563722,0.00017866862127618161,61,0.2178106821787414,0.6643535166578529
st_F10_irf_next,K3b,total,smoothed_fair,0.24084220343086707,4.173604090627335e-06,357,0.13688309985974179,0.3365721343461746
z_sdi_plus_lnirfR,K3b,DEV,smoothed_fair,0.3440987633445269,2.93927735637817e-09,282,0.2298699212137476,0.4493022893684444
z_sdi_plus_lnirfR,K3b,lockbox,smoothed_fair,0.4400317292437863,0.0003873653737245396,61,0.20303014278159703,0.6454362771020624
z_sdi_plus_lnirfR,K3b,total,smoothed_fair,0.3908501676593001,5.770813587707807e-14,343,0.29360320146593344,0.49064003595842953
st_R22_sdi,K4,DEV,smoothed_fair,0.2546527589503575,1.8504251092020532e-05,276,0.1286475506913429,0.36509069505286734
st_R22_sdi,K4,lockbox,smoothed_fair,0.2376520359598096,0.06514790915777989,61,-0.0469843997884717,0.4825343733474352
st_R22_sdi,K4,total,smoothed_fair,0.2641184711202972,8.736072133259318e-07,337,0.16046681505552196,0.3655474454500076
st_R23_lnirf_R,K4,DEV,smoothed_fair,0.23977119279132705,2.969542828861248e-05,297,0.12572702354581547,0.34675922108808016
st_R23_lnirf_R,K4,lockbox,smoothed_fair,0.646694870438921,1.799178973217131e-08,61,0.4303529878371232,0.79090692755156
st_R23_lnirf_R,K4,total,smoothed_fair,0.33366958460762497,9.305495238676959e-11,358,0.22891040202514457,0.42631427323890136
st_R21_ln_feo_ret,K4,DEV,smoothed_fair,0.30172685892039214,3.230321651513755e-07,276,0.190922618113326,0.408069348325509
st_R21_ln_feo_ret,K4,lockbox,smoothed_fair,0.17191961924907453,0.18522241642048978,61,-0.10705314648334215,0.42795610787942884
st_R21_ln_feo_ret,K4,total,smoothed_fair,0.2574080507486122,1.678143800552537e-06,337,0.15273963368291146,0.3535247813986972
st_F10_irf_next,K4,DEV,smoothed_fair,0.12381207605990747,0.03444953128508861,292,0.012642711134396571,0.24332744261550757
st_F10_irf_next,K4,lockbox,smoothed_fair,0.6364886303543098,3.5211941047872e-08,61,0.4414304600740349,0.774090428344791
st_F10_irf_next,K4,total,smoothed_fair,0.23836819120285294,5.952123749756968e-06,353,0.1279746133733746,0.34311454318476453
z_sdi_plus_lnirfR,K4,DEV,smoothed_fair,0.342024799874431,5.436846910376949e-09,276,0.2267993322013099,0.44831943037342503
z_sdi_plus_lnirfR,K4,lockbox,smoothed_fair,0.5388683236382865,7.455904903112024e-06,61,0.2934267583289265,0.7261052353252248
z_sdi_plus_lnirfR,K4,total,smoothed_fair,0.413951604204971,2.201731399445316e-15,337,0.3137042119316429,0.5181219445357199
