id,fase,familia,grupo_mecanistico,variante,palanca,role,theta_unidad,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda_teoria,theta_1sd_rel,sd_target,r2_oof_interno,n_obs,n_batches
R05_sn_net_l10,Reducción,metal-equivalente,metal-equivalente,cinetica,exceso_o2_combustion_pct,o2,1.7835834045140144,19.31964979634838,-13.902707010723146,51.23011552320105,False,0,,0.005658607943512239,3414.2053998455444,0.9584651398186311,1036,289
R05_sn_net_l10,Reducción,metal-equivalente,metal-equivalente,cinetica,tasa_aire_nm3_min,aire,0.7013665111814085,6.549184444726488,-35.5221151914289,43.7649082484239,False,0,,0.0019182162985925707,3414.2053998455444,0.9584651398186311,1036,289
R06_frac_sn,Reducción,extraccion,extraccion,primitiva,tasa_feed_Carbon_kg_min,carbon,0.0017124709968198409,0.037920039890788,-0.0038841304087125664,0.08360292246582689,False,1,True,0.12712847546060438,0.2982812446495433,0.6506904427935438,1017,284
R06_frac_sn,Reducción,extraccion,extraccion,primitiva,tasa_gn_nm3_min,gn,0.0022573657536989694,0.011253796085367425,-0.015115346048695787,0.03939557718139412,False,1,True,0.03772880892524684,0.2982812446495433,0.6506904427935438,1017,284
R06_frac_sn,Reducción,extraccion,extraccion,primitiva,tasa_o2_nm3_min,o2,0.0023506563548504784,0.0203518818131014,-0.013092113295766858,0.05402680978382526,False,-1,False,0.06823051123114778,0.2982812446495433,0.6506904427935438,1017,284
R06_frac_sn,Reducción,extraccion,extraccion,primitiva,tasa_aire_nm3_min,aire,0.0007235410031231522,0.007334151395128902,-0.006422119335882344,0.018196055308053436,False,-1,False,0.02458804073902114,0.2982812446495433,0.6506904427935438,1017,284
R06_frac_sn,Reducción,extraccion,extraccion,cinetica,Cx_sn_v4,carbon,6.553869142527631e-05,0.018974596626700903,-0.026794069329134952,0.05055249520154235,False,1,True,0.06368098313371996,0.29796331169789353,0.6362926013207577,1016,284
R06_frac_sn,Reducción,extraccion,extraccion,cinetica,tasa_gn_nm3_min,gn,0.004642216729410925,0.02292369483882822,-0.0019715774740854623,0.05792034073062955,False,1,True,0.07693462228017746,0.29796331169789353,0.6362926013207577,1016,284
R06_frac_sn,Reducción,extraccion,extraccion,cinetica,exceso_o2_combustion_pct,o2,-0.00026832973253786445,-0.0028792628197371567,-0.014263692186255434,0.007288623451968956,False,-1,True,-0.009663145450123254,0.29796331169789353,0.6362926013207577,1016,284
R06_frac_sn,Reducción,extraccion,extraccion,cinetica,tasa_aire_nm3_min,aire,0.0006599300227201309,0.0062230230441259055,-0.0067722526978793015,0.016779076633843617,False,-1,False,0.02088519894837073,0.29796331169789353,0.6362926013207577,1016,284
R07_kapp_sn,Reducción,extraccion,extraccion,primitiva,tasa_feed_Carbon_kg_min,carbon,0.00011798633450233737,0.002608497294413237,-0.0007091463792212454,0.0066175414903666815,False,1,True,0.11393789228973585,0.022894027983070078,0.5242592142833282,1016,278
R07_kapp_sn,Reducción,extraccion,extraccion,primitiva,tasa_gn_nm3_min,gn,0.00066188414526589,0.003309924771879265,0.0005289431376320273,0.006739055900360278,True,1,True,0.14457590312752844,0.022894027983070078,0.5242592142833282,1016,278
R07_kapp_sn,Reducción,extraccion,extraccion,primitiva,tasa_o2_nm3_min,o2,-0.0001332839513993683,-0.0011564973998572157,-0.004912482115195401,0.0032012806101082113,False,-1,True,-0.05051524356973945,0.022894027983070078,0.5242592142833282,1016,278
R07_kapp_sn,Reducción,extraccion,extraccion,primitiva,tasa_aire_nm3_min,aire,4.227158615448517e-05,0.0004290640274791269,-0.000689561211506309,0.0014081426478221835,False,-1,False,0.01874130789900387,0.022894027983070078,0.5242592142833282,1016,278
R07_kapp_sn,Reducción,extraccion,extraccion,cinetica,Cx_sn_v4,carbon,1.8033386883865014e-05,0.005222022866284134,-0.0003195541241131257,0.010643712989980606,False,1,True,0.22823244745983393,0.02288028246817598,0.5126349350068125,1015,278
R07_kapp_sn,Reducción,extraccion,extraccion,cinetica,tasa_gn_nm3_min,gn,0.00040579001212254863,0.0020101825949137017,-0.0007512998021431114,0.004917654920071653,False,1,True,0.08785654625154433,0.02288028246817598,0.5126349350068125,1015,278
R07_kapp_sn,Reducción,extraccion,extraccion,cinetica,exceso_o2_combustion_pct,o2,-3.770690764399301e-05,-0.00040631234566309465,-0.0017401765635405052,0.0009992389859833767,False,-1,True,-0.01775818747990684,0.02288028246817598,0.5126349350068125,1015,278
R07_kapp_sn,Reducción,extraccion,extraccion,cinetica,tasa_aire_nm3_min,aire,5.346772816594022e-05,0.0005049467359801663,-0.0005213948189206113,0.0014502397456195818,False,-1,False,0.022069077891957545,0.02288028246817598,0.5126349350068125,1015,278
R08_feo_ret_frac,Reducción,sobre-reduccion,sobre-reduccion,primitiva,tasa_feed_Carbon_kg_min,carbon,0.00014856588172632186,0.0032845642858542255,-0.02493314558122535,0.0197975287080962,False,-1,False,0.03861732521010084,0.08505416333172415,0.2866189369392338,1016,278
