regimen,tendencia,palanca,outcome,n,cov_iv,b_ols,t_ols,b_iv,se_iv,t_iv,ci_lo,ci_hi,t_dwh,p_dwh
TOTAL,bloque40,carbon,f_metal,361,HAC,0.22007521212402215,0.959098387809593,1.7814505373519296,0.7910564375710369,2.251989178954068,0.23097991971269716,3.331921154991162,-2.0538554582416104,0.03998968345550743
TOTAL,bloque40,carbon,sn_perdido_escoria_frac,361,HC1,-0.011175533716361387,-0.3461976159468379,0.20046233151617798,0.12907936383411253,1.553016110102649,-0.05253322159868257,0.45345788463103853,-1.6790219912549884,0.0931477579280063
TOTAL,bloque40,carbon,sn_perdido_escoria_frac,361,HAC,-0.011175533716361387,-0.3461976159468379,0.20046233151617798,0.09635698874232386,2.0804129947673102,0.01160263358122321,0.38932202945113276,-1.6790219912549884,0.0931477579280063
DEV,lineal,gn,recuperacion_refinada_pct,298,HC1,-0.5570531343099346,-3.7162160258744397,0.9831252742038856,1.2323451621780919,0.7977677880978362,-1.4322712436651743,3.3985217920729456,-1.4042377381836817,0.1602480676360758
DEV,lineal,gn,recuperacion_refinada_pct,298,HAC,-0.5570531343099346,-3.7162160258744397,0.9831252742038856,1.5261161124690898,0.6442008351601084,-2.0080623062355305,3.9743128546433018,-1.4042377381836817,0.1602480676360758
DEV,lineal,gn,f_dross,298,HC1,0.4809848192463052,4.245510323354054,0.580362066931329,0.8037557279861712,0.722062744592116,-0.9949991599215666,2.1557232937842246,-0.11822455828053968,0.9058897317175718
DEV,lineal,gn,f_dross,298,HAC,0.4809848192463052,4.245510323354054,0.580362066931329,0.9022732894652399,0.6432220411570628,-1.1880935804205413,2.348817714283199,-0.11822455828053968,0.9058897317175718
DEV,lineal,gn,f_polvo,298,HC1,0.10794428064675854,1.0763604052229605,-1.3946506877769451,0.9892608002321518,-1.4097907118624933,-3.3336018562319625,0.5443004806780725,1.9601400649860847,0.049979421483331135
DEV,lineal,gn,f_polvo,298,HAC,0.10794428064675854,1.0763604052229605,-1.3946506877769451,1.0895248171686505,-1.280054080274395,-3.5301193294275,0.7408179538736097,1.9601400649860847,0.049979421483331135
DEV,lineal,gn,f_metal,298,HC1,-0.5889290998930543,-4.05179422297735,0.814288620861717,1.234065669715918,0.6598422116783836,-1.604480091781482,3.233057333504916,-1.2192910144850857,0.22273375785027338
DEV,lineal,gn,f_metal,298,HAC,-0.5889290998930543,-4.05179422297735,0.814288620861717,1.4989541616320927,0.5432378398917166,-2.1236615359371847,3.7522387776606188,-1.2192910144850857,0.22273375785027338
DEV,lineal,gn,sn_perdido_escoria_frac,298,HC1,-0.034798843777088175,-0.9900132929333711,-0.25416231441466275,0.2111831288763589,-1.2035161888498527,-0.6680812470123262,0.1597566181830007,1.0354600003445924,0.3004541374124784
DEV,lineal,gn,sn_perdido_escoria_frac,298,HAC,-0.034798843777088175,-0.9900132929333711,-0.25416231441466275,0.24235048859326613,-1.04873860948232,-0.7291692720574643,0.22084464322813885,1.0354600003445924,0.3004541374124784
